Keyword,en_Keyword,Category,imp_level1_category_1d,pv_level1_category_1d,order_level1_category_1d
xiaomi wireless earbuds,xiaomi wireless earbuds,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,
manic panic singapore,manic panic singapore,Beauty & Personal Care,,,
ez charm,ez charm,Hobbies & Books,Hobbies & Books,Hobbies & Books,
seller,seller,Platform Terms (Lazada / Shopee),Home & Living,,
sona,sona,Home Appliances,Home Appliances,Home Appliances,Home Appliances
stevia singapore,stevia singapore,Food & Beverages,Food & Beverages,Food & Beverages,Food & Beverages
gadget plus,gadget plus,Mobile & Gadgets,,Mobile & Gadgets,
axtro sports,axtro sports,Mobile & Gadgets,Mobile & Gadgets,,
fridge,fridge,Home Appliances,Home Appliances,Home Appliances,Home Appliances
click and grow singapore,click and grow singapore,Home & Living,,,
ezlink shop,ezlink shop,Hobbies & Books,Women's Bags,Women's Bags,
playpen singapore,playpen singapore,"Toys, Kids & Babies",,"Toys, Kids & Babies",
door viewer camera,door viewer camera,Cameras & Drones,Home & Living,Home & Living,Home & Living
best bargain computers pte ltd,best bargain computers pte ltd,Computers & Peripherals,,,
cooler box,cooler box,Sports & Outdoors,Home & Living,Home & Living,Home & Living
battery tester,battery tester,Automotive,Home Appliances,Home & Living,Automotive
sony mobile singapore,sony mobile singapore,Mobile & Gadgets,Mobile & Gadgets,,
headphones singapore,headphones singapore,Mobile & Gadgets,Mobile & Gadgets,,
paint - brush,paint - brush,Home & Living,,,
diptyque,diptyque,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care
mac cosmetics,mac cosmetics,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,
sharp+microwave,sharp+microwave,Home Appliances,Home Appliances,Home Appliances,Home & Living
see’s candies,see’s candies,Food & Beverages,Food & Beverages,Food & Beverages,
sheng siong voucher,sheng siong voucher,"Dining, Travel & Services",,Health & Wellness,
baby mattress singapore,baby mattress singapore,"Toys, Kids & Babies","Toys, Kids & Babies",,
dyson hair dryer singapore,dyson hair dryer singapore,Home Appliances,,Home Appliances,
fsl lighting,fsl lighting,Home & Living,,Home & Living,
born in colour,born in colour,Home & Living,Home & Living,Home & Living,
immunped singapore,immunped singapore,Health & Wellness,,Health & Wellness,
charity organizations in singapore,charity organizations in singapore,Lifestyle,,,
workout bench,workout bench,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,
taka jewellery,taka jewellery,Jewellery & Accessories,Jewellery & Accessories,Jewellery & Accessories,
best place to date in singapore,best place to date in singapore,Lifestyle,,,
magnetic board,magnetic board,Home & Living,Home & Living,Home & Living,
folding bed singapore,folding bed singapore,Home & Living,Home & Living,Home & Living,
green party singapore,green party singapore,Home & Living,,Home & Living,
figurine,figurine,Hobbies & Books,Home & Living,Home & Living,
curtain,curtain,Home & Living,Home & Living,Home & Living,Home & Living
mipad 4,mipad 4,Mobile & Gadgets,,Mobile & Gadgets,
light stax,light stax,"Toys, Kids & Babies","Toys, Kids & Babies",,
innisfree,innisfree,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care
stamford tyres,stamford tyres,Automotive,Automotive,Automotive,
giant bicycle singapore,giant bicycle singapore,Sports & Outdoors,,Sports & Outdoors,
jaben,jaben,Mobile & Gadgets,Mobile & Gadgets,,
xiaomi redmi note 8,xiaomi redmi note 8,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,
night light singapore,night light singapore,Home & Living,Home & Living,Home & Living,
hollow knight switch,hollow knight switch,Video Games,Video Games,Video Games,
samsung note 3 battery singapore,samsung note 3 battery singapore,Mobile & Gadgets,,,
placemat,placemat,Home & Living,Home & Living,Home & Living,Home & Living
lamy singapore,lamy singapore,Home & Living,Home & Living,,
sg wolf,sg wolf,Women's Bags,Fashion Accessories,Food & Beverages,Food & Beverages
nakamichi nm-tw1126 review,nakamichi nm-tw1126 review,Mobile & Gadgets,,,
cerave sa cleanser,cerave sa cleanser,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care
asrock b450m pro4,asrock b450m pro4,Computers & Peripherals,Computers & Peripherals,Computers & Peripherals,
online groceries singapore,online groceries singapore,Others,,,
biosys hair tonic,biosys hair tonic,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care
merida singapore,merida singapore,Sports & Outdoors,Sports & Outdoors,,
daikin ac remote control,daikin ac remote control,Home Appliances,Home Appliances,Home Appliances,
toys or games,toys or games,Video Games,Hobbies & Books,,
xtreme solution,xtreme solution,Computers & Peripherals,Computers & Peripherals,Computers & Peripherals,
face+paint,face+paint,Beauty & Personal Care,Beauty,Beauty,Beauty
led strip,led strip,Home & Living,Home & Living,Home & Living,Home & Living
mpow,mpow,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
kanken sling bag,kanken sling bag,Women's Bags,Women's Bags,Women's Bags,Women's Bags
urban mood singapore,urban mood singapore,Home & Living,,,
p43 pro price in singapore,p43 pro price in singapore,Mobile & Gadgets,,,
eurotex,eurotex,Home & Living,Home & Living,Home & Living,
anello,anello,Women's Bags,Women's Bags,Women's Bags,
aprilskin turn up color cream,aprilskin turn up color cream,Beauty & Personal Care,Beauty & Personal Care,,
bowflex singapore,bowflex singapore,Sports & Outdoors,Sports & Outdoors,,
pee tray,pee tray,Pet Food & Supplies,Pet Food & Supplies,Pet Food & Supplies,Pet Food & Supplies
hbada chair,hbada chair,Home & Living,Home & Living,Home & Living,
b450 tomahawk max,b450 tomahawk max,Computers & Peripherals,Computers & Peripherals,Computers & Peripherals,
delivery box,delivery box,Home & Living,Home & Living,Automotive,Automotive
korean facemask,korean facemask,Beauty & Personal Care,Home & Living,Health & Wellness,
audio cable 3.5 mm,audio cable 3.5 mm,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,
wardrobes singapore,wardrobes singapore,Home & Living,Home & Living,Home & Living,Home & Living
ferrero rocher ice cream,ferrero rocher ice cream,Food & Beverages,Food & Beverages,,
cargo pants womens,cargo pants womens,Women's Apparel,Women's Apparel,Women's Apparel,
t2,t2,Food & Beverages,Food & Beverages,Food & Beverages,
modori,modori,Home & Living,Home & Living,Home & Living,
best mascara asian lashes,best mascara asian lashes,Beauty & Personal Care,,,
desktop shelf,desktop shelf,Home & Living,Home & Living,Home & Living,
axis y,axis y,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care
car sunshade,car sunshade,Automotive,Automotive,Automotive,
sound proof foam,sound proof foam,Home & Living,Hobbies & Books,Home & Living,Home & Living
electric scooters singapore,electric scooters singapore,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,Health
aftershokz singapore,aftershokz singapore,Mobile & Gadgets,Audio,Audio,Audio
desk shelve,desk shelve,Home & Living,Home & Living,,
logitech g915,logitech g915,Computers & Peripherals,Computers & Peripherals,Computers & Peripherals,
avolta portable aircon,avolta portable aircon,Home Appliances,Home Appliances,Home Appliances,
movable table,movable table,Home & Living,Home & Living,Home & Living,Home & Living
microscope singapore,microscope singapore,"Toys, Kids & Babies","Toys, Kids & Babies",,
menstrual cup singapore,menstrual cup singapore,Health & Wellness,,Beauty & Personal Care,
misty dream,misty dream,Home & Living,Home & Living,,
sterra sg,sterra sg,Home Appliances,Home Appliances,Home Appliances,Home Appliances
hengai,hengai,Home & Living,,Beauty & Personal Care,
bubble bath,bubble bath,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care
hysses diffuser,hysses diffuser,Home & Living,Home & Living,Home & Living,Home & Living
single mattress singapore,single mattress singapore,Home & Living,Home & Living,,
surgisyl,surgisyl,Health & Wellness,Health & Wellness,Health & Wellness,
madshrimp,madshrimp,Pet Food & Supplies,Pet Food & Supplies,,
red magic 6 pro,red magic 6 pro,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,
bicycle fold,bicycle fold,Sports & Outdoors,Sports & Outdoors,,
weight plates,weight plates,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,
beef short ribs singapore,beef short ribs singapore,Food & Beverages,,,
transtar travel vtl ticket booking,transtar travel vtl ticket booking,"Dining, Travel & Services",,,
teenager bra,teenager bra,Kids Fashion,Women's Apparel,Women's Apparel,Women's Apparel
carpets for living room,carpets for living room,Home & Living,Home & Living,Home & Living,
laneign,laneign,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,
nerf guns,nerf guns,"Toys, Kids & Babies","Toys, Kids & Babies","Toys, Kids & Babies",
car pow,car pow,Automotive,Automotive,Automotive,
bachacoffee,bachacoffee,Food & Beverages,Food & Beverages,,
engraving machine,engraving machine,Computers & Peripherals,Home Appliances,Home Appliances,Home Appliances
haiku fan singapore,haiku fan singapore,Home Appliances,,,
samsung galaxy watch 4,samsung galaxy watch 4,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,
starbucks toffee nut latte,starbucks toffee nut latte,Food & Beverages,Food & Beverages,Food & Beverages,Food & Beverages
bromton bike,bromton bike,Sports & Outdoors,Sports & Outdoors,,
daun sanna,daun sanna,Health & Wellness,Health & Wellness,Health & Wellness,Health & Wellness
teachers' day gift idea singapore,teachers' day gift idea singapore,Lifestyle,,,
superga shoes,superga shoes,Women's Shoes,Women's Shoes,Women's Shoes,
clorex,clorex,Home & Living,Home & Living,,
boxes for gifts,boxes for gifts,Home & Living,Home & Living,Home & Living,
we re not really strangers,we re not really strangers,Hobbies & Books,Hobbies & Books,Hobbies & Books,Hobbies & Books
hand held mixer,hand held mixer,Home Appliances,Home Appliances,Home Appliances,
epomaker,epomaker,Computers & Peripherals,Computers & Peripherals,,
epitex pillow review,epitex pillow review,Home & Living,,,
healthier choice snacks,healthier choice snacks,Food & Beverages,Food & Beverages,Food & Beverages,
ohora,ohora,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care
coconut shake recipe,coconut shake recipe,Lifestyle,,,
yusheng delivery,yusheng delivery,Food & Beverages,,Food & Beverages,
pure dhab,pure dhab,Health & Wellness,Health & Wellness,Health & Wellness,
fila backpack,fila backpack,Women's Bags,Women's Bags,Women's Bags,
reusable film camera,reusable film camera,Cameras & Drones,Cameras & Drones,Cameras & Drones,
samsung galaxy s21 ultra singapore,samsung galaxy s21 ultra singapore,Mobile & Gadgets,,,
3d2n staycation singapore,3d2n staycation singapore,"Dining, Travel & Services","Dining, Travel & Services",,
hot pockets singapore,hot pockets singapore,Sports & Outdoors,,,
metal coat hanger wall,metal coat hanger wall,Home & Living,,,
rigel toilet bowl,rigel toilet bowl,Home & Living,Home & Living,Home & Living,
veja singapore,veja singapore,Women's Shoes,Men Clothes,Beauty,Beauty
wall light singapore,wall light singapore,Home & Living,Home & Living,,
promask face mask,promask face mask,Health & Wellness,,,
the grey space,the grey space,Women's Bags,Home & Living,Women's Bags,
velkhana,velkhana,Video Games,Hobbies & Books,Hobbies & Books,
crius folding bike,crius folding bike,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,
playhao,playhao,"Toys, Kids & Babies","Toys, Kids & Babies",,
mobilerelation,mobilerelation,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,
