Keyword,en_Keyword,Category,imp_level1_category_1d,pv_level1_category_1d,order_level1_category_1d
三國創傑傳,Legend of the Three Kingdoms,娛樂、收藏,Life & Entertainment,Life & Entertainment,
世界地圖,world map,居家生活,Home & Living,Home & Living,Home & Living
任天堂明星大亂鬥,Super Smash Bros.,遊戲王,Game Kingdom,Game Kingdom,Game Kingdom
倍潔雅,BEJIA,居家生活,Home & Living,Home & Living,Home & Living
友翔單車,Youxiang Bicycle,戶外與運動用品,Health,Home & Living,Home & Living
口罩團購,Mask group purchase,居家生活,Home & Living,,
咖啡磨豆機,coffee grinder,居家生活,Home & Living,Home Electronic,
單人沙發床,Single sofa bed,居家生活,Home & Living,Home & Living,
地縛少年花子君,Earth-bound boy Hanako-kun,娛樂、收藏,Life & Entertainment,Life & Entertainment,Books
太陽能發電系統,Solar power generation system,居家生活,Home & Living,Home & Living,
奶瓶消毒鍋,Baby bottle sterilizer,嬰幼童與母親,Mother & Baby,Mother & Baby,Mother & Baby
寵物背包,pet backpack,寵物,Pets,Pets,Pets
寶可夢卡牌,Pokémon Cards,遊戲王,Game Kingdom,Game Kingdom,Game Kingdom
寶拉,Paula,美妝保健,Health & Beauty,Health & Beauty,Health & Beauty
小潘蛋糕坊,Xiao Pan Cake Shop,美食、伴手禮,Food & Beverages,Food & Beverages,
小米空氣清淨機2s,Xiaomi air purifier 2s,家電影音,Home Electronic,Home Electronic,
小米行車記錄器,Xiaomi driving recorder,汽機車零件百貨,Motors,Motors,Motors
康寧餐具,Corning tableware,居家生活,Home & Living,Home & Living,
延長蝦皮承諾,Extend Shopee Commitment,Platform Terms ( Shopee / Momo),Home & Living,,
彩色雷射印表機,Color laser printer,3C與筆電,Hardware & 3C,Hardware & 3C,
後背包推薦,Recommended backpack,女生包包/精品,Women Bags,Women Bags,
微波爐料理,Microwave cooking,家電影音,Home Electronic,Home & Living,
戀柱,Love Pillar,娛樂、收藏,Life & Entertainment,Life & Entertainment,
我的英雄學院 漫畫,my hero academia manga,書籍及文創商品,Books,Books,
手工卡片,handmade cards,其他類別,Everything Else,Everything Else,Everything Else
手機推薦,Mobile phone recommendation,手機平板與周邊,Mobile & Gadgets,Mobile & Gadgets,
指甲油,nail polish,美妝保健,Health & Beauty,Health & Beauty,Health & Beauty
挺立,stand upright,美妝保健,Health & Beauty,Health & Beauty,Health & Beauty
收納櫃,storage cabinet,居家生活,Home & Living,Home & Living,Home & Living
放大鏡,magnifier,居家生活,Home & Living,Home & Living,Home & Living
日本sim卡,japan sim card,手機平板與周邊,,Mobile & Gadgets,
架子,shelf,居家生活,Home & Living,Home & Living,
機車輪胎價格,Motorcycle tire prices,汽機車零件百貨,Motorcycles,Automobiles,Automobiles
止滑墊,Anti-slip pad,居家生活,Home & Living,Home & Living,Home & Living
水母衣,jellyfish suit,戶外與運動用品,Women's Apparel,Women's Apparel,
沙發墊,Sofa cushion,居家生活,Home & Living,Home & Living,Home & Living
洗衣機推薦,Washing machine recommendations,家電影音,,Home Electronic,
流理台,sink,居家生活,Home & Living,Home & Living,
浴簾,shower curtain,居家生活,Home & Living,Home & Living,Home & Living
浴袍,bathrobe,居家生活,Women's Apparel,Women's Apparel,Women's Apparel
烘王烤箱,Baking King Oven,家電影音,Home Electronic,Home Electronic,
玻璃筆,glass pen,居家生活,Home & Living,Home & Living,
甜菜根,beetroot,美食、伴手禮,Food & Beverages,Food & Beverages,
生抽,light soy sauce,美食、伴手禮,Food & Beverages,Food & Beverages,
福利品,Welfare products,3C與筆電,Home Electronic,Home Electronic,
福士,Fushi,汽機車零件百貨,Motors,Motors,Motors
私密處清潔,Private area cleaning,美妝保健,Health & Beauty,Health & Beauty,Health & Beauty
空拍機推薦,Recommended aerial photography machine,3C與筆電,Cameras & Drones,Mom & Baby,Cameras & Drones
窗簾軌道,curtain track,居家生活,Home & Living,Home & Living,Home & Living
筆電,Laptop,3C與筆電,Hardware & 3C,Hardware & 3C,Hardware & 3C
綠幽靈,green ghost,娛樂、收藏,Life & Entertainment,Life & Entertainment,
綠豆椪,mung bean,美食、伴手禮,Food & Beverages,Food & Beverages,
網路購物,online shopping,Platform Terms ( Shopee / Momo),Home & Living,Home & Living,
翔仔居家,Xiangzi's home,居家生活,Home & Living,Home & Living,Home & Living
菊花茶,chrysanthemum tea,美食、伴手禮,Food & Beverages,Food & Beverages,Health & Beauty
藍光播放機,Blu-ray player,家電影音,Home Electronic,Home Electronic,
藍芽耳機 ptt,bluetooth headset ptt,手機平板與周邊,Hardware & 3C,Mobile & Gadgets,
藍芽耳機推薦2019,Bluetooth headset recommendations 2019,手機平板與周邊,,,
蝦皮網,shopee.com,Platform Terms ( Shopee / Momo),,Home & Living,
變頻冷氣,Inverter air conditioner,家電影音,Home Electronic,Home Electronic,
超視王,Super Vision King,美妝保健,Health & Beauty,Health & Beauty,Health & Beauty
車震,car shock,汽機車零件百貨,Motors,Motors,
過濾器,filter,寵物,Home & Living,Home & Living,
酒杯,wine glass,居家生活,Home & Living,Home & Living,Home & Living
防曬外套,sun protection jacket,女生衣著,Women's Apparel,Women's Apparel,
電動工具,power tools,居家生活,Home & Living,Home & Living,Home & Living
電動腳踏車,electric bicycle,戶外與運動用品,Sports & Outdoors,Sports & Outdoors,
電腦桌,computer desk,居家生活,Home & Living,Home & Living,Home & Living
電視螢幕,TV screen,家電影音,Home Electronic,Home Electronic,
電風扇,electric fan,家電影音,Home Electronic,Home Electronic,Home Electronic
露營椅,camping chair,戶外與運動用品,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
面紙盒,facial tissue box,居家生活,Home & Living,Home & Living,Home & Living
鞋盒,shoe box,居家生活,Home & Living,Home & Living,Home & Living
饗食天堂餐券,Food Paradise Meal Voucher,服務、票券,Tickets & Services,Tickets & Services,
魚中魚,fish within fish,寵物,Sports & Outdoors,Pets,
鴻海便當,Hon Hai bento,家電影音,Home Electronic,Home Electronic,
麥片,oatmeal,美食、伴手禮,Food & Beverages,Food & Beverages,Food & Beverages
黑晶爐,black crystal furnace,家電影音,Home Electronic,Home Electronic,
鬼滅漫畫,Demon Slayer Manga,書籍及文創商品,Books,Books,Books
嬰兒地墊,baby floor mat,嬰幼童與母親,Mother & Baby,Mother & Baby,Home & Living
日本洗衣球,Japanese laundry balls,居家生活,Home & Living,Home & Living,Home & Living
牛肝蕈,Bovine liver mushroom,美食、伴手禮,Food & Beverages,Food & Beverages,Food & Beverages
番茄鐘,Pomodoro,居家生活,Home & Living,Home & Living,
chanel 香水,chanel perfume,美妝保健,Health & Beauty,Health & Beauty,
電競主機,E-sports console,遊戲王,Hardware & 3C,Hardware & 3C,
鹹豬肉,salt pork,美食、伴手禮,Food & Beverages,Food & Beverages,
桌上書架,desk bookshelf,居家生活,Home & Living,Home & Living,
zenfone 8,zenfone 8,手機平板與周邊,Mobile & Gadgets,Mobile & Gadgets,
iphone xs價格,iphone xs price,手機平板與周邊,Mobile & Gadgets,,
藝伎咖啡,geisha coffee,美食、伴手禮,Food & Beverages,Food & Beverages,
實木書桌,solid wood desk,居家生活,Home & Living,Home & Living,
不鏽鋼便當盒,Stainless steel lunch box,居家生活,Home & Living,Home & Living,Home & Living
打氧氣機,oxygen machine,寵物,Pets,Pets,
伴手禮推薦,Recommended souvenirs,美食、伴手禮,Food & Beverages,,
三號電池,AA battery,家電影音,Hardware & 3C,Hardware & 3C,Hardware & 3C
小茶栽堂,Xiaochatang,美食、伴手禮,Food & Beverages,Food & Beverages,
蘋果日報,Apple Daily,書籍及文創商品,Books,Books,
考駕照,Take driving license test,Others,Books,,
楓之谷外掛,MapleStory plug-in,遊戲王,Game Kingdom,Game Kingdom,
桂格完膳,Quaker meal,美妝保健,Health & Beauty,Health & Beauty,Health & Beauty
生日驚喜,birthday surprise,Others,Everything Else,Everything Else,
皙之密,DR's Secret,美妝保健,Health & Beauty,Health & Beauty,Health & Beauty
小獅王奶瓶,Little lion baby bottle,嬰幼童與母親,Mother & Baby,Mother & Baby,Mother & Baby
三洋冷氣,Sanyo air conditioner,家電影音,Home Electronic,Home Electronic,
cbr250rr,cbr250rr,汽機車零件百貨,Motors,Motors,Motors
東方美,Oriental beauty,美妝保健,,Health & Beauty,
水產行,Fisheries Bank,美食、伴手禮,,Food & Beverages,
小米音箱,Xiaomi speaker,家電影音,Home Electronic,Home Electronic,Mobile & Gadgets
緊縛,Tightly bound,其他類別,Everything Else,Everything Else,
loewe 香水,loewe perfume,美妝保健,Health & Beauty,Health & Beauty,Health & Beauty
鑄鐵平底鍋,cast iron skillet,居家生活,Home & Living,Home & Living,
new balance 327,new balance 327,戶外與運動用品,Women Shoes,Women Shoes,Women Shoes
寵物,pet,寵物,Pets,Pets,Pets
襯衫,shirt,男生衣著,Women's Apparel,Women's Apparel,Men's Apparel
kobe球鞋,kobe sneakers,戶外與運動用品,Sports & Outdoors,Sports & Outdoors,
earth music & ecology,earth music & ecology,女生衣著,Women's Apparel,Women's Apparel,
new balance530,new balance530,戶外與運動用品,Women Shoes,Women Shoes,
男 內褲,men underwear,男生衣著,Men's Apparel,Men's Apparel,Men's Apparel
手機分期,Mobile phone installment,手機平板與周邊,Mobile & Gadgets,Mobile & Gadgets,
wow 餅乾,wow cookies,美食、伴手禮,Food & Beverages,Health & Beauty,
高島按摩椅,Takashima massage chair,戶外與運動用品,Home Electronic,Home Electronic,
hunter,hunter,戶外與運動用品,Women Shoes,Women Shoes,Women Shoes
兒童 雨衣,children raincoat,戶外與運動用品,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
lunar client,lunar client,Others,Gaming & Consoles,Gaming & Consoles,Gaming & Consoles
機車舊換新,Replacement of old motorcycles with new ones,Others,Motors,,
迴轉缸,Rotary cylinder,居家生活,Home & Living,Everything Else,
lg吸塵器,lg vacuum cleaner,家電影音,Home Electronic,Home Electronic,
garmin venu sq,garmin venu sq,手機平板與周邊,Mobile & Gadgets,Mobile & Gadgets,
三星s20,Samsung s20,手機平板與周邊,Mobile & Gadgets,Mobile & Gadgets,
omega 3,omega 3,美妝保健,Health & Beauty,Health & Beauty,
13,13,手機平板與周邊,Sports & Outdoors,Mobile & Gadgets,
肉棒,cock,其他類別,Everything Else,Everything Else,Everything Else
培根,bacon,美食、伴手禮,Food & Beverages,Food & Beverages,
母親 節 禮物,mother's day gift,Others,,,
氧氣 瓶,oxygen bottle,戶外與運動用品,Sports & Outdoors,Home & Living,
ontact,contact,娛樂、收藏,,Life & Entertainment,
壽全齋,Shou Quan Zhai,美食、伴手禮,Food & Beverages,Food & Beverages,
統一 獅,unity lion,娛樂、收藏,Life & Entertainment,Sports & Outdoors,
ritter sport 巧克力,ritter sport chocolate,美食、伴手禮,Food & Beverages,,
冷氣 清洗,air conditioner cleaning,Others,Home & Living,Home & Living,
tod's,tod's,女生包包/精品,Women Shoes,Men Shoes,Women Shoes
無線 耳機,wireless headphones,手機平板與周邊,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
琺瑯 鍋,enamel pot,居家生活,Home & Living,,
火龙 果,pitaya,美食、伴手禮,,,
note20 ultra,note20 ultra,手機平板與周邊,Mobile & Gadgets,Mobile & Gadgets,
臭 豆腐,stinky tofu,美食、伴手禮,Food & Beverages,Books & Magazines,Books & Magazines
魔芋 爽,Konjac is cool,美食、伴手禮,Food & Beverages,Food & Beverages,
木 棉花,kapok,娛樂、收藏,,Life & Entertainment,
塑膠 袋,plastic bag,居家生活,Home & Living,Home & Living,
寵物 公園,pet park,寵物,Pets,Pets,Pets
鮑魚罐頭,canned abalone,美食、伴手禮,Food & Beverages,Food & Beverages,
水手 服,sailor suit,娛樂、收藏,Women's Apparel,,
腐 漫畫,rot comics,書籍及文創商品,Books,,
智慧 手錶,smart watch,手機平板與周邊,Mobile & Gadgets,Hardware & 3C,
zx25r,zx25r,手機平板與周邊,Motors,,
綠豆 椪,mung bean,美食、伴手禮,Food & Beverages,Food & Beverages,
全家福 鞋,family portrait shoes,男女鞋,Sports & Outdoors,,
水生 植物,aquatic plants,居家生活,Home & Living,Home & Living,
k2,k2,美妝保健,Sports & Outdoors,Mobile & Gadgets,
數碼 寶貝,digital baby,娛樂、收藏,Hobbies & Collections,Hobbies & Collections,Hobbies & Collections
柿餅,Persimmon cake,美食、伴手禮,Food & Beverages,Food & Beverages,Food & Beverages
鬍鬚 張,beard Zhang,美食、伴手禮,Food & Beverages,Food & Beverages,
組裝 電腦,Assemble computer,3C與筆電,Hardware & 3C,,
工作 鞋,work shoes,男女鞋,Men Shoes,Men Shoes,
小米 11 lite,Xiaomi 11 lite,手機平板與周邊,,Mobile & Gadgets,
ux425ea,ux425ea,3C與筆電,Hardware & 3C,Hardware & 3C,Hardware & 3C
k70,k70,3C與筆電,Hardware & 3C,Hardware & 3C,
檜木,Hinoki,居家生活,Home & Living,Home & Living,Home & Living
baidi,Baidi,服務、票券,Women's Apparel,Shoes,
保暖外套推薦,Warm jacket recommendations,女生衣著,Women Clothes,Women Clothes,Women Clothes
二氧化氯錠,Chlorine dioxide tablets,居家生活,Home & Living,Home & Living,Home & Living
honda cb350,honda cb350,汽機車零件百貨,Motors,Motors,
smeg 咖啡機,smeg coffee machine,家電影音,Home Electronic,Home Electronic,Home Electronic
掛 衣架,hanger,居家生活,Home & Living,Home & Living,
李妍瑾,Li Yanjin,美妝保健,,Health & Beauty,
捲揚機,hoist,居家生活,Home & Living,Home & Living,
星巴克 月餅,Starbucks mooncakes,美食、伴手禮,Food & Beverages,Food & Beverages,
奧林匹克 數學,Olympiad Mathematics,書籍及文創商品,Books,Books,
瘦子 香水,skinny perfume,美妝保健,Men's Apparel,Health & Beauty,
老虎 圖案,tiger pattern,書籍及文創商品,Mobile & Gadgets,Women's Apparel,
手提 袋,handbag,女生包包/精品,Women Bags,Women Bags,
五斗 櫃,chest of drawers,居家生活,Home & Living,Home & Living,
月亮褲,moon pants,女生衣著,Women's Apparel,Health & Beauty,
古 娃娃 雪糕,ancient doll ice cream,美食、伴手禮,,Mother & Baby,
coach 零錢 包,coach coin bag,女生包包/精品,Women Bags,Women Bags,
柚子 茶,grapefruit tea,美食、伴手禮,Food & Beverages,Food & Beverages,
電動 升降桌,Electric lift table,居家生活,Home & Living,Home & Living,
投影 機 推薦,Projector recommended,3C與筆電,,,
乙女遊戲,Otome games,遊戲王,Game Kingdom,Game Kingdom,
烙鐵,iron,居家生活,Home & Living,Home & Living,Home & Living
白金 項鍊,white gold necklace,女生配件,Women Accessories,Women Accessories,
辣椒,chili,美食、伴手禮,Food & Beverages,Food & Beverages,Food & Beverages
蝦皮退貨運費,Shopee return shipping fee,Platform Terms ( Shopee / Momo),Mom & Baby,Women Clothes,Women Clothes
直覺塔羅,Intuitive Tarot,娛樂、收藏,Life & Entertainment,,
hm 門市,hm store,女生衣著,,,
99 乘法 表,99 multiplication table,書籍及文創商品,,,
logo,logo,Others,Everything Else,Everything Else,
床架 推薦,bed frame recommended,居家生活,,Home & Living,
角落 小 夥伴,corner buddy,娛樂、收藏,,,
一心一罩,One heart and one cover,居家生活,Home & Living,Home & Living,Home & Living
bf,bf,居家生活,Food & Beverages,Life & Entertainment,
防水 膠,waterproof glue,居家生活,Home & Living,Home & Living,
间谍过家家 1 遠藤達哉,Spy Play House 1 Tatsuya Endo,書籍及文創商品,,,
開發金紀念品,Development gold souvenirs,居家生活,Home & Living,Home & Living,
beats 耳機,beats headphones,手機平板與周邊,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
泡腳機推薦ptt,Foot soaking machine recommended ptt,家電影音,,,
跳棋,checkers,娛樂、收藏,Game Kingdom,Game Kingdom,
wifi 放大器,wifi amplifier,3C與筆電,Hardware & 3C,Hardware & 3C,Hardware & 3C
合 利他 命 ex plus,Together altruistic life ex plus,美妝保健,,,
梅子醋,Plum vinegar,美食、伴手禮,Food & Beverages,Food & Beverages,
illy咖啡豆,illy coffee beans,美食、伴手禮,Food & Beverages,Food & Beverages,
水 果汁,water juice,美食、伴手禮,Food & Beverages,Food & Beverages,Food & Beverages
calvin klein,calvin klein,女生衣著,Men's Apparel,Men's Apparel,Men's Apparel
衣服 收納,clothes storage,居家生活,Home & Living,Home & Living,
行事 曆,calendar,居家生活,,Home & Living,
俄羅斯軟糖,Russian Delight,美食、伴手禮,Food & Beverages,Food & Beverages,Food & Beverages
173,173,娛樂、收藏,Men's Apparel,,
催眠 麥克風,hypnosis microphone,家電影音,,Life & Entertainment,
dr.wu角鯊潤澤修復精華,dr.wu Dogfish Moisturizing Repair Essence,美妝保健,Health & Beauty,Health & Beauty,
彩虹 糖,rainbow candy,美食、伴手禮,Food & Beverages,Food & Beverages,
紅綠燈,traffic light,嬰幼童與母親,Mother & Baby,Mother & Baby,
玩具 槍,toy gun,嬰幼童與母親,,Life & Entertainment,
遙控地雷,remote control mine,娛樂、收藏,Life & Entertainment,Life & Entertainment,
邱澤 許瑋甯,Qiu Ze Tiffany Hsu,Others,,Life & Entertainment,
消化 餅,digestive cake,美食、伴手禮,,Food & Beverages,
古箏,guzheng,娛樂、收藏,Life & Entertainment,Life & Entertainment,
小米電視棒,Xiaomi TV stick,家電影音,Mobile & Gadgets,Home Electronic,Home Electronic
日系 衣服,Japanese clothes,女生衣著,Women's Apparel,Women's Apparel,
mcq衣服,mcq clothes,男生衣著,Men's Apparel,Men's Apparel,
鯊魚夾,shark clip,女生配件,Women Accessories,Women Accessories,Women Accessories
煤油 燈,kerosene lamp,家電影音,Sports & Outdoors,,
donkey 招財貓,donkey lucky cat,娛樂、收藏,Home & Living,Home & Living,Home & Living
miele 洗碗機,miele dishwasher,家電影音,Home Electronic,Home Electronic,
aa 電池,aa battery,居家生活,Hardware & 3C,Hardware & 3C,
三洋 媽媽 樂,Sanyo mom music,家電影音,Home Appliances,Home Appliances,Home Appliances
降噪藍牙耳機,Noise Canceling Bluetooth Headphones,手機平板與周邊,Mobile & Gadgets,Mobile & Gadgets,
vivo x70 pro,vivo x70 pro,手機平板與周邊,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
蘆薈 汁,aloe vera juice,美食、伴手禮,Home & Living,,
消脂茶,cellulite tea,美食、伴手禮,Food & Beverages,Food & Beverages,Food & Beverages
cnc銑床,cnc milling machine,居家生活,Home & Living,,
群暉,Synology,3C與筆電,Hardware & 3C,Hardware & 3C,
紅米note 11 pro,redmi note 11 pro,手機平板與周邊,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
醫療鋼耳環,medical steel earrings,女生配件,Women Accessories,Women Accessories,Women Accessories
果貿吳媽家,Fruit trade Wu Ma’s house,美食、伴手禮,Food & Beverages,Food & Beverages,
羊排,Lamb chops,美食、伴手禮,Food & Beverages,Food & Beverages,
xq au52,xq au52,手機平板與周邊,Mobile & Gadgets,Mobile & Gadgets,
山手梨愛,Yamate Ria,Others,Health,Books & Magazines,Books & Magazines
雪坊優格,Xuefang Yogurt,美食、伴手禮,Food & Beverages,Food & Beverages,
一井水產,Yijing Water Products,美食、伴手禮,Food & Beverages,Food & Beverages,
hoka,hoka,男女鞋,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
手機掛繩夾片,Mobile phone lanyard clip,手機平板與周邊,Mobile & Gadgets,Mobile & Gadgets,
八煙溫泉會館,Bayan Hot Spring Resort,服務、票券,Tickets & Services,Tickets & Services,
iphone 手機殼,iphone case,手機平板與周邊,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
mpg321ur-qd,mpg321ur-qd,3C與筆電,Computers & Accessories,Computers & Accessories,Pets
扇子紅包,fan red envelope,娛樂、收藏,Life & Entertainment,,
t型透肤袜,T-type translucent socks,女生配件,,,
salonia 離子夾,salonia ion clamp,美妝保健,Health & Beauty,Health & Beauty,Health & Beauty
二手相機,second hand camera,3C與筆電,Hardware & 3C,Hardware & 3C,
狐狸面具,fox mask,娛樂、收藏,Everything Else,Everything Else,Life & Entertainment
印章字體,Seal font,居家生活,Home & Living,Hardware & 3C,
高空作業車,aerial work vehicle,汽機車零件百貨,Home & Living,Home & Living,
刀劍神域 小說,Sword Art Online novel,娛樂、收藏,Books,Books,
機車汰舊換新補助,Locomotive replacement subsidy,Others,Motorcycles,Motorcycles,Motorcycles
日本porter,Japanese porter,男生包包與配件,Men's Bags& Accessories,Men's Bags& Accessories,
層板架,shelf,居家生活,Home & Living,Home & Living,
澳洲代購,Australian purchasing agent,Others,Health & Beauty,Health & Beauty,
朝桐光,Chao Tongguang,其他類別,Everything Else,Everything Else,
隔熱墊,potholder,居家生活,Home & Living,Home & Living,Home & Living
今井勇太,Yuta Imai,Others,Health,Women Clothes,Women Clothes
zenfone 8 flip,zenfone 8 flip,手機平板與周邊,Mobile & Gadgets,Mobile & Gadgets,
yyls,yyls,居家生活,,Home & Living,
聯成 評價,Liancheng Reviews,Others,,,
霍格華茲的傳承,Hogwarts Legacy,遊戲王,Game Kingdom,Game Kingdom,
蝦皮店到店 包裹查詢,Shopee store to store package inquiry,Platform Terms ( Shopee / Momo),Women Shoes,Pets,Pets
動物狂想曲,animal rhapsody,娛樂、收藏,Life & Entertainment,Life & Entertainment,
矽膠零件,silicone parts,居家生活,Sports & Outdoors,Home & Living,
i5 2300,i5 2300,3C與筆電,Hardware & 3C,Hardware & 3C,
束線帶,zip ties,居家生活,Home & Living,Home & Living,
隔音墊,soundproof mat,戶外與運動用品,Home & Living,Home & Living,
喉片,throat lozenges,美妝保健,Health & Beauty,Food & Beverages,
lululun面膜,lululun facial mask,美妝保健,Health & Beauty,Health & Beauty,
科克蘭衛生紙,cochran toilet paper,居家生活,Home & Living,Home & Living,Home & Living
apc 包,apc package,女生包包/精品,Women Bags,Women Bags,
t8燈座,t8 lamp holder,居家生活,Home & Living,Home & Living,
小飛馬磨豆機,Little Pegasus Bean Grinder,家電影音,Home Electronic,Home Electronic,
adobe破解,adobe crack,3C與筆電,Hardware & 3C,Hardware & 3C,
去漬油,stain removal oil,居家生活,Home & Living,Home & Living,Motors
眠豆腐,sleep tofu,居家生活,Food & Beverages,Home & Living,Home & Living
kangol包,kangol bag,女生包包/精品,Women Bags,Women Bags,
原子之心,Atomic Heart,遊戲王,Gaming & Consoles,Gaming & Consoles,Hobbies & Collections
discovery adventures,discovery adventures,男生包包與配件,Sports & Outdoors,Sports & Outdoors,
tab s8,tab s8,手機平板與周邊,,Mobile & Gadgets,
紳士漫,Gentleman comics,書籍及文創商品,Fashion Accessories,Hobbies & Collections,Hobbies & Collections
黃油攪拌器,butter churn,居家生活,Home & Living,Home & Living,
ete,ete,女生配件,Women Accessories,Women Accessories,
素食早餐,vegetarian breakfast,美食、伴手禮,Food & Beverages,Food & Beverages,
冬天婚禮穿搭,winter wedding outfits,女生衣著,Women's Apparel,Women's Apparel,
燈芯絨,corduroy,女生衣著,Women's Apparel,Women's Apparel,
閏月紅包,Leap month red envelope,其他類別,Stationery,Stationery,Stationery
湯麵,noodle soup,美食、伴手禮,Food & Beverages,Food & Beverages,
大立花枝丸,Dalihuaedamaru,美食、伴手禮,Food & Beverages,Food & Beverages,Food & Beverages
追劇平台推薦,Recommended drama-chasing platforms,Others,,,
紅藜果膠plus,Red Quinoa Pectin Plus,美妝保健,,Health & Beauty,
泡泡馬特,Bubble Matt,娛樂、收藏,Life & Entertainment,Life & Entertainment,
shein 台灣,Taiwan,女生衣著,Women's Apparel,Women's Apparel,
自行車手機架,Bicycle cell phone holder,戶外與運動用品,Motors,Motors,Sports & Outdoors
華夫格,waffle,女生衣著,Men's Apparel,Men's Apparel,
車用垃圾桶,car trash can,汽機車零件百貨,Motors,Motors,Motors
r-20,r-20,其他類別,Everything Else,Everything Else,Everything Else
lv項鍊,lv necklace,女生包包/精品,Women Accessories,Women Accessories,Women Accessories
圍欄,fence,戶外與運動用品,Mother & Baby,Mother & Baby,Mother & Baby
ricoh gr3,ricoh gr3,3C與筆電,Hardware & 3C,Hardware & 3C,
sol republic,sol republic,家電影音,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
良值,good value,遊戲王,Game Kingdom,Game Kingdom,Game Kingdom
solidigm,solidigm,3C與筆電,Computers & Accessories,Computers & Accessories,Computers & Accessories
三花奶水,Sanhua milk,美食、伴手禮,Food & Beverages,Food & Beverages,Food & Beverages
crocs 鞋扣,crocs shoe buckle,男女鞋,Women Shoes,Everything Else,
滑鼠滾輪,mouse wheel,3C與筆電,Hardware & 3C,,
花束包裝,bouquet packaging,居家生活,Home & Living,Home & Living,
北港麻油,Beigang sesame oil,美食、伴手禮,Food & Beverages,Food & Beverages,Food & Beverages
單人加大床包,Single extra large bed package,居家生活,Home & Living,Home & Living,Home & Living
美膳雅,Cuisinart,家電影音,Home Electronic,Home Electronic,Home Electronic
吊隱式冷氣,Ceiling air conditioner,家電影音,Home Electronic,Home Electronic,
駝背矯正帶,hunchback correction belt,美妝保健,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
摩斯蒟蒻買一送一,Moss Konjac buy one get one free,美食、伴手禮,Food & Beverages,Food & Beverages,
