Keyword,en_Keyword,Category,imp_level1_category_1d,pv_level1_category_1d,order_level1_category_1d,sg_category
galaxy a30 preço,galaxy a30 price,Celulares e Dispositivos,,,,
xiaomi redmi,xiaomi redmi,Celulares e Dispositivos,Mobile & Accessories,Mobile & Accessories,,
bolsa masculino,men's bag,Bolsas Masculinas,Bags,Bags,,
htv 5,htv 5,Áudio,Electronics,Electronics,Electronics,
camisa liverpool,liverpool shirt,Roupas Masculinas,Men Clothes,Men Clothes,Men Clothes,Men's Wear
estante metal,metal shelf,Casa e Decoração,Home & Living,Home & Living,,
piso emborrachado para academia,rubber flooring for gym,Casa e Decoração,,Sports & Fitness,,
lareira portatil,portable fireplace,Casa e Decoração,Home & Living,,,
nutella 650g,nutella 650g,Others,Food & Beverage,Food & Beverage,Food & Beverage,
manta termica para telhado,thermal blanket for roof,Casa e Decoração,Home & Living,,,
gabinetes para banheiro,bathroom cabinets,Casa e Decoração,Home & Living,,,
persianas,blinds,Casa e Decoração,Home & Living,Home & Living,,
liquidificador profissional,professional blender,Eletroportáteis,Home Appliance,Home Appliance,,
cadeira de praia aluminio,aluminum beach chair,Casa e Decoração,Sports & Fitness,Home & Living,,
cerveja budweiser,budweiser beer,Others,Home & Living,Home & Living,,
maquina brother,brother machine,Eletroportáteis,Home Appliance,Home Appliance,,
chapa quente,hot plate,Others,Home & Living,Home & Living,,
j6 preço,j6 price,Celulares e Dispositivos,Mobile & Accessories,,,
janela de madeira,wooden window,Casa e Decoração,Home & Living,,,
sensor de presença para lampadas,presence sensor for lamps,Others,Home & Living,Home & Living,,
serra marmore,marble saw,Others,Home & Living,Home & Living,Home & Living,Home & Living
esmerilhadeira pequena,small grinder,Others,,Home & Living,,
prateleira de vidro para banheiro,glass bathroom shelf,Casa e Decoração,Home & Living,Home & Living,,
garrafa termica infantil,children's thermal bottle,Esportes e Lazer,Home & Living,Home & Living,,
tupia manual,manual router,Others,Home & Living,Home & Living,,
bota feminina cano longo,women's long boot,Sapatos Femininos,Shoes,Shoes,Shoes,
gpd win,gpd win,Computadores e Acessórios,Mobile & Accessories,,,
churrasqueira giratoria,rotating barbecue,Esportes e Lazer,Home & Living,Home & Living,,
delonghi,delonghi,Others,Home Appliance,,,
bombinha de aquario,aquarium pump,Animais Domésticos,Pets,,Pets,
parabólica digital,digital satellite dish,Computadores e Acessórios,Electronics,Electronics,,
moto elétrica infantil,kids electric motorcycle,Mãe e Bebê,Toys & Hobbies,Toys & Hobbies,,
microsystem,microsystem,Eletroportáteis,Books & Magazines,,,
botas de borracha feminina,women's rubber boots,Sapatos Femininos,Shoes,Babies,,
motorhome,motorhome,Others,Vehicle Accessories,Home & Living,,
prateleira mdf,mdf shelf,Casa e Decoração,Home & Living,Home & Living,Home & Living,Home & Living
botas timberland masculina,men's timberland boots,Sapatos Masculinos,Shoes,,,
carimbos personalizados,custom stamps,Papelaria,Stationery,Stationery,,
velcro adesivo,adhesive velcro,Papelaria,Home & Living,Home & Living,Home & Living,Home & Living
botina para trabalho,work boots,Sapatos Masculinos,Shoes,Shoes,Shoes,
carimbos,stamps,Papelaria,Stationery,Stationery,Stationery,
botinas new holland,New Holland boots,Sapatos Masculinos,Shoes,Shoes,,
macacão,overalls,Roupas Femininas,Women Clothes,Women Clothes,Women Clothes,Women's Apparel
playstation 2 preço,playstation 2 price,Others,Shoes,Mobile & Accessories,,
new beetle,new beetle,Others,Vehicle Accessories,Vehicle Accessories,,
pes 2019 ps2,pes 2019 ps2,Jogos e Consoles,Video Games,Video Games,,
moedor de grãos,grain grinder,Eletroportáteis,Home & Living,Home & Living,,
hornet 2014,hornet 2014,Others,Vehicle Accessories,,,
caneta personalizada,custom pen,Papelaria,Stationery,Stationery,Home & Living,
fechadura eletrônica,electronic lock,Casa e Decoração,Home & Living,Home & Living,,
samsung note 9,samsung note 9,Celulares e Dispositivos,Mobile & Accessories,Mobile & Accessories,,
ferrari,ferrari,Others,Toys & Hobbies,Men Clothes,Health & Beauty,
camisa social manga curta,short sleeve dress shirt,Roupas Masculinas,Men Clothes,Men Clothes,Men Clothes,Men's Wear
facas militares,military knives,Esportes e Lazer,Home & Living,Sports & Fitness,,
recalbox,recalbox,Brinquedos e Hobbies,Video Games,Mobile & Accessories,,
meias estampadas,printed socks,Roupas Femininas,Men Clothes,Men Clothes,Men Clothes,Men's Wear
xiaomi mia3,xiaomi mia3,Celulares e Dispositivos,Mobile & Accessories,Mobile & Accessories,,
toca fitas,tape player,Others,Electronics,Electronics,,
nano titanium,nano titanium,Eletroportáteis,Health & Beauty,Health & Beauty,,
escort conversivel,convertible escort,Others,,Vehicle Accessories,,
estojos,cases,Papelaria,Stationery,Stationery,,
tr4 diesel,tr4 diesel,Others,,,,
banheiro quimico aluguel,chemical toilet for rent,Others,,,,
casa container,container house,Casa e Decoração,,Health & Beauty,,
arcade fliperama,arcade arcade,Brinquedos e Hobbies,Video Games,Video Games,,
opala ss a venda,opal ss for sale,Others,,,,
biquíni 2019,bikini 2019,Roupas Femininas,Sports & Fitness,Women Clothes,,
tnt estampado,printed tnt,Papelaria,Home & Living,Home & Living,Home & Living,Home & Living
carteira pequena,small wallet,Bolsas Masculinas,Bags,Bags,Bags,
vw 8150,vw 8150,Others,Vehicle Accessories,,,
cruze 2012,cruise 2012,Others,Vehicle Accessories,Vehicle Accessories,,
corolla 2010,corolla 2010,Others,Vehicle Accessories,Vehicle Accessories,,
sexy shopping,sexy shopping,Others,Women Clothes,Health & Beauty,,
kit de ferramentas,toolkit,Casa e Decoração,Home & Living,Home & Living,,
bau da eletronica,electronics chest,Computadores e Acessórios,Home & Living,,,
espelho grande para quarto,large mirror for bedroom,Casa e Decoração,Home & Living,Home & Living,,
modulo taramps,taramps module,Áudio,Vehicle Accessories,Vehicle Accessories,,
telhas transparentes,transparent tiles,Others,Home & Living,Home & Living,,
cha seca barriga,dry belly tea,Saúde,Health & Beauty,Health & Beauty,Food & Beverage,
serra copo diamantada,diamond hole saw,Casa e Decoração,Home & Living,Home & Living,Home & Living,Home & Living
insulfilm g5,g5 window film,Automóveis,Vehicle Accessories,,,
iphone 8 red,iphone 8 red,Celulares e Dispositivos,Mobile & Accessories,Mobile & Accessories,,
chapinha profissional para progressiva,professional straightener for progressive,Beleza,,Health & Beauty,,
roupas no atacado,wholesale clothing,Roupas Masculinas,Women Clothes,Women Clothes,,
pedestal microfone,microphone stand,Áudio,Toys & Hobbies,Toys & Hobbies,Toys & Hobbies,
hd notebook,notebook hd,Computadores e Acessórios,Computing,Computing,,
chinelo cartago masculino,men's Cartago slippers,Sapatos Masculinos,Shoes,Shoes,Shoes,
maine coon preço,maine coon price,Animais Domésticos,,,,
xiaomi mi 7,xiaomi mi 7,Celulares e Dispositivos,Mobile & Accessories,,,
placas de gesso 3d,3d plasterboards,Others,Home & Living,Home & Living,,
placa mãe ddr3,ddr3 motherboard,Computadores e Acessórios,Computing,Computing,Computing,
ipod classic,ipod classic,Others,Mobile & Accessories,Mobile & Accessories,,
frontal s7 edge,s7 edge front,Celulares e Dispositivos,Mobile & Accessories,Mobile & Accessories,,
next garden,next garden,Animais Domésticos,Toys & Hobbies,Health & Beauty,,
freio a disco shimano,shimano disc brake,Esportes e Lazer,Sports & Fitness,,,
moletom feminino barato,cheap women's sweatshirt,Roupas Femininas,Women Clothes,Women Clothes,,
mouse pad grande,large mouse pad,Computadores e Acessórios,Computing,Computing,Computing,
encolhedor de molas,spring shrinker,Others,Vehicle Accessories,Vehicle Accessories,,
camisa social feminina,women's dress shirt,Roupas Femininas,Women Clothes,Women Clothes,Women Clothes,Women's Apparel
voyage 2015,voyage 2015,Others,Vehicle Accessories,Vehicle Accessories,,
capa de banco,bench cover,Automóveis,Vehicle Accessories,Vehicle Accessories,Vehicle Accessories,
tinta automotiva branca,white automotive paint,Automóveis,Home & Living,Vehicle Accessories,,
celular blue,blue cell phone,Celulares e Dispositivos,Mobile & Accessories,,,
jardineira masculina,men's dungarees,Roupas Masculinas,Men Clothes,Men Clothes,,
chinelos personalizados,custom slippers,Sapatos Femininos,Shoes,Shoes,,
epson,epson,Computadores e Acessórios,Computing,Computing,,
limpa contato,clean contact,Casa e Decoração,Vehicle Accessories,Computing,Computing,
a,the,Platform Terms (Shopee / Mercado),Health & Beauty,Health & Beauty,,Platform Terms (Lazada / Shopee)
escada de ferro,iron ladder,Others,Home & Living,,,
arlequina,harlequin,Roupas Femininas,Home & Living,Toys & Hobbies,Toys & Hobbies,
roupeiro solteiro,single wardrobe,Casa e Decoração,Home & Living,,,
a8,a8,Celulares e Dispositivos,Mobile & Accessories,Mobile & Accessories,,
purificador de agua soft,soft water purifier,Eletroportáteis,Home Appliance,,,
celular moto g7,moto g7 cell phone,Celulares e Dispositivos,Mobile & Accessories,Mobile & Accessories,,
pneu 195/55 r16,tire 195/55 r16,Automóveis,Vehicle Accessories,,,
radio comunicador,radio communicator,Áudio,Electronics,Electronics,Electronics,
avatar,avatar,Brinquedos e Hobbies,Home & Living,Home & Living,Home & Living,Home & Living
bateria 9v,9v battery,Computadores e Acessórios,Electronics,Computing,Home Appliance,
colágeno naara,naara collagen,Saúde,Health & Beauty,Health & Beauty,Health & Beauty,
carros infantil,kids cars,Brinquedos e Hobbies,Toys & Hobbies,Toys & Hobbies,,
cama box bau solteiro,single box bed,Casa e Decoração,Home & Living,Home & Living,,
bíblia cronológica,chronological bible,Others,Books & Magazines,Books & Magazines,,
a20s preço,a20s price,Celulares e Dispositivos,Mobile & Accessories,,,
farol da patrulha canina,paw patrol lighthouse,Brinquedos e Hobbies,Toys & Hobbies,Toys & Hobbies,,
fralda pampers confort sec g,pampers comfort dry g diaper,Mãe e Bebê,Babies,,,
copo de liquidificador mondial,mondial blender cup,Casa e Decoração,Home & Living,Home & Living,,
olx.com.br,olx.com.br,Others,Toys & Hobbies,,,
motorola g7,motorola g7,Celulares e Dispositivos,Mobile & Accessories,Mobile & Accessories,Mobile & Accessories,
sapateira de madeira,wooden shoe rack,Casa e Decoração,Home & Living,Home & Living,,
creatina 1kg,creatine 1kg,Saúde,Health & Beauty,Health & Beauty,Health & Beauty,
creme dental sem fluor,fluoride free toothpaste,Saúde,Health & Beauty,Health & Beauty,,
creme depilatorio avon,avon depilatory cream,Beleza,Health & Beauty,Health & Beauty,,
sapatilha shimano,shimano shoes,Esportes e Lazer,Sports & Fitness,Sports & Fitness,,
moto 150,motorcycle 150,Others,Vehicle Accessories,Vehicle Accessories,,
anel de compromisso,promise ring,Relógios,Jewelry & Watches,Jewelry & Watches,,
luva ciclismo,cycling glove,Esportes e Lazer,Sports & Fitness,Sports & Fitness,Sports & Fitness,
computador usado,used computer,Computadores e Acessórios,Computing,Jewelry & Watches,,
televisão smart 32,smart tv 32,Eletroportáteis,Electronics,Electronics,,
peugeot 3008,peugeot 3008,Others,Vehicle Accessories,Vehicle Accessories,,
comprar cachorro,buy dog,Animais Domésticos,Pets,,,
lustres para sala de jantar,chandeliers for dining room,Casa e Decoração,Home & Living,Home & Living,,
capacete escamoteavel,retractable helmet,Motocicletas,Vehicle Accessories,Vehicle Accessories,,
m30 samsung,m30 samsung,Celulares e Dispositivos,Mobile & Accessories,Mobile & Accessories,,
depilador de sobrancelha,eyebrow waxer,Beleza,Health & Beauty,Health & Beauty,Health & Beauty,
gaiola para codorna,quail cage,Animais Domésticos,Pets,Electronics,,
carrinho guarda chuva,umbrella stroller,Mãe e Bebê,Babies,Babies,,
celulares samsung j7,samsung j7 cell phones,Celulares e Dispositivos,Mobile & Accessories,,,
faixa elástica,elastic band,Esportes e Lazer,Sports & Fitness,Sports & Fitness,Sports & Fitness,
ninho redutor,reducing nest,Mãe e Bebê,Babies,Babies,Babies,
graxa de silicone,silicone grease,Casa e Decoração,Computing,Home Appliance,Home & Living,
blazer,blazer,Roupas Femininas,Women Clothes,Women Clothes,Women Clothes,Women's Apparel
mesa para varanda,balcony table,Casa e Decoração,Home & Living,Home & Living,,
tv 32 polegadas smart,32 inch smart tv,Eletroportáteis,Electronics,Electronics,,
bateria 150 amperes,150 amp battery,Automóveis,Vehicle Accessories,,,
capacete de trilha,trail helmet,Motocicletas,Sports & Fitness,Vehicle Accessories,Vehicle Accessories,
papel toalha,paper towel,Casa e Decoração,Home & Living,Home & Living,,
moto g 4,moto g 4,Celulares e Dispositivos,Mobile & Accessories,Mobile & Accessories,,
tv 43 4k,tv 43 4k,Eletroportáteis,Electronics,,,
hornet preço,hornet price,Others,Motorcycles,Computers & Accessories,Computers & Accessories,
gsx s750,gsx s750,Others,Vehicle Accessories,,,
rx 580 8gb preço,rx 580 8gb price,Computadores e Acessórios,,Computing,,
roupa feminina,women's clothing,Roupas Femininas,Women Clothes,Women Clothes,Women Clothes,Women's Apparel
galaxy a 50,galaxy a 50,Celulares e Dispositivos,Mobile & Accessories,,,
iphone 1,iphone 1,Celulares e Dispositivos,Mobile & Accessories,Mobile & Accessories,,
tv 70 polegadas 4k,70 inch 4k tv,Eletroportáteis,,Electronics,,
chip da tim,tim chip,Celulares e Dispositivos,,Electronics,,
escova eletrica,electric brush,Saúde,Health & Beauty,Health & Beauty,Health & Beauty,
tv lg 50,lg tv 50,Eletroportáteis,Electronics,,,
escova giratoria,rotating brush,Beleza,Home & Living,Health & Beauty,,
adesivo vinilico,vinyl sticker,Casa e Decoração,Home & Living,Home & Living,,
jogos nintendo switch,nintendo switch games,Jogos e Consoles,Video Games,Video Games,Video Games,
minie,minie,Brinquedos e Hobbies,Babies,Home & Living,,
mesa de jantar com 4 cadeiras,dining table with 4 chairs,Casa e Decoração,Toys & Hobbies,Home & Living,,
balcão cooktop,cooktop counter,Casa e Decoração,Home & Living,Home & Living,,
celular moto g,moto g cell phone,Celulares e Dispositivos,Mobile & Accessories,Mobile & Accessories,,
tv smart 32 polegadas,32 inch smart tv,Eletroportáteis,Electronics,Computing,,
astro a40,astro a40,Computadores e Acessórios,Mobile & Accessories,Mobile & Accessories,,
esponja nudred,nudred sponge,Beleza,Health & Beauty,Health & Beauty,Health & Beauty,
telescopio profissional,professional telescope,Esportes e Lazer,Sports & Fitness,Sports & Fitness,,
estetoscópio littmann,littmann stethoscope,Saúde,Health & Beauty,Health & Beauty,,
capinha j7 prime,j7 prime case,Celulares e Dispositivos,Mobile & Accessories,Mobile & Accessories,Mobile & Accessories,
mi band 4 preço,mi band 4 price,Celulares e Dispositivos,,Mobile & Accessories,,
ventilador turbo,turbo fan,Eletroportáteis,Home Appliance,Home Appliance,,
capa de violão,guitar cover,Brinquedos e Hobbies,Toys & Hobbies,Toys & Hobbies,,
banheiro para gatos,cat toilet,Animais Domésticos,Pets,,,
tv smart 60 polegadas,60 inch smart tv,Áudio,Electronics,,,
glatten,glatten,Beleza,Health & Beauty,Health & Beauty,Health & Beauty,
ps4 slim preço,ps4 slim price,Jogos e Consoles,Video Games,Video Games,,
moletom do now united,now united sweatshirt,Roupas Femininas,Men Clothes,Men Clothes,,
halteres e anilhas,dumbbells and weights,Esportes e Lazer,Sports & Fitness,Home Appliance,,
portao usado,used gate,Casa e Decoração,Books & Magazines,Women Clothes,,
moto home,motorcycle man,Others,Mobile & Accessories,,,
brinquedos para cachorro,dog toys,Animais Domésticos,Pets,Pets,Pets,
tv led 24,led tv 24,Eletroportáteis,Home & Living,,,
jogo detetive,detective game,Brinquedos e Hobbies,Toys & Hobbies,Toys & Hobbies,Toys & Hobbies,
word pc,word pc,Computadores e Acessórios,,Home & Living,,
a71 branco,a71 white,Celulares e Dispositivos,Mobile & Accessories,Mobile & Accessories,,
ficher,filer,Others,Toys & Hobbies,Pets,,
dragonite,dragonite,Brinquedos e Hobbies,Toys & Hobbies,Toys & Hobbies,,
fogão de lenha,wood stove,Eletroportáteis,Sports & Fitness,Home & Living,,
pll,pll,Livros e Revistas,Home & Living,Home & Living,,
bicicleta aro 26 feminina,26 inch women's bike,Esportes e Lazer,Sports & Fitness,,,
videos amadores,amateur videos,Others,Mobile & Gadgets,,,
bilhar,billiards,Brinquedos e Hobbies,Sports & Fitness,Sports & Fitness,,
rog phone 3,rog phone 3,Celulares e Dispositivos,Mobile & Accessories,Mobile & Accessories,Mobile & Accessories,
cortina jacquard,jacquard curtain,Casa e Decoração,Home & Living,Home & Living,Home & Living,Home & Living
pesos para academia,weights for gym,Esportes e Lazer,Sports & Fitness,Sports & Fitness,,
microondas 30l,microwave 30l,Eletroportáteis,Home Appliance,,,
registro de gas,gas log,Casa e Decoração,Home & Living,Home & Living,,
celular samsung a 50,Samsung cell phone at 50,Celulares e Dispositivos,Mobile & Accessories,,,
ponto eletronico,electronic point,Computadores e Acessórios,Home & Living,,,
monitor 18 polegadas,18 inch monitor,Computadores e Acessórios,Computing,Toys & Hobbies,,
ioio,yoyo,Brinquedos e Hobbies,Toys & Hobbies,Toys & Hobbies,Toys & Hobbies,
carrinho de bebe moises,Moses basket,Mãe e Bebê,Babies,Babies,,
ar condicionado de 9000 btus,9000 btu air conditioning,Eletroportáteis,,Home Appliance,,
celular s9 plus,s9 plus cell phone,Celulares e Dispositivos,Mobile & Accessories,,,
maquina de cortar cabelo cadence,cadence hair cutting machine,Computadores e Acessórios,Health & Beauty,Health & Beauty,,
ar condicionado gree,gree air conditioning,Eletroportáteis,Home Appliance,,,
air fryer vermelha,red air fryer,Eletroportáteis,,Home Appliance,,
smartwatch y68,smartwatch y68,Celulares e Dispositivos,Mobile & Accessories,Mobile & Accessories,Mobile & Accessories,
lavatorio portatil,portable washbasin,Beleza,Home & Living,Health & Beauty,Health & Beauty,
boneca arlequina,harlequin doll,Brinquedos e Hobbies,Toys & Hobbies,Toys & Hobbies,,
chivas 12 anos,chivas 12 years,Alimentos e Bebidas,Food & Beverage,Shoes,,
mesa escritorio em l,l shaped office desk,Casa e Decoração,Stationery,,,
novo iphone,new iphone,Celulares e Dispositivos,Mobile & Accessories,Mobile & Accessories,,
banheira com suporte burigotto,bathtub with burigotto support,Casa e Decoração,,Babies,,
headset para celular,headset for cell phone,Celulares e Dispositivos,Mobile & Accessories,Mobile & Accessories,,
prateleira branca,white shelf,Casa e Decoração,Home & Living,Home & Living,Home & Living,Home & Living
guarda roupa e comoda,wardrobe and dresser,Casa e Decoração,Home & Living,,,
madeireira,lumberyard,Casa e Decoração,Toys & Hobbies,,,
luminária led,led lamp,Casa e Decoração,Home & Living,Home & Living,Home & Living,Home & Living
escada telescópica,telescopic ladder,Casa e Decoração,Home & Living,Home & Living,,
delinea corpus cinta,outlines corpus girdle,Roupas Femininas,Health & Beauty,Health & Beauty,,
luva de latex,latex glove,Saúde,Health & Beauty,Health & Beauty,,
mulheres sem calcinha,women without panties,Others,Women Clothes,,,
amendoas preço,almonds price,Alimentos e Bebidas,Food & Beverages,Food & Beverages,Food & Beverages,Food & Beverages
manguito ciclismo,cycling sleeve,Esportes e Lazer,Sports & Fitness,Sports & Fitness,,
celular a31 samsung,samsung a31 cell phone,Celulares e Dispositivos,Mobile & Accessories,,,
cadeiras de escritório,office chairs,Casa e Decoração,Home & Living,Home & Living,,
tv 50 polegadas 4k samsung,50 inch 4k samsung tv,Áudio,Electronics,Electronics,,
carteira masculina tommy,Tommy men's wallet,Acessórios de Moda,Bags,Bags,,
jogo de panela tramontina paris,Tramontina Paris cookware set,Casa e Decoração,Home & Living,Health & Beauty,,
maca para massagens,massage table,Saúde,Health & Beauty,Health & Beauty,,
teta de nega,black tit,Alimentos e Bebidas,Food & Beverage,Food & Beverage,,
leite condensado,condensed milk,Alimentos e Bebidas,Food & Beverage,Food & Beverage,Food & Beverage,
tv de 43 polegadas,43 inch tv,Áudio,Electronics,,,
tinta epoxi preço,epoxy paint price,Casa e Decoração,Beauty,Automobiles,Automobiles,
mala de viagem 23 kg,suitcase 23 kg,Viagens e Bagagens,,Computing,,
liquidificador portátil,portable blender,Eletroportáteis,Home Appliance,Home Appliance,Home Appliance,
hd notebook 320gb,320gb notebook hd,Computadores e Acessórios,Computing,Computing,,
xicaras,cups,Casa e Decoração,Home & Living,Home & Living,,
gaveta caixa,drawer box,Casa e Decoração,Home & Living,Home & Living,,
quadro bicicleta,bicycle frame,Esportes e Lazer,Sports & Fitness,Sports & Fitness,,
xiaomi 9,xiaomi 9,Celulares e Dispositivos,Mobile & Accessories,Mobile & Accessories,Mobile & Accessories,
celular a01 samsung,samsung a01 cell phone,Celulares e Dispositivos,Mobile & Accessories,Mobile & Accessories,,
spirit ventilador,spirit fan,Eletroportáteis,Home Appliance,,,
pneu continental,continental tire,Automóveis,Sports & Fitness,Sports & Fitness,,
cadeira allegra preta,black allegra chair,Casa e Decoração,,Home & Living,,
armário multiuso lavanderia,multipurpose laundry cabinet,Casa e Decoração,Home & Living,,,
porta talheres,cutlery holder,Casa e Decoração,Home & Living,Home & Living,Home & Living,Home & Living
bateria xbox one,xbox one battery,Jogos e Consoles,Video Games,Video Games,Video Games,
bacia,bowl,Casa e Decoração,Home & Living,Home & Living,Home & Living,Home & Living
mesa 4 cadeiras pequena,small table with 4 chairs,Casa e Decoração,Home & Living,,,
rtx 3080,rtx 3080,Computadores e Acessórios,Computing,Computing,,
mascara antiviral,antiviral mask,Saúde,Health & Beauty,Health & Beauty,,
trembolona preço,trenbolone price,Others,Health,Health,Health,Health & Wellness
quadro personalizado,custom frame,Casa e Decoração,Home & Living,Home & Living,Home & Living,Home & Living
mascara de gas,gas mask,Saúde,Health & Beauty,Home & Living,,
shorts moletom feminino,women's sweat shorts,Roupas Femininas,Women Clothes,Women Clothes,,
placa de video gtx,gtx video card,Computadores e Acessórios,Computing,Computing,,
máscara facial,face mask,Saúde,Health & Beauty,Health & Beauty,Health & Beauty,
preço iphone,iphone price,Celulares e Dispositivos,Mobile & Accessories,Mobile & Accessories,,
piscina de plastico 3000 litros,plastic pool 3000 liters,Brinquedos e Hobbies,Sports & Fitness,,,
motor para maquina de costura,sewing machine motor,Eletroportáteis,Home Appliance,Home Appliance,,
geladeira panasonic 483 litros,panasonic refrigerator 483 liters,Eletroportáteis,,Home & Living,,
castor,beaver,Casa e Decoração,Home & Living,Sports & Fitness,,
