Keyword,en_Keyword,Category,imp_level1_category_1d,pv_level1_category_1d,order_level1_category_1d,sg_category
xiaomi note 10 s,xiaomi note 10 s,Celulares y Gadgets,-,Mobile & Gadgets,,
celular motorola g20,motorola g20 cell phone,Celulares y Gadgets,Mobile & Gadgets,,,
creatina monohidratada precio,creatine monohydrate price,Salud,,,,
kappa,kappa,Deportes y Fitness,,Mobile & Gadgets,,
carboblocker fb colombia,carboblocker fb colombia,Others,,,,
balones golty originales,original golty balls,Deportes y Fitness,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
protectores de lluvia para zapatos,rain covers for shoes,Accesorios de Moda,Men Shoes,Home & Living,Sports & Outdoors,
kit de pesas y mancuernas,dumbbell and weight set,Deportes y Fitness,,Sports & Outdoors,Sports & Outdoors,
lamparas medellin,medellin lamps,Hogar y Vida,,,,
forros protectores para muebles,protective covers for furniture,Hogar y Vida,Home & Living,,,
lazos para hacer ejercicio,exercise loops,Deportes y Fitness,Sports & Outdoors,Fashion Accessories,Fashion Accessories,
gabardina,raincoat,Ropa de Mujer,Women Clothes,Women Clothes,,
proyector minema,minema projector,Electrónica,Home Appliances,Home Appliances,Home Appliances,Home Appliances
underarmour charged,underarmour charged,Accesorios de Moda,,,,
oximetro bucaramanga,oximeter bucaramanga,Salud,,,,
psyllium,psyllium,Salud,Health,Health,Health,Health & Wellness
acer gamer portatil,acer gamer laptop,Computación,,,,
filtros para piscinas,pool filters,Hogar y Vida,Home & Living,,,
inflador de bombas,pump inflator,Accesorios para Vehículos,,Sports & Fitness,,
piloski,piloski,Belleza,,,,
alicates crescent,crescent pliers,Others,Home & Living,Home & Living,Home & Living,Home & Living
estufa moderna electrica,modern electric stove,Electrodomésticos,,,,
linio colombia,Linio Colombia,Platform Terms (Mercado/Shopee),Women Clothes,Women Clothes,Women Clothes,Women's Apparel
astro luna,star moon,Hogar y Vida,Fashion Accessories,Fashion Accessories,Fashion Accessories,Jewellery & Accessories
patines semiprofesionales,semi-professional skates,Deportes y Fitness,,Sports & Fitness,,
barra de sonido,sound bar,Electrónica,Electronics,Electronics,,
ttr 200,ttr 200,Accesorios para Vehículos,Vehicle Accessories,,,
glucosamina precio,glucosamine price,Salud,,,,
pocox3nfc,pocox3nfc,Celulares y Gadgets,Mobile & Gadgets,,,
colegialas,schoolgirls,Ropa de Mujer,Women Clothes,Women Clothes,,
sillas para escritorio,desk chairs,Hogar y Vida,,Home & Living,,
sillas para bar,bar chairs,Hogar y Vida,Toys & Hobbies,Home & Living,,
luz led para moto,led light for motorcycle,Accesorios para Vehículos,Vehicle Accessories,Vehicle Accessories,,
haramain amber oud gold,haramain amber oud gold,Belleza,Beauty,Beauty,Beauty,Beauty & Personal Care
diamond painting,diamond painting,Hogar y Vida,Sports & Fitness,Home & Living,,
casas prefabricadas precios y fotos,prefabricated houses prices and photos,Others,,,,
similac 2,similac 2,Madre y Bebé,Mom & Baby,Mom & Baby,Mom & Baby,"Toys, Kids & Babies"
cargador asus,asus charger,Computación,,Computing,,
vitrina para empanadas,display case for empanadas,Hogar y Vida,Home & Living,Home & Living,Home Appliances,
chevrolet samurai,Chevrolet Samurai,Others,Automobiles,,,
venta de carros usados cali,used car sales cali,Accesorios para Vehículos,,,,
cocinas integrales medellin,integral kitchens medellin,Hogar y Vida,,,,
reebok,reebok,Deportes y Fitness,Men Shoes,Men Clothes,,
impresoras,printers,Computación,Computing,Computing,,
decorados de uñas,nail art,Belleza,Beauty,,,
samsung a22 precio,samsung a22 price,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
smirnoff precio,smirnoff price,Alimentos y Bebidas,,,,
tucson,tucson,Accesorios para Vehículos,Vehicle Accessories,Vehicle Accessories,,
floppa,floppa,Hogar y Vida,Men Clothes,Men Clothes,Men Clothes,Men's Wear
suzuki vitara,suzuki vitara,Accesorios para Vehículos,,Vehicle Accessories,,
autos usados,used cars,Others,Automobiles,,,
benelli,benelli,Others,Vehicle Accessories,Vehicle Accessories,,
sillas de oficina,office chairs,Hogar y Vida,Home & Living,Home & Living,,
cf moto 250 sr,cfmoto 250 sr,Others,Vehicle Accessories,Vehicle Accessories,,
s10,s10,Celulares y Gadgets,,Mobile & Gadgets,,
pijamas mujer,women's pajamas,Ropa de Mujer,Women Clothes,Women Clothes,,
comodas,comfortable,Hogar y Vida,Home & Living,,,
montale,ride it,Belleza,Beauty,Beauty,Beauty,Beauty & Personal Care
precio xbox 360,xbox 360 price,Videojuegos,,,,
cartuchera,pencil case,Papelería,,Toys & Hobbies,,
bebes reborn,reborn babies,Madre y Bebé,Toys & Hobbies,Toys & Hobbies,,
nintendo 3ds,Nintendo 3DS,Videojuegos,Computing,Video Games,,
bolsos para hombre,men's bags,Bolsas de Hombre,Sports & Fitness,Men Bags,,
alquiler de motos medellin,motorcycle rental medellin,Accesorios para Vehículos,,,,
yamaha xtz 125,yamaha xtz 125,Accesorios para Vehículos,Vehicle Accessories,,,
minibar nevera,minibar fridge,Electrodomésticos,Hobbies & Collections,Stationery,Stationery,
tendederos de ropa plegables,folding clotheslines,Hogar y Vida,Home & Living,,,
comedores 6 puestos,6-seat dining rooms,Hogar y Vida,Home & Living,Home & Living,Home & Living,Home & Living
bolirana electrónica,electronic bolirana,Juguetes y Hobbies,Automobiles,Automobiles,Automobiles,Automotive
prepago bogota,prepaid bogota,Others,,,,
audifonos kz,kz headphones,Electrónica,Mobile & Gadgets,Mobile & Gadgets,,
maletas para motos,motorcycle cases,Accesorios para Vehículos,Stationery,,,
samsung tv 65 pulgadas,samsung tv 65 inches,Electrónica,Home Appliances,Home Appliances,Home Appliances,Home Appliances
extractores de cocina,kitchen extractors,Electrodomésticos,Home & Living,Home & Living,Home & Living,Home & Living
criadero de perros bogota,dog kennel bogota,Mascotas,,,,
parranda vallenata bogotá,vallenato party bogota,Others,,,,
ollas a presión imusa,imusa pressure cookers,Hogar y Vida,Home Appliances,Home Appliances,Home Appliances,Home Appliances
mt 09 moto,mt 09 motorcycle,Accesorios para Vehículos,Motorcycles,Motorcycles,Motorcycles,
disfraces hombre halloween,men's halloween costumes,Ropa de Hombre,Home & Living,,,
sillas de bebe para carro,baby car seats,Madre y Bebé,Home & Living,,,
yz125 precio,yz125 price,Accesorios para Vehículos,,,,
computador de escritorio,desktop computer,Computación,,Computing,,
velez morral,Velez backpack,Bolsos de Mujer,Men Bags,Men Clothes,Men Clothes,
precio coronita,crown price,Alimentos y Bebidas,,,,
lampara de escritorio,desk lamp,Hogar y Vida,,Home & Living,,
jabon careve,careve soap,Belleza,Beauty,Beauty,Beauty,Beauty & Personal Care
dogourmet,dogourmet,Mascotas,Pets,Pets,Pets,
panorámicos,Panoramic,Others,,,,
paisas desnudas,Naked Paisas,Others,,,,
nebulizador pediátrico,pediatric nebulizer,Salud,Health,Health,Health,Health & Wellness
masajes eroticos bogota,erotic massages bogota,Salud,,,,
amber rouge,amber rouge,Belleza,Beauty,Beauty,Beauty,Beauty & Personal Care
olaplex 4 en 1,olaplex 4 in 1,Belleza,,,,
micrófonos inalámbricos,wireless microphones,Electrónica,Toys & Hobbies,Electronics,,
cosmetiqueras,cosmetic bags,Belleza,Beauty,Beauty,,
estufa de gas,gas stove,Electrodomésticos,Home & Living,Home & Living,,
ferrero rocher precio,ferrero rocher price,Others,,,,
portaretratos,picture frame,Hogar y Vida,,Home & Living,,
videobeam,video beam,Electrónica,Home & Living,,,
shindaiwa b45,shindaiwa b45,Hogar y Vida,Home & Living,Home & Living,Home & Living,Home & Living
iphone 15 pro max precio colombia,iphone 15 pro max price colombia,Celulares y Gadgets,,,,
nintendo wii precio,nintendo wii price,Videojuegos,,,,
traje de baño,swimsuit,Ropa de Mujer,Sports & Fitness,Sports & Fitness,Baby & Kids Fashion,
prepagos en bello,prepaid in bello,Others,,,,
escorts ibague,escorts ibague,Others,,,,
honor x6s,honor x6s,Celulares y Gadgets,,Mobile & Gadgets,Mobile & Gadgets,
sandalias de tiburon,shark sandals,Calzado de Hombre,Baby & Kids Fashion,Baby & Kids Fashion,Baby & Kids Fashion,
redmi note 12 precio,redmi note 12 price,Others,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
caja de tapabocas,box of face masks,Salud,Fashion Accessories,,,
regalos dia de la mujer,women's day gifts,Others,Men Clothes,Fashion Accessories,Fashion Accessories,
shampoo cubre canas,shampoo covers gray hair,Belleza,Beauty,Beauty,Beauty,Beauty & Personal Care
nkd 150,nkd 150,Accesorios para Vehículos,Motorcycles,Home & Living,Home & Living,
angeo,angelo,Hogar y Vida,Electronics,,,
pantalones oversize,oversized pants,Ropa de Hombre,Men Clothes,Women Clothes,,
vasos de cocacola,coca cola glasses,Hogar y Vida,Home & Living,Home & Living,Home & Living,Home & Living
reloj de la muerte,death clock,Joyas y Relojes,Watches,Mobile & Gadgets,Mobile & Gadgets,
vasos coca cola,coca cola glasses,Hogar y Vida,Home & Living,,,
muñecos,dolls,Juguetes y Hobbies,Toys & Hobbies,Toys & Hobbies,,
llaves para lavaplatos economicas,cheap dishwasher keys,Hogar y Vida,,,,
carditone para que sirve,cardiotone what is it for,Salud,,,,
miracle moo,miracle moon,Hogar y Vida,Beauty,Beauty,Beauty,Beauty & Personal Care
shilajit precio,shilajit price,Others,,,,
regalos del dia de la madre,mother's day gifts,Others,,Mom & Baby,Fashion Accessories,
redmi note 13 pro max,redmi note 13 pro max,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
samsung s24,samsung s24,Celulares y Gadgets,,,,
motos para niños de 9 a 12 años de gasolina,Gasoline powered motorcycles for children from 9 to 12 years old,Accesorios para Vehículos,,,,
sabueso fino colombiano,Colombian fine hound,Mascotas,,,,
