Keyword,en_Keyword,Category,imp_level1_category_1d,pv_level1_category_1d,order_level1_category_1d,sg_category
slippers,slippers,Women's Shoes,Women's Shoes,Women's Shoes,Men's Shoes,Women's Shoes
milk storage bag,milk storage bag,"Toys, Kids & Babies","Toys, Kids & Babies","Toys, Kids & Babies","Toys, Kids & Babies","Toys, Kids & Babies"
chng kae,chng kae,Food & Beverages,Food & Beverages,Food & Beverages,,Food & Beverages
male cheongsam,male cheongsam,Men's Wear,Men's Wear,,,Men's Wear
gss 2022,gss 2022,Platform Terms (Lazada / Shopee),Women Bags,Beauty,Beauty,Platform Terms (Lazada / Shopee)
luosifen singapore,luosifen singapore,Food & Beverages,,,,Food & Beverages
drill battery,drill battery,Home & Living,Home & Living,Mobile & Gadgets,,Home & Living
cheetos flamin hot,cheetos flamin hot,Food & Beverages,Food & Beverages,,,Food & Beverages
3060 price,3060 price,Computers & Peripherals,Computers & Accessories,Computers & Accessories,Computers & Accessories,Computers & Peripherals
mattress memory foam,mattress memory foam,Home & Living,Home & Living,,,Home & Living
champion sports,champion sports,Sports & Outdoors,Men's Wear,,,Sports & Outdoors
toilet mirror,toilet mirror,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
mens sunglasses,mens sunglasses,Jewellery & Accessories,Jewellery & Accessories,Jewellery & Accessories,,Jewellery & Accessories
ps5 digital edition singapore,ps5 digital edition singapore,Video Games,Gaming & Consoles,Gaming & Consoles,Gaming & Consoles,Video Games
bicycle front basket,bicycle front basket,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,,Sports & Outdoors
the coopidea,the coopidea,Mobile & Gadgets,,Mobile & Gadgets,,Mobile & Gadgets
jumpsuit for men,jumpsuit for men,Men's Wear,Kids Fashion,Sports & Outdoors,,Men's Wear
ps4 pro,ps4 pro,Video Games,Video Games,Video Games,,Video Games
rgb light strip,rgb light strip,Home & Living,Home & Living,Home & Living,,Home & Living
yuzumi,yuzumi,Health & Wellness,Health & Wellness,Health & Wellness,Health & Wellness,Health & Wellness
diary book,diary book,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
ampoule hair,ampoule hair,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,,Beauty & Personal Care
omni frozen,omni frozen,Food & Beverages,Food & Beverages,Food & Beverages,,Food & Beverages
ribena jelly drink,ribena jelly drink,Food & Beverages,Food & Beverages,Food & Beverages,,Food & Beverages
rio drinks,rio drinks,Food & Beverages,Food & Beverages,Food & Beverages,,Food & Beverages
baggie's,baggie's,Food & Beverages,Men Clothes,,,Food & Beverages
straw tumbler,straw tumbler,Home & Living,Home & Living,Home & Living,,Home & Living
premium sg,premium sg,Mobile & Gadgets,Home & Living,Mobile & Gadgets,,Mobile & Gadgets
k380 logitech keyboard,k380 logitech keyboard,Computers & Peripherals,Computers & Peripherals,Computers & Peripherals,,Computers & Peripherals
cctv camera wireless,cctv camera wireless,Cameras & Drones,Cameras & Drones,Cameras & Drones,,Cameras & Drones
goo,goo,"Toys, Kids & Babies",Home & Living,Home & Living,,"Toys, Kids & Babies"
mx keys,mx keys,Computers & Peripherals,Computers & Peripherals,Computers & Peripherals,,Computers & Peripherals
satisfyer pro 2,satisfyer pro 2,Health & Wellness,Miscellaneous,Miscellaneous,,Health & Wellness
panini maker,panini maker,Home Appliances,Home & Living,Home & Living,,Home Appliances
bakers oven,bakers oven,Food & Beverages,Home & Living,Home & Living,,Food & Beverages
where to watch f1 in singapore,where to watch f1 in singapore,Lifestyle,,,,Lifestyle
curtain blind,curtain blind,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
aape singapore,aape singapore,Mobile & Gadgets,,,,Mobile & Gadgets
portable kettle,portable kettle,Home Appliances,Home Appliances,Home Appliances,Home Appliances,Home Appliances
crocs online singapore,crocs online singapore,Men's Shoes,,,,Men's Shoes
parfume,parfume,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,,Beauty & Personal Care
timbuk2 backpack,timbuk2 backpack,Men's Bags,Men's Bags,Men's Bags,,Men's Bags
hacipupu,hacipupu,Hobbies & Books,Hobbies & Collections,Hobbies & Collections,Hobbies & Collections,Hobbies & Books
hair clip,hair clip,Jewellery & Accessories,Jewellery & Accessories,Jewellery & Accessories,Jewellery & Accessories,Jewellery & Accessories
ceiling fan singapore with light,ceiling fan singapore with light,Home Appliances,,,,Home Appliances
chandelier lights,chandelier lights,Home & Living,Home & Living,Home & Living,,Home & Living
bbq portable grill,bbq portable grill,Home & Living,Home & Living,Sports & Outdoors,,Home & Living
hdmi vga adapter,hdmi vga adapter,Computers & Peripherals,Computers & Peripherals,Computers & Peripherals,Computers & Peripherals,Computers & Peripherals
philip air purifier,philip air purifier,Home Appliances,Home Appliances,Home Appliances,Home Appliances,Home Appliances
crampon,crampon,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,,Sports & Outdoors
nail filer,nail filer,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,,Beauty & Personal Care
seahorse outlet in singapore,seahorse outlet in singapore,Home & Living,,,,Home & Living
sarasa pens,sarasa pens,Home & Living,Home & Living,Home & Living,,Home & Living
burga phone case,burga phone case,Mobile & Gadgets,Mobile & Gadgets,,,Mobile & Gadgets
anna nucci sandals,anna nucci sandals,Women's Shoes,,Men's Shoes,,Women's Shoes
dyson singapore hair dryer,dyson singapore hair dryer,Home Appliances,Beauty,Beauty,Beauty,Home Appliances
dyson filter,dyson filter,Home Appliances,Home Appliances,Home Appliances,Home Appliances,Home Appliances
lato lato,lato lato,"Toys, Kids & Babies",,Mom & Baby,Mom & Baby,"Toys, Kids & Babies"
mellower coffe,mellower coffe,Food & Beverages,Food & Beverages,Food & Beverages,Food & Beverages,Food & Beverages
massage osim,massage osim,Health & Wellness,Home & Living,Home & Living,,Health & Wellness
&honey shampoo,&honey shampoo,Beauty & Personal Care,Beauty & Personal Care,,,Beauty & Personal Care
s23,s23,Mobile & Gadgets,Sports & Outdoors,,,Mobile & Gadgets
prom dress singapore,prom dress singapore,Women's Apparel,Women Clothes,Women Clothes,Women Clothes,Women's Apparel
carhartt sling bag,carhartt sling bag,Men's Bags,Men's Bags,Men's Bags,Men's Bags,Men's Bags
hot wheel,hot wheel,"Toys, Kids & Babies",Hobbies & Books,"Toys, Kids & Babies",,"Toys, Kids & Babies"
tank water,tank water,Home & Living,Home & Living,,,Home & Living
vida drinks,vida drinks,Food & Beverages,,,,Food & Beverages
lg gram+,lg gram+,Computers & Peripherals,Computers & Accessories,Computers & Accessories,Computers & Accessories,Computers & Peripherals
tufting gun,tufting gun,Home & Living,Home Appliances,Home Appliances,,Home & Living
"42"" tv","42"" tv",Home Appliances,Home Appliances,Home Appliances,,Home Appliances
kalguksu singapore,kalguksu singapore,Food & Beverages,Stationery,Food & Beverages,Stationery,Food & Beverages
welcia-bhg,welcia-bhg,Health & Wellness,,Beauty & Personal Care,,Health & Wellness
posca marker,posca marker,Home & Living,Home & Living,Home & Living,,Home & Living
samsung tv remote control,samsung tv remote control,Home Appliances,Home Appliances,Home Appliances,Home Appliances,Home Appliances
dyson v11 singapore,dyson v11 singapore,Home Appliances,,,,Home Appliances
frozt,frozt,Food & Beverages,Food & Beverages,Food & Beverages,,Food & Beverages
yam mooncake 2022,yam mooncake 2022,Food & Beverages,,,,Food & Beverages
durians near me,durians near me,Food & Beverages,,,,Food & Beverages
www.lazada.singapore,www.lazada.singapore,Platform Terms (Lazada / Shopee),,,,Platform Terms (Lazada / Shopee)
nike sale,nike sale,Men's Shoes,Men's Shoes,Men's Wear,,Men's Shoes
soy milk maker,soy milk maker,Home Appliances,Home Appliances,Home Appliances,,Home Appliances
asyura paste,asyura paste,Food & Beverages,,Food & Beverages,,Food & Beverages
flexicure cream singapore,flexicure cream singapore,Health & Wellness,Health,Health,Beauty,Health & Wellness
oreo blackpink singapore,oreo blackpink singapore,Food & Beverages,Food & Beverages,Food & Beverages,Food & Beverages,Food & Beverages
merrell hiking shoes,merrell hiking shoes,Men's Shoes,Sports & Outdoors,Sports & Outdoors,,Men's Shoes
russet bag japan,russet bag japan,Women's Bags,Women Bags,Women Bags,Women Bags,Women's Bags
crochet kit,crochet kit,Hobbies & Books,Home & Living,Home & Living,Home & Living,Hobbies & Books
korean sim card singapore,korean sim card singapore,Mobile & Gadgets,,,,Mobile & Gadgets
beats studio buds +,beats studio buds +,Mobile & Gadgets,Mobile & Gadgets,Audio,Audio,Mobile & Gadgets
olight singapore,olight singapore,Sports & Outdoors,,,,Sports & Outdoors
lilit,lilit,Women's Apparel,Women's Apparel,Women's Apparel,,Women's Apparel
butane gas canister,butane gas canister,Home & Living,Sports & Outdoors,Home & Living,,Home & Living
nuyolk,nuyolk,Food & Beverages,Food & Beverages,,,Food & Beverages
phytopecia shampoo,phytopecia shampoo,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,,Beauty & Personal Care
advent calendar 2022 singapore,advent calendar 2022 singapore,Home & Living,,,,Home & Living
limited edt sg,limited edt sg,Home & Living,Beauty,Beauty,Beauty,Home & Living
mari bank,mari bank,Platform Terms (Lazada / Shopee),Hobbies & Collections,Gaming & Consoles,Gaming & Consoles,Platform Terms (Lazada / Shopee)
minds cafe,minds cafe,Lifestyle,Food & Beverages,Hobbies & Books,,Lifestyle
nokia wifi beacon 2,nokia wifi beacon 2,Computers & Peripherals,Computers & Peripherals,,,Computers & Peripherals
pheromone perfume,pheromone perfume,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,,Beauty & Personal Care
recoil sg,recoil sg,Men's Wear,Sports & Outdoors,,,Men's Wear
resort world cruise,resort world cruise,Lifestyle,"Tickets, Vouchers & Services","Tickets, Vouchers & Services",Mom & Baby,Lifestyle
sonny angel,sonny angel,Hobbies & Books,"Toys, Kids & Babies","Toys, Kids & Babies",,Hobbies & Books
t100 karaoke,t100 karaoke,Home Appliances,Audio,Audio,Audio,Home Appliances
haerin,haerin,Hobbies & Books,,Hobbies & Collections,,Hobbies & Books
nothing phone 2 singapore,nothing phone 2 singapore,Mobile & Gadgets,,,,Mobile & Gadgets
ang mo supermarket,ang mo supermarket,Home & Living,,Food & Beverages,,Home & Living
3ce lipstick,3ce lipstick,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,,Beauty & Personal Care
coklat ferrero,coklat ferrero,Food & Beverages,,Food & Beverages,,Food & Beverages
ball and chain bag,ball and chain bag,Women's Bags,Hobbies & Collections,Fashion Accessories,Women Bags,Women's Bags
monsgeek m1,monsgeek m1,Computers & Peripherals,,Computers & Accessories,,Computers & Peripherals
dried vegetables,dried vegetables,Food & Beverages,Food & Beverages,Food & Beverages,,Food & Beverages
biodance collagen mask,biodance collagen mask,Beauty & Personal Care,Beauty,Beauty,Beauty,Beauty & Personal Care
olive tin,olive tin,Beauty & Personal Care,Food & Beverages,Beauty & Personal Care,,Beauty & Personal Care
way of wade 10,way of wade 10,Others,,Sports & Outdoors,,Others
canva pro,canva pro,"Dining, Travel & Services",Men's Wear,Computers & Peripherals,,"Dining, Travel & Services"
seiko nautilus,seiko nautilus,Watches,Watches,Watches,Watches,Watches
earfun,earfun,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,,Mobile & Gadgets
scarlett supermarket near me,scarlett supermarket near me,Food & Beverages,,,,Food & Beverages
revosit,revosit,Health & Wellness,Health & Wellness,Health & Wellness,,Health & Wellness
starbuck blackpink,starbuck blackpink,Home & Living,Home & Living,Home & Living,,Home & Living
anvers,anvers,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Sports & Outdoors,Mobile & Gadgets
jia vin bakery,jia vin bakery,Food & Beverages,Food & Beverages,Food & Beverages,Food & Beverages,Food & Beverages
kebaya merah,kebaya merah,Women's Apparel,Women's Apparel,Women's Apparel,,Women's Apparel
keelat,keelat,Home Appliances,Home Appliances,Sports & Outdoors,,Home Appliances
black friday cyber monday,black friday cyber monday,Platform Terms (Lazada / Shopee),Home & Living,,,Platform Terms (Lazada / Shopee)
mustafa online,mustafa online,Platform Terms (Lazada / Shopee),,Home & Living,,Platform Terms (Lazada / Shopee)
nfl jersey,nfl jersey,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
new balance 480,new balance 480,Men's Shoes,Women's Shoes,Sports & Outdoors,,Men's Shoes
haus labs,haus labs,Beauty & Personal Care,Beauty & Personal Care,,,Beauty & Personal Care
shower holder,shower holder,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
apple iphone 14,apple iphone 14,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
non camera smartphone,non camera smartphone,Mobile & Gadgets,Cameras & Drones,,,Mobile & Gadgets
seahorse mattress,seahorse mattress,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
sea aquarium tickets,sea aquarium tickets,"Dining, Travel & Services","Dining, Travel & Services","Dining, Travel & Services",,"Dining, Travel & Services"
xiaomi wireless earbuds,xiaomi wireless earbuds,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,,Mobile & Gadgets
manic panic singapore,manic panic singapore,Beauty & Personal Care,,,,Beauty & Personal Care
ez charm,ez charm,Hobbies & Books,Hobbies & Books,Hobbies & Books,,Hobbies & Books
seller,seller,Platform Terms (Lazada / Shopee),Home & Living,,,Platform Terms (Lazada / Shopee)
sona,sona,Home Appliances,Home Appliances,Home Appliances,Home Appliances,Home Appliances
stevia singapore,stevia singapore,Food & Beverages,Food & Beverages,Food & Beverages,Food & Beverages,Food & Beverages
gadget plus,gadget plus,Mobile & Gadgets,,Mobile & Gadgets,,Mobile & Gadgets
axtro sports,axtro sports,Mobile & Gadgets,Mobile & Gadgets,,,Mobile & Gadgets
fridge,fridge,Home Appliances,Home Appliances,Home Appliances,Home Appliances,Home Appliances
click and grow singapore,click and grow singapore,Home & Living,,,,Home & Living
ezlink shop,ezlink shop,Hobbies & Books,Women's Bags,Women's Bags,,Hobbies & Books
playpen singapore,playpen singapore,"Toys, Kids & Babies",,"Toys, Kids & Babies",,"Toys, Kids & Babies"
door viewer camera,door viewer camera,Cameras & Drones,Home & Living,Home & Living,Home & Living,Cameras & Drones
best bargain computers pte ltd,best bargain computers pte ltd,Computers & Peripherals,,,,Computers & Peripherals
cooler box,cooler box,Sports & Outdoors,Home & Living,Home & Living,Home & Living,Sports & Outdoors
battery tester,battery tester,Automotive,Home Appliances,Home & Living,Automotive,Automotive
sony mobile singapore,sony mobile singapore,Mobile & Gadgets,Mobile & Gadgets,,,Mobile & Gadgets
headphones singapore,headphones singapore,Mobile & Gadgets,Mobile & Gadgets,,,Mobile & Gadgets
paint - brush,paint - brush,Home & Living,,,,Home & Living
diptyque,diptyque,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care
mac cosmetics,mac cosmetics,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,,Beauty & Personal Care
sharp+microwave,sharp+microwave,Home Appliances,Home Appliances,Home Appliances,Home & Living,Home Appliances
see’s candies,see’s candies,Food & Beverages,Food & Beverages,Food & Beverages,,Food & Beverages
sheng siong voucher,sheng siong voucher,"Dining, Travel & Services",,Health & Wellness,,"Dining, Travel & Services"
baby mattress singapore,baby mattress singapore,"Toys, Kids & Babies","Toys, Kids & Babies",,,"Toys, Kids & Babies"
dyson hair dryer singapore,dyson hair dryer singapore,Home Appliances,,Home Appliances,,Home Appliances
fsl lighting,fsl lighting,Home & Living,,Home & Living,,Home & Living
born in colour,born in colour,Home & Living,Home & Living,Home & Living,,Home & Living
immunped singapore,immunped singapore,Health & Wellness,,Health & Wellness,,Health & Wellness
charity organizations in singapore,charity organizations in singapore,Lifestyle,,,,Lifestyle
workout bench,workout bench,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,,Sports & Outdoors
taka jewellery,taka jewellery,Jewellery & Accessories,Jewellery & Accessories,Jewellery & Accessories,,Jewellery & Accessories
best place to date in singapore,best place to date in singapore,Lifestyle,,,,Lifestyle
magnetic board,magnetic board,Home & Living,Home & Living,Home & Living,,Home & Living
folding bed singapore,folding bed singapore,Home & Living,Home & Living,Home & Living,,Home & Living
green party singapore,green party singapore,Home & Living,,Home & Living,,Home & Living
figurine,figurine,Hobbies & Books,Home & Living,Home & Living,,Hobbies & Books
curtain,curtain,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
mipad 4,mipad 4,Mobile & Gadgets,,Mobile & Gadgets,,Mobile & Gadgets
light stax,light stax,"Toys, Kids & Babies","Toys, Kids & Babies",,,"Toys, Kids & Babies"
innisfree,innisfree,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care
stamford tyres,stamford tyres,Automotive,Automotive,Automotive,,Automotive
giant bicycle singapore,giant bicycle singapore,Sports & Outdoors,,Sports & Outdoors,,Sports & Outdoors
jaben,jaben,Mobile & Gadgets,Mobile & Gadgets,,,Mobile & Gadgets
xiaomi redmi note 8,xiaomi redmi note 8,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,,Mobile & Gadgets
night light singapore,night light singapore,Home & Living,Home & Living,Home & Living,,Home & Living
hollow knight switch,hollow knight switch,Video Games,Video Games,Video Games,,Video Games
samsung note 3 battery singapore,samsung note 3 battery singapore,Mobile & Gadgets,,,,Mobile & Gadgets
placemat,placemat,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
lamy singapore,lamy singapore,Home & Living,Home & Living,,,Home & Living
sg wolf,sg wolf,Women's Bags,Fashion Accessories,Food & Beverages,Food & Beverages,Women's Bags
nakamichi nm-tw1126 review,nakamichi nm-tw1126 review,Mobile & Gadgets,,,,Mobile & Gadgets
cerave sa cleanser,cerave sa cleanser,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care
asrock b450m pro4,asrock b450m pro4,Computers & Peripherals,Computers & Peripherals,Computers & Peripherals,,Computers & Peripherals
online groceries singapore,online groceries singapore,Others,,,,Others
biosys hair tonic,biosys hair tonic,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care
merida singapore,merida singapore,Sports & Outdoors,Sports & Outdoors,,,Sports & Outdoors
daikin ac remote control,daikin ac remote control,Home Appliances,Home Appliances,Home Appliances,,Home Appliances
toys or games,toys or games,Video Games,Hobbies & Books,,,Video Games
xtreme solution,xtreme solution,Computers & Peripherals,Computers & Peripherals,Computers & Peripherals,,Computers & Peripherals
face+paint,face+paint,Beauty & Personal Care,Beauty,Beauty,Beauty,Beauty & Personal Care
led strip,led strip,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
mpow,mpow,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
kanken sling bag,kanken sling bag,Women's Bags,Women's Bags,Women's Bags,Women's Bags,Women's Bags
urban mood singapore,urban mood singapore,Home & Living,,,,Home & Living
p43 pro price in singapore,p43 pro price in singapore,Mobile & Gadgets,,,,Mobile & Gadgets
eurotex,eurotex,Home & Living,Home & Living,Home & Living,,Home & Living
anello,anello,Women's Bags,Women's Bags,Women's Bags,,Women's Bags
aprilskin turn up color cream,aprilskin turn up color cream,Beauty & Personal Care,Beauty & Personal Care,,,Beauty & Personal Care
bowflex singapore,bowflex singapore,Sports & Outdoors,Sports & Outdoors,,,Sports & Outdoors
pee tray,pee tray,Pet Food & Supplies,Pet Food & Supplies,Pet Food & Supplies,Pet Food & Supplies,Pet Food & Supplies
hbada chair,hbada chair,Home & Living,Home & Living,Home & Living,,Home & Living
b450 tomahawk max,b450 tomahawk max,Computers & Peripherals,Computers & Peripherals,Computers & Peripherals,,Computers & Peripherals
delivery box,delivery box,Home & Living,Home & Living,Automotive,Automotive,Home & Living
korean facemask,korean facemask,Beauty & Personal Care,Home & Living,Health & Wellness,,Beauty & Personal Care
audio cable 3.5 mm,audio cable 3.5 mm,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,,Mobile & Gadgets
wardrobes singapore,wardrobes singapore,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
ferrero rocher ice cream,ferrero rocher ice cream,Food & Beverages,Food & Beverages,,,Food & Beverages
cargo pants womens,cargo pants womens,Women's Apparel,Women's Apparel,Women's Apparel,,Women's Apparel
