Keyword,en_Keyword,Category,imp_level1_category_1d,pv_level1_category_1d,order_level1_category_1d,sg_category
vasos desechables,disposable cups,Hogar y Vida,Home & Living,,,
goku,goku,Juguetes y Hobbies,Toys & Hobbies,Toys & Hobbies,,
botines lippi mujer,lippi women's ankle boots,Calzado de Mujer,Women Shoes,Men Shoes,Men Shoes,
kerastase,kerastase,Belleza,Beauty,Stationery,Stationery,
zapatillas michelin,Michelin sneakers,Calzado de Mujer,Men Shoes,Women Shoes,Women Shoes,
soporte para notebook,notebook stand,Computación,,Mobile & Gadgets,,
taburetes bar chile,bar stools chile,Hogar y Vida,,,,
mario bross,mario bros,Ropa de Hombre,Toys & Hobbies,,,
lanas orquidea,orchid wool,Hogar y Vida,Home & Living,Home Appliances,Women Clothes,
creatina precio,creatine price,Deportes y Fitness,,,,
rifle,rifle,Deportes y Fitness,Vehicle Accessories,Sports & Fitness,,
cuerina,leatherette,Papelería,Stationery,Women Clothes,Women Clothes,
engrapadora electrica,electric stapler,Hogar y Vida,Home & Living,Home & Living,Home & Living,Home & Living
ropa niña,girl clothes,Madre y Bebé,Baby & Kids Fashion,Baby & Kids Fashion,,
oferta zapatillas hombre,offer men's sneakers,Calzado de Hombre,Men Shoes,Men Shoes,Men Clothes,
tostador,roaster,Electrodomésticos,Home & Living,,,
neumáticos,tires,Accesorios para Vehículos,Vehicle Accessories,,,
sofa cama rosen,rosen sofa bed,Hogar y Vida,,,,
generador sodimac,sodimac generator,Hogar y Vida,,,,
trek,trek,Deportes y Fitness,Computing,Sports & Fitness,,
sodimac cemento,sodimac cement,Hogar y Vida,,,,
zapato seguridad,safety shoe,Calzado de Hombre,Men Shoes,Men Shoes,,
roller,roller,Hogar y Vida,Beauty,,,
lavavajilla,dishwasher,Electrodomésticos,Home & Living,,,
pantalon de buzo hombre,men's sweatpants,Ropa de Hombre,Men Clothes,,,
camas infantiles,children's beds,Madre y Bebé,,Mom & Baby,,
juego del calamar,squid game,Others,Hobbies & Collections,Mobile & Gadgets,Hobbies & Collections,
hot toys,hot toys,Juguetes y Hobbies,Toys & Hobbies,,,
maquina para cortar pelo de perro,dog hair cutting machine,Mascotas,Pets,Pets,Pets,
audifonos gamer,gamer headphones,Computación,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
teclado gamer,gamer keyboard,Computación,Computing,Computing,,
camiones usados en chile,used trucks in chile,Accesorios para Vehículos,,,,
saco de box,punching bag,Deportes y Fitness,Sports & Fitness,,,
cloro granulado piscina,granulated chlorine for swimming pool,Hogar y Vida,Home & Living,Home & Living,Home & Living,Home & Living
mercadolibrechile,mercadolibrechile,Platform Terms (Mercado/Shopee),,,,Platform Terms (Lazada / Shopee)
cama alta,loft bed,Hogar y Vida,Toys & Hobbies,Home & Living,,
cubre piso alfombra,carpet floor cover,Hogar y Vida,Vehicle Accessories,,,
lavadora secadora,washer dryer,Electrodomésticos,,Home & Living,,
zapatos mujer,women's shoes,Calzado de Mujer,,Baby & Kids Fashion,,
vivo,alive,Celulares y Gadgets,Mobile & Gadgets,,,
homy. cl,homy.cl,Platform Terms (Mercado/Shopee),,,,Platform Terms (Lazada / Shopee)
sodimac angol,sodimac angol,Others,,,,
sillones seccionales,sectional armchairs,Hogar y Vida,Audio,Audio,Home & Living,
nintendo switch precio,nintendo switch price,Videojuegos,Gaming & Consoles,Mobile & Gadgets,Gaming & Consoles,
roller cortinas,roller blinds,Hogar y Vida,Home & Living,,,
mossimo mujer,very pretty woman,Ropa de Mujer,Women Clothes,,,
muebles de terraza,patio furniture,Hogar y Vida,Home & Living,Home & Living,,
zapatillas lippi,Lippi slippers,Calzado de Mujer,Women Shoes,Women Shoes,Women Shoes,Women's Shoes
proyectores,projectors,Computación,Home & Living,Mobile & Gadgets,,
sodimac herramientas,sodimac tools,Others,,,,
"falabella,cl","falabella,cl",Platform Terms (Mercado/Shopee),,,,Platform Terms (Lazada / Shopee)
sauvage dior,wild dior,Belleza,Beauty,Beauty,Beauty,Beauty & Personal Care
puma chile,Chilean puma,Calzado de Hombre,,Sports & Outdoors,Sports & Outdoors,
generador electrico sodimac,sodimac electric generator,Others,,,,
smartband,smart band,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,,
sodimas,sodimas,Others,,,,
balanza digital sodimac,sodimac digital scale,Others,,,,
peto deportivo,sports bib,Hogar y Vida,Sports & Fitness,,,
perfume,perfume,Belleza,Home & Living,Home & Living,,
escalera telescopica sodimac,sodimac telescopic ladder,Others,,,,
liquidación terrazas sodimac,Sodimac terraces liquidation,Others,,,,
zapatillas skechers mujer ofertas,skechers women's sneakers deals,Calzado de Mujer,Women Shoes,,,
silla escritorio sodimac,sodimac desk chair,Others,,,,
cable electrico,electric wire,Hogar y Vida,Home & Living,Vehicle Accessories,,
secadora de ropa tottus,tottus clothes dryer,Electrodomésticos,,,,
bananos,bananas,Bolsas de Mujer,,Toys & Hobbies,,
sofa en l,L-shaped sofa,Hogar y Vida,Home & Living,,,
cuadros,paintings,Hogar y Vida,,Home & Living,,
telefono samsung,Samsung phone,Celulares y Gadgets,Mobile & Gadgets,,,
maquina pan,bread machine,Electrodomésticos,Home Appliances,Mom & Baby,Mom & Baby,
fibrocemento siding,fiber cement siding,Hogar y Vida,,,,
proteina en polvo,protein powder,Deportes y Fitness,Home & Living,Home & Living,Home & Living,Home & Living
xiaomi mi box,xiaomi mi box,Electrónica,,Electronics,,
parka columbia mujer,columbia women's parka,Ropa de Mujer,Women Clothes,Women Clothes,Women Clothes,Women's Apparel
escobillon municipal,municipal broom,Hogar y Vida,,,,
quechua marca,Quechua brand,Deportes y Fitness,,,,
tr x,tr x,Deportes y Fitness,Automobiles,Mobile & Gadgets,Mobile & Gadgets,
zoro figura,zoro figure,Juguetes y Hobbies,Toys & Hobbies,Toys & Hobbies,,
cama abatible,folding bed,Hogar y Vida,Motorcycles,,,
mat yoga,yoga mat,Deportes y Fitness,Sports & Fitness,Sports & Fitness,Sports & Fitness,
camionetas 4x4,4x4 trucks,Accesorios para Vehículos,Automobiles,Automobiles,Automobiles,Automotive
leche nido sin lactosa,Nido lactose-free milk,Madre y Bebé,,,,
polerones estampados,printed sweatshirts,Ropa de Mujer,Men Clothes,Women Clothes,,
repisas plasticas,plastic shelves,Hogar y Vida,Home & Living,Home & Living,Home & Living,Home & Living
cerradura electrica,electric lock,Hogar y Vida,Toys & Hobbies,Home & Living,,
arriendo sodimac,sodimac rent,Others,,,,
puerta de seguridad,security door,Others,Home & Living,,,
homy cl,homy cl,Others,,,,
chance chanel,chance chanel,Belleza,Men Clothes,Men Clothes,Men Clothes,Men's Wear
reloj xiaomi mi watch,xiaomi mi watch watch,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,,
porno mujeres,porn women,Ropa de Mujer,Women Clothes,Women Clothes,Women Clothes,Women's Apparel
interruptor 9/24,9/24 switch,Hogar y Vida,Automobiles,Automobiles,Automobiles,Automotive
pase de movilidad chile,mobility pass chile,Hogar y Vida,,,,
pega tanque,glue tank,Hogar y Vida,Fashion Accessories,Fashion Accessories,Motorcycles,
huawei y9,huawei y9,Celulares y Gadgets,Mobile & Gadgets,-,,
motos eléctricas chile,electric motorcycles chile,Accesorios para Vehículos,,,,
manta sherpa,sherpa blanket,Hogar y Vida,Women Clothes,Home & Living,,
pantalón cargo hombre,men's cargo pants,Ropa de Hombre,Men Clothes,Men Clothes,Men Clothes,Men's Wear
alta frecuencia,high frequency,Belleza,Home & Living,,,
max steel,max steel,Juguetes y Hobbies,Toys & Hobbies,,,
cadenas de oro,gold chains,Accesorios de Moda,Jewelry & Watches,Jewelry & Watches,,
cama inflable 2 plazas,2 seater inflatable bed,Hogar y Vida,Automobiles,Automobiles,Automobiles,Automotive
estufa halogena,halogen stove,Electrodomésticos,Home Appliances,Home & Living,Home & Living,
caja registradora juguete,toy cash register,Juguetes y Hobbies,Toys & Hobbies,Toys & Hobbies,,
maquina sublimacion,sublimation machine,Hogar y Vida,,Home & Living,,
juegos ps2,ps2 games,Videojuegos,Video Games,Video Games,Video Games,
zapatillas de fútbol,soccer shoes,Deportes y Fitness,Sports & Fitness,Sports & Fitness,Sports & Fitness,
homecenter sodimac talca,home center sodimac talca,Others,,,,
gripins,gripins,Juguetes y Hobbies,,,,
diesel chile,diesel chile,Others,,,,
cortina,curtain,Hogar y Vida,Home & Living,Home & Living,,
audifonos aiwa,aiwa headphones,Electrónica,Audio,Audio,Audio,
tazas,cups,Others,,Home & Living,,
brazzers,brazzers,Accesorios de Moda,Vehicle Accessories,,,
cuevana2,cuevana2,Electrónica,,,,
paw patrol para colorear,paw patrol coloring pages,Libros y Revistas,,,,
arriendo de piezas,rental of parts,Hogar y Vida,,,,
figuras de yeso para pintar,plaster figures to paint,Juguetes y Hobbies,Hobbies & Collections,Hobbies & Collections,Hobbies & Collections,Hobbies & Books
gamulan hombre,gamulan man,Ropa de Hombre,Men Shoes,Men Clothes,Sports & Outdoors,
xiaomi 11 lite,xiaomi 11 lite,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,,
boina hombre,men's beret,Accesorios de Moda,Fashion Accessories,Fashion Accessories,,
loro pepe,Pepe the parrot,Juguetes y Hobbies,Mom & Baby,Mom & Baby,Mom & Baby,"Toys, Kids & Babies"
vasos personalizados,personalized glasses,Hogar y Vida,Home & Living,,,
repuestos suzuki 10 de julio,suzuki spare parts july 10,Accesorios para Vehículos,,,,
rtx 3050,rtx 3050,Computación,Computers & Accessories,Computers & Accessories,Computers & Accessories,Computers & Peripherals
ventanas aluminio,aluminum windows,Hogar y Vida,Home & Living,,,
vinagre de alcohol,alcohol vinegar,Alimentos y Bebidas,Home & Living,Home & Living,Home & Living,Home & Living
cola de zorro,foxtail,Hogar y Vida,Fashion Accessories,,,
escort quilicura,escort quilicura,Others,,,,
sanzu tokyo revengers,sanzu tokyo revengers,Juguetes y Hobbies,Fashion Accessories,Fashion Accessories,Home & Living,
y6,y6,Celulares y Gadgets,Mobile & Gadgets,,,
impresora dtg,dtg printer,Computación,Home & Living,,,
dalmata,Dalmatian,Mascotas,Toys & Hobbies,,,
beauty store,beauty store,Belleza,Beauty,Stationery,Stationery,
accesorios para perros,dog accessories,Mascotas,Pets,Pets,,
camara de seguridad wifi,wifi security camera,Hogar y Vida,Electronics,,,
manga berserk,berserk manga,Papelería,Men Clothes,,,
arriendo casa en macul,house for rent in macul,Hogar y Vida,,,,
mochilas camping,camping backpacks,Deportes y Fitness,Travel & Luggage,Sports & Fitness,,
medidores de agua,water meters,Hogar y Vida,Home & Living,Automobiles,Automobiles,
changan,changan,Accesorios para Vehículos,Vehicle Accessories,Vehicle Accessories,,
oferta perfumes,offer perfumes,Belleza,Beauty,Beauty,Beauty,Beauty & Personal Care
cornisa de plumavit,Styrofoam cornice,Hogar y Vida,,,,
estuche escolar,school pencil case,Papelería,Stationery,Stationery,,
zapatos de futbol.puma,soccer shoes.puma,Calzado de Hombre,Sports & Outdoors,Home & Living,Home & Living,
camisetas de colocolo,colocolo t-shirts,Ropa de Hombre,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
posture doctor,posture doctor,Salud,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
autos baratos usados,cheap used cars,Accesorios para Vehículos,,,,
mandos ps4,ps4 controllers,Videojuegos,Video Games,Video Games,,
adderall chile,adderall chile,Salud,,,,
arriendo casa providencia,house for rent in providence,Others,,,,
lubricantes a base de agua,water based lubricants,Salud,Beauty,Beauty,Beauty,Beauty & Personal Care
hot wheels chile,hot wheels chile,Juguetes y Hobbies,Hobbies & Collections,Hobbies & Collections,Hobbies & Collections,Hobbies & Books
termo digital,digital thermos,Hogar y Vida,Home & Living,Home & Living,Home & Living,Home & Living
joy con,joy with,Videojuegos,Video Games,Video Games,,
joystick nintendo switch,nintendo switch joystick,Videojuegos,Video Games,Video Games,,
pañales pilucho,diapers pilucho,Hogar y Vida,Mom & Baby,Mom & Baby,Mom & Baby,"Toys, Kids & Babies"
aspiradora agua,water vacuum cleaner,Electrodomésticos,Home Appliance,Home Appliance,,
computadora portátil,laptop,Hogar y Vida,Audio,Home & Living,Home & Living,
tanga,thong,Hogar y Vida,Women Clothes,Women Clothes,,
redmagic 8 pro,redmagic 8 pro,Hogar y Vida,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
zapatilla skechers hombre,skechers men's sneaker,Calzado de Hombre,Men Shoes,Sports & Outdoors,Sports & Outdoors,
mochila impermeable hombre,waterproof backpack men,Bolsas de Hombre,Men Bags,Men Bags,Men Bags,
paraguas plegable,folding umbrella,Hogar y Vida,Sports & Outdoors,Sports & Outdoors,Home & Living,
perfume zara hombre,zara men's perfume,Belleza,Beauty,Beauty,Fashion Accessories,
nariz de grada,nose of the stand,Joyas y Relojes,Beauty,Beauty,Beauty,Beauty & Personal Care
guante cabritilla,kid glove,Hogar y Vida,Home & Living,Home & Living,Home & Living,Home & Living
paleta de ping pong profesional,professional ping pong paddle,Juguetes y Hobbies,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
cojin ortopedico,orthopedic cushion,Hogar y Vida,Women Shoes,Travel & Luggage,Travel & Luggage,
aceite bio oil,bio oil,Belleza,Beauty,Beauty,,
fibra simi,simi fiber,Hogar y Vida,,,,
perfume zara,zara perfume,Belleza,Women Bags,Women Bags,Women Bags,Women's Bags
orgullo y prejuicio el mercurio,Pride and Prejudice Mercury,Libros y Revistas,,,,
audiocalm,audiocalm,Hogar y Vida,,,,
peluche de skibidi toilet,skibidi toilet plush,Juguetes y Hobbies,Mom & Baby,Mom & Baby,Mom & Baby,"Toys, Kids & Babies"
bebes reborn niñas,reborn baby girls,Madre y Bebé,Mom & Baby,Mom & Baby,Mom & Baby,"Toys, Kids & Babies"
malla para cerco 100 metros,mesh for fence 100 meters,Hogar y Vida,,,,
huevos kinder,kinder eggs,Alimentos y Bebidas,Mobile & Gadgets,,,
shampoo maui,maui shampoo,Belleza,,,,
libro del nuevo conductor 2024,new driver's book 2024,Libros y Revistas,,,,
adagio teas,adagio teas,Hogar y Vida,Hobbies & Collections,Hobbies & Collections,Hobbies & Collections,Hobbies & Books
red magic 9 pro,red magic 9 pro,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
perfume la bestia negra,perfume the black beast,Belleza,Women Bags,Fashion Accessories,Fashion Accessories,
vpro jelly,vpro jelly,Others,,,,
traje de huaso adulto,adult huaso costume,Juguetes y Hobbies,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
rainbow friends para colorear,rainbow friends coloring pages,Libros y Revistas,Home & Living,Home & Living,Home & Living,Home & Living
valor gas 45 kilos,gas value 45 kilos,Hogar y Vida,,,,
aceite de batana,fulling oil,Alimentos y Bebidas,Beauty,Stationery,Stationery,
libro padre rico padre pobre chile,rich dad poor dad book chile,Libros y Revistas,,,,
malla pollera,mesh skirt,Hogar y Vida,Automobiles,Automobiles,Automobiles,Automotive
takemichi,takemichi,Juguetes y Hobbies,Toys & Hobbies,,,
pistola de calor,heat gun,Hogar y Vida,Home & Living,Home & Living,,
sabanillas para perros,dog blankets,Mascotas,Pets,Pets,Pets,
zapatos de seguridad hombre,men's safety shoes,Calzado de Hombre,Men Shoes,Men Shoes,,
bolso maternal,maternity bag,Madre y Bebé,Mom & Baby,Mom & Baby,Mom & Baby,"Toys, Kids & Babies"
piso bar,bar floor,Hogar y Vida,,Home & Living,,
redmi 9,redmi 9,Celulares y Gadgets,,Mobile & Gadgets,,
dispensador de jabon,soap dispenser,Hogar y Vida,Home & Living,Home & Living,,
pizarra corcho,cork board,Papelería,Stationery,,,
comodas de madera,wooden dressers,Hogar y Vida,Mom & Baby,Beauty,Beauty,
cargador tipo c,type c charger,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,,
creatina monohidratada,creatine monohydrate,Salud,Health,Health,Health,Health & Wellness
malla gallinero,chicken wire mesh,Hogar y Vida,Home & Living,,,
olla a presion,pressure cooker,Hogar y Vida,Home & Living,,,
polainas,leggings,Ropa de Mujer,Women Clothes,Baby & Kids Fashion,,
tractores usados en chile,used tractors in chile,Others,,,,
beatle hombre,beatle man,Ropa de Hombre,Men Clothes,,,
tablero electrico,electrical panel,Hogar y Vida,Vehicle Accessories,,,
camara de retroceso,rear view camera,Accesorios para Vehículos,Computing,Vehicle Accessories,,
impresora a3,a3 printer,Computación,Computers & Accessories,Computers & Accessories,Cameras & Drones,
cuphead,cuphead,Madre y Bebé,Toys & Hobbies,Toys & Hobbies,,
ps4 pro,ps4 pro,Videojuegos,Video Games,Video Games,,
tripode para celular,tripod for cell phone,Celulares y Gadgets,Mobile & Gadgets,,,
guateros de agua,water guateros,Salud,Home & Living,Home & Living,Health,
gorros de lana,wool caps,Accesorios de Moda,Fashion Accessories,Fashion Accessories,,
globo terraqueo,globe,Papelería,,Jewelry & Watches,,
joyero pandora,pandora jewelry box,Joyas y Relojes,Fashion Accessories,Fashion Accessories,,
rechiol,rechiol,Belleza,,,,
bodegas de jardin,garden cellars,Hogar y Vida,Home & Living,,,
entradas coldplay,coldplay tickets,Others,,,,
slim patch,slim patch,Belleza,Health,Women Clothes,,
bombin pcp,pcp pump,Deportes y Fitness,,Mobile & Gadgets,,
terciado estructural 18mm barato,cheap 18mm structural plywood,Hogar y Vida,,,,
organizador de ropa,clothes organizer,Hogar y Vida,Home & Living,Home & Living,,
carcasa iphone 13 pro,iphone 13 pro case,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
pendon,banner,Papelería,Toys & Hobbies,,,
clavadora neumatica,pneumatic nailer,Hogar y Vida,Home & Living,Home & Living,Home & Living,Home & Living
todo lo que nunca fuimos,everything we never were,Libros y Revistas,Fashion Accessories,Fashion Accessories,Fashion Accessories,Jewellery & Accessories
flexible de agua,water hose,Hogar y Vida,Home & Living,Computers & Accessories,Computers & Accessories,
venta camion grua,Crane truck for sale,Others,,,,
xiaomi 11 pro,xiaomi 11 pro,Celulares y Gadgets,,Mobile & Gadgets,Mobile & Gadgets,
tinta hp 664,hp 664 ink,Computación,Computers & Accessories,Computers & Accessories,Computers & Accessories,Computers & Peripherals
marquesas 1.5 plazas,marquises 1.5 seats,Hogar y Vida,,,,
soportes para tv,tv stands,Celulares y Gadgets,Electronics,,,
faroles exterior,outdoor lanterns,Hogar y Vida,Home & Living,,,
soporte para bicicleta,bike stand,Deportes y Fitness,Sports & Fitness,,,
poltrona,armchair,Hogar y Vida,Toys & Hobbies,,,
lavaplatos con mueble,dishwasher with cabinet,Hogar y Vida,,,,
buzo nike,nike diver,Calzado de Hombre,Men Shoes,,,
disfraz de encanto,charm costume,Madre y Bebé,Baby & Kids Fashion,Baby & Kids Fashion,Baby & Kids Fashion,
star mas,star mas,Others,Home & Living,Men Clothes,Men Clothes,
mudador anatomico,anatomical changing table,Madre y Bebé,,,,
poltronas y sitiales,armchairs and seats,Hogar y Vida,,,,
etiquetadora,labeler,Papelería,Stationery,Stationery,,
papel milimetrado,graph paper,Papelería,Stationery,Stationery,Stationery,
turning red,turning red,Juguetes y Hobbies,Hobbies & Collections,Mom & Baby,Hobbies & Collections,
gata caiman,alligator cat,Accesorios para Vehículos,Automobiles,Automobiles,Automobiles,Automotive
olla arrocera,rice cooker,Electrodomésticos,Home Appliance,,,
clóset sodimac,sodimac closet,Hogar y Vida,,,,
cafeteras dolce gusto,dolce gusto coffee makers,Electrodomésticos,Home Appliance,,,
scanner,scanner,Computación,Computing,-,,
sofas seccionales,sectional sofas,Hogar y Vida,Home & Living,Home & Living,,
laca para madera,wood lacquer,Hogar y Vida,Home & Living,Home & Living,Home & Living,Home & Living
pilastra,pilaster,Hogar y Vida,,,,
colchon 1 plaza y media,1 and a half square mattress,Hogar y Vida,,,,
accesorios celulares,cell phone accessories,Celulares y Gadgets,Mobile & Gadgets,,,
smart tv 32,smart tv 32,Electrodomésticos,Electronics,,,
cecilia bolocco ropa,cecilia bolocco clothes,Accesorios de Moda,,,,
velas,candles,Hogar y Vida,Home & Living,Home & Living,,
maquina para pastas,pasta machine,Electrodomésticos,Home & Living,Home & Living,Home & Living,Home & Living
notebook i7,i7 notebook,Computación,Computing,,,
rieles para cortinas,curtain rails,Hogar y Vida,Home & Living,Automobiles,Home & Living,
respaldo cama,bed backrest,Hogar y Vida,,Home & Living,,
tronzadora sodimac,sodimac miter saw,Hogar y Vida,,,,
samsung s10 plus,samsung s10 plus,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,,
cuatrimoto 4x4,4x4 ATV,Accesorios para Vehículos,Motorcycles,Motorcycles,Motorcycles,
mercadolibre.cl chile,mercadolibre.cl chile,Platform Terms (Mercado/Shopee),,,,Platform Terms (Lazada / Shopee)
america litter,america litter,Mascotas,,,,
arpillera,burlap,Papelería,Home & Living,Home & Living,,
poperos,poppers,Juguetes y Hobbies,Motorcycles,Motorcycles,Motorcycles,
plotter de impresion,printing plotter,Computación,Stationery,Stationery,,
iphone 11 128gb precio,iphone 11 128gb price,Celulares y Gadgets,,,,
kong,kong,Mascotas,Toys & Hobbies,,,
barbie color reveal,barbie color reveal,Juguetes y Hobbies,Toys & Hobbies,,,
chems,chems,Others,Motorcycles,Motorcycles,Motorcycles,
smart tv 50 pulgadas,smart tv 50 inches,Electrónica,Electronics,,,
guillotina,guillotine,Papelería,,Stationery,,
carpas 1 persona,1 person tents,Deportes y Fitness,Sports & Outdoors,Sports & Outdoors,Mom & Baby,
alfombra de baile,dance mat,Juguetes y Hobbies,,Sports & Fitness,,
mueble cocina,kitchen furniture,Hogar y Vida,Toys & Hobbies,,,
sodimac ceramicas,sodimac ceramics,Hogar y Vida,,,,
coches,cars,Accesorios para Vehículos,Vehicle Accessories,,,
falabella-com,falabella-com,Platform Terms (Mercado/Shopee),,,,Platform Terms (Lazada / Shopee)
zapatillas deportivas,sneakers,Calzado de Hombre,Sports & Fitness,Sports & Fitness,Men Shoes,
sweater mujer,women's sweater,Ropa de Mujer,,Women Clothes,,
sodimac puertas,sodimac doors,Others,,,,
sodimac},sodimac},Others,,,,
lavadora y secadora,washer and dryer,Electrodomésticos,Home & Living,,,
silla gamer sodimac,sodimac gaming chair,Others,,,,
pelotas de futbol,soccer balls,Deportes y Fitness,Sports & Fitness,,,
camara semiprofesional,semi-professional camera,Hogar y Vida,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
computador gamer,gaming computer,Computación,Mobile & Gadgets,,,
cunas,cribs,Madre y Bebé,Women Shoes,,,
plancha policarbonato sodimac,Sodimac polycarbonate sheet,Others,,,,
spdimac,spdimac,Others,,,,
cafetera oster,oster coffee maker,Hogar y Vida,Home Appliance,,,
parlantes,speakers,Electrónica,Electronics,Electronics,,
lavadora automatica,automatic washing machine,Electrodomésticos,,Home & Living,,
estufa gas,gas stove,Electrodomésticos,Home & Living,,,
sodinac,sodinac,Others,,,,
buzo mujer,female diver,Ropa de Mujer,Women Clothes,,,
lijadora orbital sodimac,sodimac orbital sander,Others,,,,
zapatillas negras,black sneakers,Calzado de Mujer,Men Shoes,Men Shoes,,
vasos de vidrio,glass cups,Hogar y Vida,Home & Living,,,
volcanita sodimac,Volcanite Sodimac,Others,,,,
calculadora cientifica,scientific calculator,Papelería,Stationery,Stationery,,
cocina a gas 5 platos,5 plate gas stove,Electrodomésticos,Home & Living,Home & Living,Home & Living,Home & Living
tablets samsung,samsung tablets,Computación,Computing,,,
parka,parka,Ropa de Mujer,Home & Living,Women Clothes,,
maquina de abdominales,abdominal machine,Deportes y Fitness,Sports & Fitness,Sports & Fitness,,
lámparas de pie para living,floor lamps for living room,Hogar y Vida,Home & Living,Home & Living,Home & Living,Home & Living
set de maquillaje,makeup set,Belleza,,Beauty,,
overol de trabajo,work overalls,Hogar y Vida,Men Clothes,,,
cubrecama sherpa 2 plazas,Sherpa bedspread 2 seater,Hogar y Vida,,,,
calendario de adviento maquillaje,makeup advent calendar,Belleza,Beauty,Stationery,Stationery,
zapatilla de seguridad,safety shoe,Calzado de Hombre,Men Shoes,Men Shoes,,
huawei p40 lite,huawei p40 lite,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,,
casas prefabricadas precios,prefabricated houses prices,Hogar y Vida,,,,
exploding kittens,exploding kittens,Juguetes y Hobbies,Toys & Hobbies,Toys & Hobbies,,
strap on,strap on,Deportes y Fitness,Women Clothes,-,,
poleron tiburon,shark sweatshirt,Ropa de Hombre,Men Clothes,,,
tobilleras con peso,weighted anklets,Deportes y Fitness,Jewelry & Watches,Jewelry & Watches,,
vapers,vapers,Others,Home & Living,,,
nido etapa 1,nest stage 1,Madre y Bebé,,,,
