Keyword,en_Keyword,Category,imp_level1_category_1d,pv_level1_category_1d,order_level1_category_1d,sg_category
lana烟杆,smoke,Mobile & Gadgets,,Others,,
infinix smart 8,infinix smart 8,Mobile & Gadgets,Mobile & Accessories,Mobile & Accessories,,
pokok bunga,flower tree,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
adidas campus 00s,adidas campus 00s,Men's Shoes,Men Shoes,Men Shoes,Women Shoes,
ds melayu,Malay ds,"Games, Books & Hobbies",,"Games, Books & Hobbies",,
frieren,frieren,"Games, Books & Hobbies",Men Clothes,"Games, Books & Hobbies",,
samsung s24 ultra,samsung s24 ultra,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
google pixel 9,Google Pixel 9,Mobile & Gadgets,,Mobile & Accessories,,
skuter honda vario,scooter honda vario,Automotive,Automotive,Automotive,,
tilam single murah,cheap single mattress,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
coil magnet lc135,coil magnet lc135,Automotive,Automotive,Automotive,Automotive,
canyon blast,canyon blast,Mobile & Gadgets,,Home & Living,,
zakar panjang,long penis,Others,Health & Beauty,Health & Beauty,,
kopi kapal api,train coffee,Groceries & Pets,Groceries & Pets,Groceries & Pets,Groceries & Pets,
j2j3,j2j3,Sports & Outdoor,Sports & Outdoors,Cameras & Drones,Cameras & Drones,
iqoo malaysia,iqoo malaysia,Mobile & Gadgets,,Mobile & Accessories,,
lychee tin,canned lychee,Groceries & Pets,Groceries & Pets,Groceries & Pets,,
xxxxxxxxxxxx,xxxxxxxxxxxx,Fashion Accessories,,"Games, Books & Hobbies",,
blue lock manga,blue lock manga,"Games, Books & Hobbies","Games, Books & Hobbies",Mobile & Accessories,,
new balance 327 women,new balance 327 women,Women's Shoes,Sports & Outdoor,Sports & Outdoor,,
mini printer,mini printer,Computer & Accessories,Computer & Accessories,Mobile & Accessories,Mobile & Accessories,
qian xi quan,qian xi quan,Home & Living,Home & Living,,,
saiz wiper viva,viva wiper size,Automotive,Automotive,,,
lifusha,lifusha,Health & Beauty,Health & Beauty,Health & Beauty,,
ikan kelisa,kelisa fish,Groceries & Pets,Groceries & Pets,Groceries & Pets,,
snow fit,snow fit,Home & Living,Health & Beauty,Health & Beauty,,
beauboss perfume,beauboss perfume,Health & Beauty,Health & Beauty,Health & Beauty,,
dji osmo action 3,dji osmo action 3,Cameras & Drones,Mobile & Accessories,Cameras & Drones,,
honda city hatchback body kit,honda city hatchback body kit,Automotive,Automobiles,Automobiles,Automobiles,Automotive
red bus online,red bus online,Tickets & Vouchers,,,,
vaseline gluta hya,vaseline gluta hya,Health & Beauty,Health & Beauty,Health & Beauty,,
panadol extend untuk sakit urat,panadol extend for vein pain,Health & Beauty,Health,Health,Home & Living,
jig reel,jig reel,Sports & Outdoor,Sports & Outdoor,Sports & Outdoor,,
mega live,mega live,Health & Beauty,Health & Beauty,Health & Beauty,,
wardrobe handle,wardrobe handle,Home & Living,Home & Living,Home & Living,,
kill it spray,kill it spray,Home & Living,Groceries & Pets,Home & Living,Groceries & Pets,
baju layang,shirt,Women's Clothing,Muslim Fashion,Men Clothes,,
samsung malaysia store online,samsung malaysia store online,Mobile & Gadgets,,,,
一碟一味,一翰 一味,Groceries & Pets,Tickets & Vouchers,Tickets & Vouchers,,
cincin zakar,penis ring,Health & Beauty,Health & Beauty,Health & Beauty,Health & Beauty,
zenso价钱,zenso price,Home & Living,,,,
wing sing,sing wings,Fashion Accessories,Fashion Accessories,Fashion Accessories,,
ping pong racket,ping pong racket,Sports & Outdoor,Sports & Outdoor,Sports & Outdoor,,
vivo v27,vivo v27,Mobile & Gadgets,,Mobile & Accessories,,
做爱视频,做爱video,"Games, Books & Hobbies",Computers & Accessories,Audio,Computers & Accessories,
tayar maxxis volans,maxxis volans tires,Automotive,Automotive,Automotive,Automotive,
vylex,vylex,Health & Beauty,,Health & Beauty,,
bentgo,bento,Home & Living,Home & Living,,,
cover set wave 125s thailand,cover set wave 125s thailand,Automotive,Automotive,Automotive,,
baju uniform pbsm,pbsm uniform shirt,Women's Clothing,Women Clothes,Women Clothes,,
library in kl,library in kl,"Games, Books & Hobbies",,,,
oofos malaysia,oofos malaysia,Men's Shoes,Women Bags,Women Bags,Women Bags,Women's Bags
apple watch ultra,apple watch ultra,Mobile & Gadgets,Watches,Mobile & Accessories,,
enjoy 9000 puff,enjoy 9000 puffs,Mobile & Gadgets,Home Appliances,Home Appliances,Home Appliances,Home Appliances
rivet gun,rivet gun,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
kopi radix kunyit hitam,black turmeric radix coffee,Health & Beauty,Health & Beauty,Groceries & Pets,,
rejoice shampoo,rejoice shampoo,Health & Beauty,Health & Beauty,Health & Beauty,Health & Beauty,
axia body kit,Axia body kit,Automotive,Automotive,Automotive,,
lampu suluh paling terang,the brightest flashlight,Home & Living,Home & Living,,,
e- wallet slot 888,e-wallet slot 888,Others,,,,
tanjak mat kilau,shine matte ramp,Muslim Fashion,Men Clothes,Muslim Fashion,Muslim Fashion,
konjac,konjac,Groceries & Pets,Groceries & Pets,Groceries & Pets,Groceries & Pets,
honor pad 8,honor pad 8,Mobile & Gadgets,,Mobile & Accessories,,
harga pil perancang yasmin,Yasmin contraceptive pill price,Health & Beauty,,Health & Beauty,,
pregnancy dresses,pregnancy dresses,Women's Clothing,Women Clothes,Women Clothes,,
7m体育,7m sports,Others,,,,
eilik robot,like a robot,"Games, Books & Hobbies",Mom & Baby,Mom & Baby,Books & Magazines,
auto door closer,auto door closer,Home & Living,Home & Living,Home & Living,,
deco birthday,birthday decorations,Home & Living,Home & Living,Home & Living,,
j coffee,j coffee,Groceries & Pets,Home & Living,Home & Living,,
parfum,perfume,Health & Beauty,Health & Beauty,Health & Beauty,Health & Beauty,
stiker air balang,bottled water stickers,Groceries & Pets,Home & Living,Home & Living,Home & Living,Home & Living
ubat cacing champs,champs dewormer,Health & Beauty,Health & Beauty,Health & Beauty,,
block standard y15,standard block y15,Automotive,Automotive,,,
rak kasut plastik,plastic shoe rack,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
corak songket,songket pattern,Muslim Fashion,Muslim Fashion,Muslim Fashion,,
minyak hitam perodua,Perodua black oil,Automotive,Automotive,Automotive,Automotive,
latto latto malaysia,Latto Latto Malaysia,Baby & Toys,Hobbies & Collections,Hobbies & Collections,Hobbies & Collections,Hobbies & Books
minyak urut badan,body massage oil,Health & Beauty,Health & Beauty,Health & Beauty,,
ikan koi jepun,Japanese koi fish,Groceries & Pets,Cameras & Drones,Groceries & Pets,,
sxmn,sxmn,Others,Hobbies & Collections,Hobbies & Collections,Hobbies & Collections,Hobbies & Books
signage board,signage board,Home & Living,Home & Living,Home & Living,,
hatyai,heart,Tickets & Vouchers,Groceries & Pets,Travel & Luggage,,
bong,bong,Home & Living,Home & Living,Home & Living,,
shredder,shredder,Computer & Accessories,Home & Living,Home & Living,Home & Living,Home & Living
ubat saraf terbaik,best nerve medicine,Health & Beauty,Health & Beauty,Health & Beauty,,
lube tube,tube lube,Home & Living,Health & Beauty,Health & Beauty,,
malaysia918 e wallet,malaysia918 e-wallet,Others,,,,
hama kucing,cat mite,Groceries & Pets,Groceries & Pets,Groceries & Pets,,
baju kemeja putih,white shirt,Women's Clothing,Men Clothes,Men Clothes,,
jubah putih perempuan,women's white robes,Muslim Fashion,Muslim Fashion,Muslim Fashion,,
tom ford oud wood,tom ford oud wood,Health & Beauty,Health & Beauty,Health & Beauty,,
cover set honda wave 125,cover set honda wave 125,Automotive,Automotive,Automotive,,
baju kawad puteri islam,Islamic princess parade dress,Muslim Fashion,,Women Clothes,,
baju tkrs lelaki,men's tkrs shirt,Men's Clothing,Men Clothes,Men Clothes,,
kopi gantang,bushels of coffee,Groceries & Pets,Groceries & Pets,Groceries & Pets,Groceries & Pets,
coklat sneakers,chocolate sneakers,Groceries & Pets,Men Shoes,,,
biru robot 125zr,robot blue 125zr,Automotive,Automotive,Automotive,,
beretta cap,Beretta cap,Fashion Accessories,Fashion Accessories,,,
jelly mooncake,jelly mooncake,Groceries & Pets,Home & Living,Home & Living,,
itsuki kenko foot patch,itsuki kenko foot patch,Health & Beauty,Health & Beauty,,Health & Beauty,
tous malaysia,all Malaysians,Fashion Accessories,,Men Clothes,,
katil queen besi,iron queen bed,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
hijab viral,viral hijab,Muslim Fashion,Muslim Fashion,Muslim Fashion,,
panda95,panda95,Others,,,,
ramen samyang cheese,Ramen with cheese,Groceries & Pets,Groceries & Pets,Groceries & Pets,,
福禄寿饼家,福禄寿饼家,Groceries & Pets,Groceries & Pets,,,
c53,c53,Mobile & Gadgets,,Fashion Accessories,,
kopiko macchiato,coffee macchiato,Groceries & Pets,Groceries & Pets,Groceries & Pets,,
honor 90 5g price in malaysia,honor 90 5g price in malaysia,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
design baju raya budak perempuan,Raya dress design for girls,Muslim Fashion,Baby & Toys,Baby & Toys,,
body aid,body aid,Health & Beauty,Health & Beauty,,,
cheese swiss bear,cheese swiss bear,Groceries & Pets,Groceries & Pets,Groceries & Pets,Groceries & Pets,
mmc996,mmc996,Others,,,,
santal 33,coconut milk 33,Health & Beauty,Health & Beauty,Health & Beauty,,
nokia slide phone,nokia slide phone,Mobile & Gadgets,Mobile & Accessories,Mobile & Accessories,,
mb8 login,mb8 login,Others,,,,
healing chair,healing chair,Home & Living,,Home & Living,,
armaf club de nuit,armaf club de nuit,Health & Beauty,Health & Beauty,Health & Beauty,,
smart tv 32 inch price in malaysia,smart tv 32 inch price in malaysia,Home Appliances,,,,
oneplus ace,oneplus ace,Mobile & Gadgets,Mobile & Gadgets,,,
mi sedaap cheese,noodles as good as cheese,Groceries & Pets,Food & Beverages,Food & Beverages,Food & Beverages,Food & Beverages
soket,socket,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
redmi k70 pro,redmi k70 pro,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
kad raya dulu dulu,first raya card first,Home & Living,,Home & Living,,
samsung m14,samsung m14,Mobile & Gadgets,,Mobile & Accessories,,
uniform pandu puteri sekolah menengah,middle school girl's uniform,Baby & Toys,,Women Clothes,,
nothing ear 2,nothing ear 2,Mobile & Gadgets,Audio,Audio,Audio,
5g cuci,5g wash,Automotive,,,,
lab on hair,lab on hair,Health & Beauty,Beauty,Home & Living,Home & Living,
geek bar 9000,geek bar 9000,Mobile & Gadgets,Computers & Accessories,Computers & Accessories,Food & Beverages,
bebeto candy,bebeto candy,Health & Beauty,Groceries & Pets,Groceries & Pets,,
red velvet emulco,red velvet emulco,Groceries & Pets,Groceries & Pets,Groceries & Pets,,
nikon coolpix s6900,Nikon Coolpix S6900,Cameras & Drones,,Cameras & Drones,,
lampu camping,camping lights,Sports & Outdoor,Home & Living,Home & Living,Sports & Outdoor,
iphone 15 plus,iphone 15 plus,Mobile & Gadgets,Mobile & Gadgets,,,
krim jeragat paling berkesan,the most effective acne cream,Health & Beauty,Health & Beauty,Health & Beauty,Health & Beauty,
buah zuriat,offspring,Groceries & Pets,Health & Beauty,Health & Beauty,Groceries & Pets,
giant online,giant online,Groceries & Pets,Baby & Toys,,,
kitchen cabinet,kitchen cabinet,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
samsung galaxy buds,Samsung Galaxy Buds,Mobile & Gadgets,Mobile & Accessories,Mobile & Accessories,,
artery pal 2 pro,artery pal 2 pro,Mobile & Gadgets,Mobile & Accessories,Mobile & Accessories,Mobile & Accessories,
kain dalam,inner fabric,Muslim Fashion,Women Clothes,Women Clothes,Women Clothes,Women's Apparel
touch n go ewallet,touch n go ewallet,Mobile & Gadgets,Mobile & Accessories,Mobile & Accessories,Mobile & Accessories,
oppo reno ace malaysia,oppo reno ace malaysia,Mobile & Gadgets,,,,
alienware malaysia,alienware malaysia,Computer & Accessories,Computer & Accessories,,,
rowing machine malaysia,malaysian rowing machine,Sports & Outdoor,,,,
febreze malaysia,Febreze Malaysia,Home & Living,Groceries & Pets,Groceries & Pets,,
atcetera solutions,atcetera solutions,Mobile & Gadgets,Mobile & Accessories,Mobile & Accessories,,
sjcam,sjcam,Cameras & Drones,Cameras & Drones,Cameras & Drones,,
hiv test kit,HIV test kit,Health & Beauty,,Health & Beauty,,
kepala bergetar,head shaking,Automotive,,Health & Beauty,,
onexox,onexox,Tickets & Vouchers,Mobile & Accessories,Mobile & Accessories,Mobile & Accessories,
tmgo reload now,tmgo reload now,Tickets & Vouchers,,,,
baju melayu murah,cheap Malay clothes,Muslim Fashion,Muslim Fashion,Muslim Fashion,,
giant online shopping,giant online shopping,Groceries & Pets,,,,
birthday cake,birthday cake,Groceries & Pets,Home & Living,Home & Living,,
香蜜沉沉烬如霜,香蜜沉沉李如霜,Others,"Games, Books & Hobbies","Games, Books & Hobbies",,
smok nord,smok nord,Mobile & Gadgets,Mobile & Accessories,Mobile & Accessories,Mobile & Accessories,
myiptv4k apk,myiptv4k apk,Home Appliances,,Computer & Accessories,,
arifureta shokugyou de sekai saikyou,arifureta shokugyou de sekai saikyou,"Games, Books & Hobbies","Games, Books & Hobbies","Games, Books & Hobbies",,
hoka one one malaysia,hoka one one malaysia,Sports & Outdoor,Sports & Outdoor,,,
kerana dia manusia biasa,because he is a normal person,"Games, Books & Hobbies","Games, Books & Hobbies","Games, Books & Hobbies","Games, Books & Hobbies",
instant pot malaysia,Malaysian instant pot,Home Appliances,Home & Living,Home & Living,,
world of sports malaysia,world of sports malaysia,Sports & Outdoor,"Games, Books & Hobbies",,,
lazadamalaysia,lazadamalaysia,Platform Terms (Lazada/Shopee),,,,Platform Terms (Lazada / Shopee)
elda archery,elda archery,Sports & Outdoor,Sports & Outdoor,,,
susu karihome,Karihome milk,Groceries & Pets,Baby & Toys,Baby & Toys,,
sports planet,sports planet,Sports & Outdoor,Sports & Outdoor,Sports & Outdoor,,
fan,fans,Home Appliances,Home Appliances,Home Appliances,Mobile & Accessories,
jaditoner,be toner,Computer & Accessories,Computer & Accessories,Computer & Accessories,,
montok,chubby,Health & Beauty,Health & Beauty,Health & Beauty,Health & Beauty,
ayat seribu dinar,verse of a thousand dinars,"Games, Books & Hobbies",Home & Living,Home & Living,,
dis2u,dis2u,Home & Living,Home & Living,Others,,
iqos 3.0,iqos 3.0,Mobile & Gadgets,Mobile & Accessories,Mobile & Accessories,,
tudung saji,serving lid,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
honor watch magic,honor watch magic,Mobile & Gadgets,Mobile & Accessories,Mobile & Accessories,,
mi box s,mi box s,Home Appliances,Home Appliances,Home Appliances,Home Appliances,Home Appliances
hello kitty carrier,hello kitty carrier,"Games, Books & Hobbies",Baby & Toys,Baby & Toys,,
escape penang,escape penang,Tickets & Vouchers,Tickets & Vouchers,Tickets & Vouchers,,
fishing net,fishing net,Sports & Outdoor,Sports & Outdoor,Sports & Outdoor,Sports & Outdoor,
windows 10 pro activation key,windows 10 pro activation key,Computer & Accessories,Computer & Accessories,Computer & Accessories,Computer & Accessories,
nsb fan,nsb fan,Home & Living,Home Appliances,Home Appliances,,
huawei mate 20 pro,huawei mate 20 pro,Mobile & Gadgets,Mobile & Accessories,Mobile & Accessories,,
kz earphones,kz earphones,Mobile & Gadgets,Mobile & Accessories,Mobile & Accessories,,
carton box,carton box,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
google pixel 3,google pixel 3,Mobile & Gadgets,Mobile & Accessories,Mobile & Accessories,,
deep fryer malaysia,Malaysian deep fryer,Home Appliances,Home Appliances,Home Appliances,,
telefon,telephone,Mobile & Gadgets,Mobile & Accessories,Mobile & Accessories,Mobile & Accessories,
heavyarm,heavyarm,Gaming & Consoles,Gaming & Consoles,Gaming & Consoles,,
htc vive malaysia,htc vive malaysia,Mobile & Gadgets,,Mobile & Accessories,,
wawa skincare,Wawa skincare,Health & Beauty,Health & Beauty,Health & Beauty,Health & Beauty,
sofa set,sofa set,Home & Living,Home & Living,Home & Living,,
tenda ac1900,tent ac1900,Computer & Accessories,Computer & Accessories,Computer & Accessories,,
gunting,scissors,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
tatura cream cheese,Cream cheese sauce,Groceries & Pets,Groceries & Pets,Groceries & Pets,Home & Living,
esprit malaysia,malaysian spirit,Women's Clothing,Women Clothes,,,
epson l3150,epson l3150,Computer & Accessories,Computer & Accessories,Computer & Accessories,Computer & Accessories,
the tale of nokdu,the tale of nokdu,"Games, Books & Hobbies",,"Games, Books & Hobbies",,
belon,balloons,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
pc depot,pc depot,Computer & Accessories,Gaming & Consoles,,,
sportsdirect malaysia,sportsdirect malaysia,Sports & Outdoor,Men Shoes,,,
vantros,vantros,Health & Beauty,Health & Beauty,Health & Beauty,,
