Keyword,Category,imp_level1_category_1d,pv_level1_category_1d,order_level1_category_1d
edredom casal 100 algodão,Casa e Decoração,Home & Living,Home & Living,Home & Living
organizador acrilico,Casa e Decoração,Beauty,Beauty,Beauty
coleira para gatos,Animais Domésticos,Pets,Pets,Pets
porta aluminio,Casa e Decoração,Home & Living,Home & Living,Women Bags
balança antiga,Casa e Decoração,Home & Living,Home & Living,Home & Living
cadeiras para escrivaninha,Casa e Decoração,Home & Living,Home & Living,Home & Living
white horse,Alimentos e Bebidas,Food & Beverages,Food & Beverages,Food & Beverages
fimi x8,Áudio,Cameras & Drones,Cameras & Drones,Computers & Accessories
ar condicionado dual inverter 12000 btus,Eletroportáteis,,Home Appliances,
perfume masculino,Beleza,Beauty,Beauty,Beauty
quantoum container,Others,,,
xtz 125,Others,Motorcycles,Motorcycles,Motorcycles
armação de oculos masculino,Acessórios de Moda,Fashion Accessories,Fashion Accessories,Fashion Accessories
celta 2010 4 portas,Others,Automobiles,Automobiles,Automobiles
controle longa distância,Automóveis,Automobiles,Automobiles,Automobiles
labrador,Others,Pets,Pets,Hobbies & Collections
mesa de ping pong usada,Esportes e Lazer,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
cadeirinha para bicicleta dianteira 25kg,Esportes e Lazer,Mom & Baby,Mom & Baby,Mom & Baby
fio de internet,Computadores e Acessórios,Computers & Accessories,Computers & Accessories,Computers & Accessories
natura perfume,Beleza,Beauty,Beauty,Beauty
polvo reversível,Brinquedos e Hobbies,Mom & Baby,Mom & Baby,Mom & Baby
bau givi,Motocicletas,Motorcycles,Motorcycles,Motorcycles
camisa peaky blinders,Roupas Masculinas,Men Clothes,Women Clothes,Women Clothes
perfume masculino,Beleza,Beauty,Beauty,Beauty
camiseta abercrombie,Roupas Masculinas,Men Clothes,Men Clothes,Men Clothes
geladeiras bosch,Eletroportáteis,Home Appliances,Home Appliances,Home Appliances
escavadeiras de brinquedo,Brinquedos e Hobbies,Mom & Baby,Mom & Baby,Mom & Baby
taça stella,Casa e Decoração,Home & Living,Home & Living,Home & Living
vinho la linda,Alimentos e Bebidas,Food & Beverages,Food & Beverages,Food & Beverages
guarda roupa para bebe,Casa e Decoração,Mom & Baby,Mom & Baby,Mom & Baby
microondas na,Eletroportáteis,Home Appliances,Books & Magazines,Books & Magazines
liga da justiça 2,Brinquedos e Hobbies,Books & Magazines,Hobbies & Collections,Hobbies & Collections
calçinha tailandesa,Roupas Femininas,Women Clothes,Women Clothes,Health
legging levanta glúteos,Roupas Femininas,,Sports & Outdoors,Sports & Outdoors
grades de proteção para camas,Casa e Decoração,,,
havaianas,Sapatos Masculinos,Women Shoes,Women Shoes,Women Shoes
chaleira rosa,Casa e Decoração,Home Appliances,Home Appliances,Home & Living
redmi note 10s 128gb,Celulares e Dispositivos,Mobile & Gadgets,Mobile & Gadgets,Sports & Outdoors
keydrop,Others,,,
phones de ouvido,Áudio,Audio,Audio,Audio
minimoto a gasolina,Automóveis,Motorcycles,Motorcycles,Motorcycles
hqporno,Others,,,
camisa branca do,Roupas Masculinas,Men Clothes,Sports & Outdoors,Sports & Outdoors
camisa xadrez feminina flanelada,Roupas Femininas,Women Clothes,Women Clothes,Men Clothes
a 32,Celulares e Dispositivos,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
bandeirinhas festa junina,Casa e Decoração,Home & Living,Home & Living,Home & Living
suco de uva integral,Alimentos e Bebidas,Food & Beverages,Food & Beverages,Health
galaxy a13,Celulares e Dispositivos,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
cooler mesa,Casa e Decoração,Home & Living,Home & Living,Home & Living
impressora portatil a4,,Computers & Accessories,Stationery,Stationery
placas pvc,,Home & Living,Home & Living,Home & Living
aspirador de pó silencioso,Eletroportáteis,Home Appliances,Home Appliances,Automobiles
audio,Áudio,Audio,Audio,Audio
a71,Celulares e Dispositivos,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
iphone 11s,Celulares e Dispositivos,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
andador idoso,Saúde,Health,Health,Health
camera espia,Câmeras e Drones,Cameras & Drones,Cameras & Drones,Cameras & Drones
controle xbox one s,Computadores e Acessórios,Gaming & Consoles,Gaming & Consoles,Gaming & Consoles
samsung galaxy a70,Celulares e Dispositivos,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
bisturi podologia,Saúde,Beauty,Beauty,Beauty
headset para ps4,Áudio,Audio,Audio,Audio
hd externo samsung 1tb,Computadores e Acessórios,Computers & Accessories,Computers & Accessories,Computers & Accessories
crash bandicoot ps4,Brinquedos e Hobbies,Gaming & Consoles,Gaming & Consoles,Gaming & Consoles
fluido de freio dot 4,Automóveis,Automobiles,Automobiles,Automobiles
tinta para impressora epson l355,Computadores e Acessórios,,Computers & Accessories,Computers & Accessories
meia termica,Roupas Masculinas,Women Clothes,Women Clothes,Sports & Outdoors
chocadeira automática,Others,Pets,Pets,Home & Living
fogão eletrico,Eletroportáteis,Home Appliances,Home Appliances,Home Appliances
benoit,Others,Books & Magazines,Home & Living,Books & Magazines
farol de milha gol g4,Automóveis,Automobiles,Automobiles,Automobiles
capacete cross com viseira,Motocicletas,Motorcycles,Motorcycles,Motorcycles
display j5 prime,Celulares e Dispositivos,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
multimetro,Others,Home & Living,Home & Living,Home & Living
bateria profissional,Others,Hobbies & Collections,Hobbies & Collections,Beauty
www.mercadolivre.combr,Platform Terms (Shopee / Mercado),,,
d10,Others,Hobbies & Collections,Hobbies & Collections,Computers & Accessories
capsula reutilizavel dolce gusto,Others,Home & Living,Home & Living,Home & Living
playstation 1,Jogos e Consoles,Gaming & Consoles,Gaming & Consoles,Gaming & Consoles
travis scott,Roupas Masculinas,Men Clothes,Men Shoes,Sports & Outdoors
tupia laminadora,Others,Home & Living,Home & Living,Home & Living
impressora canon g3100,Computadores e Acessórios,Computers & Accessories,Computers & Accessories,Computers & Accessories
toca discos,Áudio,Audio,Audio,Books & Magazines
coroas brasileiras,Others,,,
usadofacil,Others,,,
creta 2018,Others,Automobiles,Automobiles,Automobiles
travesseiro viscoelástico,Casa e Decoração,Home & Living,Home & Living,Books & Magazines
disco de vinil,Brinquedos e Hobbies,Hobbies & Collections,Hobbies & Collections,Hobbies & Collections
mascara pff2,Others,Health,Health,Beauty
sementes de rosa do deserto,Casa e Decoração,Home & Living,Home & Living,Home & Living
jogo de encaixe,Brinquedos e Hobbies,Mom & Baby,Mom & Baby,Mom & Baby
dispenser de detergente,Casa e Decoração,Home & Living,Home & Living,Home & Living
cola quente,Papelaria,Stationery,Stationery,Stationery
calça xadrez feminina,Roupas Femininas,Women Clothes,Women Clothes,Women Clothes
moldura para fotos,Casa e Decoração,Home & Living,Home & Living,Computers & Accessories
tinta fosforescente,Casa e Decoração,Stationery,Home & Living,Beauty
kits viagem,Viagens e Bagagens,Travel & Luggage,Travel & Luggage,Travel & Luggage
a31,Celulares e Dispositivos,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
geladeira panasonic preta,Eletroportáteis,Home Appliances,Home Appliances,Home Appliances
colheres de silicone,Casa e Decoração,Home & Living,Home & Living,Home & Living
langerie femininas baratas,Roupas Femininas,,,
malbeck,Beleza,Beauty,Beauty,Automobiles
celular a 31,Celulares e Dispositivos,Mobile & Gadgets,Home & Living,Home & Living
www globo-com-br,Others,,,
alicate mundial 777,Casa e Decoração,Beauty,Beauty,Beauty
velas perfumadas,Casa e Decoração,Home & Living,Home & Living,Home & Living
quantoum jordan,Others,,,
mugen,Jogos e Consoles,Automobiles,Hobbies & Collections,Hobbies & Collections
diploma ensino medio,Others,Books & Magazines,Books & Magazines,Home & Living
cozinha modulada completa,Casa e Decoração,Home & Living,Home & Living,Home & Living
colchão inflável de casal,Casa e Decoração,Home Appliances,Home & Living,Home & Living
multilaser h,Celulares e Dispositivos,Mobile & Gadgets,Mobile & Gadgets,Cameras & Drones
bonecos super herois,Brinquedos e Hobbies,Hobbies & Collections,Hobbies & Collections,Hobbies & Collections
guarda roupa com comoda,Casa e Decoração,Home & Living,Home & Living,Home & Living
lego homem-aranha,Brinquedos e Hobbies,Mom & Baby,Mom & Baby,Mom & Baby
lava rápido,Others,Automobiles,Automobiles,Automobiles
dinossauros de brinquedo,Brinquedos e Hobbies,Mom & Baby,Mom & Baby,Mom & Baby
365 dni,Livros e Revistas,Hobbies & Collections,Hobbies & Collections,Automobiles
chocadeira pequena,Casa e Decoração,Home Appliances,Home Appliances,Home Appliances
cadeirinha para bicicleta dianteira,Mãe e Bebê,Sports & Outdoors,Sports & Outdoors,Mom & Baby
coisa de bebê,Mãe e Bebê,Mom & Baby,Beauty,Home & Living
vans slip-on,Sapatos Masculinos,,Men Shoes,Men Shoes
sunga,Roupas Masculinas,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
forminhas para doces finos,Casa e Decoração,Home & Living,Home & Living,Home & Living
xiaomi mi 11t ultra 512gb,Celulares e Dispositivos,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
jogo de xícara,Casa e Decoração,Home & Living,Home & Living,Home & Living
cesta natal,Alimentos e Bebidas,Food & Beverages,Food & Beverages,Home & Living
sapatênis femininos,Sapatos Femininos,,Women Shoes,
tenis feminino preto,Sapatos Femininos,Women Shoes,Women Shoes,Women Shoes
maquina de lavar e secar roupa,Eletroportáteis,Home & Living,Home & Living,Home & Living
iphone 11 loja,Celulares e Dispositivos,,Mobile & Gadgets,Mobile & Gadgets
chat direto,Others,Beauty,Watches,Watches
carteira louis vuitton,Bolsas Femininas,Men Bags,Men Bags,Men Bags
manteigueira francesa,Casa e Decoração,Home & Living,Home & Living,Home & Living
loja celular,Celulares e Dispositivos,Mobile & Gadgets,Mobile & Gadgets,Home & Living
detector de vazamento de água,,Home & Living,Home & Living,Computers & Accessories
maquininha ton,,Beauty,Computers & Accessories,Beauty
papel a4 500 folhas,,Stationery,Stationery,Stationery
tapete peludo,Casa e Decoração,Home & Living,Home & Living,Home & Living
resina epoxi para madeira,Others,Stationery,Stationery,Home & Living
ar condicionado elgin,Casa e Decoração,Home Appliances,Home Appliances,Home Appliances
bicama solteiro,Casa e Decoração,Home & Living,Home & Living,Home Appliances
jogo de lençol casal,Casa e Decoração,Home & Living,Home & Living,Home & Living
escapulario de prata,Acessórios de Moda,Fashion Accessories,Fashion Accessories,Fashion Accessories
mxq 4k,Computadores e Acessórios,Home Appliances,Home Appliances,Home Appliances
mesa pequena,Casa e Decoração,Home & Living,Home & Living,Home & Living
torneira cozinha,Casa e Decoração,Home & Living,Home & Living,Home & Living
lojas anericanas,Platform Terms (Shopee / Mercado),Watches,Watches,Watches
munhequeira crossfit,Esportes e Lazer,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
adesivo para box de banheiro,Casa e Decoração,Home & Living,Home & Living,Home & Living
fralda huggies,Mãe e Bebê,Mom & Baby,Mom & Baby,Mom & Baby
cartucho hp,Computadores e Acessórios,Computers & Accessories,Computers & Accessories,Computers & Accessories
homocinetica,Automóveis,Automobiles,Automobiles,Automobiles
calcinha usada,Roupas Femininas,Women Clothes,Women Clothes,Women Clothes
umbrella oakley,Acessórios de Moda,Sports & Outdoors,Sports & Outdoors,Men Clothes
piercing tragus,Acessórios de Moda,Fashion Accessories,Fashion Accessories,Fashion Accessories
carregador de bateria de carro,Automóveis,Automobiles,Automobiles,Automobiles
linha multifilamento,Esportes e Lazer,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
placa mae ddr2,Computadores e Acessórios,Computers & Accessories,Computers & Accessories,Computers & Accessories
conta free fire,Brinquedos e Hobbies,Gaming & Consoles,Gaming & Consoles,Mobile & Gadgets
interruptor inteligente,Casa e Decoração,Home Appliances,Home Appliances,Home Appliances
mini torno mecanico,Others,Home & Living,Home & Living,Home & Living
elvis presley,Others,Hobbies & Collections,Hobbies & Collections,Books & Magazines
antena wifi usb,Computadores e Acessórios,Computers & Accessories,Computers & Accessories,Computers & Accessories
cabo de rede 20 metros,Computadores e Acessórios,Computers & Accessories,Computers & Accessories,Computers & Accessories
gim,Others,Food & Beverages,Food & Beverages,Men Bags
creatina micronizada,Saúde,Health,Health,Beauty
televisão 42 polegadas,Eletroportáteis,Home Appliances,Home Appliances,Home & Living
kit shimano deore,Esportes e Lazer,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
kit brocas,Casa e Decoração,Home & Living,Home & Living,Home & Living
t-shirt feminina,Roupas Femininas,Women Clothes,Women Clothes,Women Clothes
suspensão manitou,Esportes e Lazer,Sports & Outdoors,Motorcycles,Motorcycles
escova de bambu,Beleza,Health,Health,Health
shoping time,Others,Hobbies & Collections,Sports & Outdoors,Sports & Outdoors
potes de mantimentos,Casa e Decoração,Home & Living,Home & Living,Home & Living
martelete bosch,Casa e Decoração,Home & Living,Home & Living,Home & Living
rolo para bike,Esportes e Lazer,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
king guys,Saúde,,,
squirting,Others,Health,Mom & Baby,Mom & Baby
kit mascara,Saúde,Health,Beauty,Beauty
abajur de pé,Casa e Decoração,Home & Living,Home & Living,Home & Living
panelas nigro eterna,Casa e Decoração,Home & Living,Home Appliances,Home & Living
processador alimentos,Eletroportáteis,Home Appliances,Home Appliances,Home & Living
s10 diesel,Others,,,
smart tv 4k 50 polegadas,Áudio,Home Appliances,Home Appliances,Home Appliances
bateria controle xbox 360,Jogos e Consoles,Gaming & Consoles,Gaming & Consoles,Gaming & Consoles
smartphone a30,Celulares e Dispositivos,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
pilha recarregavel aa,Áudio,Home Appliances,Home Appliances,Home Appliances
peças de fusca,Automóveis,Automobiles,Automobiles,Automobiles
8gb ddr4,Computadores e Acessórios,Computers & Accessories,Computers & Accessories,Computers & Accessories
mini microfone,Áudio,Audio,Audio,Mobile & Gadgets
patins,Esportes e Lazer,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
playstation pro 4,Jogos e Consoles,Gaming & Consoles,Gaming & Consoles,Gaming & Consoles
cropped sal e pimenta,Roupas Femininas,Women Clothes,Women Clothes,Women Clothes
relógio de ouro,Relógios,Watches,Watches,Fashion Accessories
remoção de cravos,Beleza,Beauty,Beauty,Beauty
etiquetas para temperos,Papelaria,Stationery,Stationery,Stationery
amiibo,Jogos e Consoles,Gaming & Consoles,Gaming & Consoles,Stationery
máquina café expresso,Eletroportáteis,Home Appliances,Home Appliances,Home Appliances
maiô preto,Roupas Femininas,Sports & Outdoors,Sports & Outdoors,Home & Living
tenis gucci,Sapatos Masculinos,Men Shoes,Men Shoes,Sports & Outdoors
redmi airdots 2,Celulares e Dispositivos,Audio,Audio,Audio
meia calça de lã,Roupas Femininas,Women Clothes,Women Clothes,Women Clothes
smart tv 50 polegadas lg,Áudio,Home Appliances,Home Appliances,Home & Living
fogao 5 bocas cooktop,Eletroportáteis,,Home & Living,
mola maluca,Brinquedos e Hobbies,Mom & Baby,Mom & Baby,Mom & Baby
calças jeans masculinas,Roupas Masculinas,Men Clothes,Men Clothes,Men Clothes
gaveteiras,Casa e Decoração,Home & Living,Home & Living,Home & Living
playmod,Others,,,
berco bebe,Mãe e Bebê,Mom & Baby,Mom & Baby,Mom & Baby
we pink,Others,Beauty,Beauty,Beauty
bateria iphone 8,Celulares e Dispositivos,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
ração super premium,Animais Domésticos,Pets,Pets,Pets
blitzwolf projetor,Eletroportáteis,Home Appliances,Home Appliances,Computers & Accessories
clonar whatsapp,Others,Automobiles,Automobiles,Automobiles
vinho mateus,Alimentos e Bebidas,Food & Beverages,Food & Beverages,Home & Living
caderno de 5 materias,,Stationery,Stationery,Stationery
terno,Roupas Masculinas,Men Clothes,Men Clothes,Men Clothes
kit confeiteiro,Casa e Decoração,Home & Living,Home & Living,Home & Living
churrasqueira a bafo,Casa e Decoração,Home & Living,Home & Living,Home & Living
resina epoxi,Others,Stationery,Stationery,Stationery
resina epoxi,Others,Stationery,Stationery,Stationery
pulseira mi band 4,Relógios,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
jbl go 2,Brinquedos e Hobbies,Audio,Audio,Mobile & Gadgets
forno air fryer,Eletroportáteis,Home Appliances,Home Appliances,Home Appliances
bolsa michael kors,Bolsas Femininas,Women Bags,Women Bags,Men Bags
impressora digital,Papelaria,Computers & Accessories,Computers & Accessories,Stationery
panelas de vidro,Others,Home & Living,Home & Living,Home & Living
mae terra,Others,Food & Beverages,Hobbies & Collections,Food & Beverages
celular xiaomi 32gb,Celulares e Dispositivos,Mobile & Gadgets,Mobile & Gadgets,Gaming & Consoles
churrasqueira sem fumaça,Esportes e Lazer,Home & Living,Home & Living,Home & Living
haste para cerca eletrica,Others,Home & Living,Home Appliances,Home Appliances
fantasia power rangers,Moda Infantil,Baby & Kids Fashion,Baby & Kids Fashion,Baby & Kids Fashion
snickers,Others,Food & Beverages,Food & Beverages,Food & Beverages
punheteira,Others,Sports & Outdoors,Sports & Outdoors,Home & Living
vibradores,Others,Health,Health,Health
bobcat,Others,Hobbies & Collections,Gaming & Consoles,Gaming & Consoles
baterias para carro,Automóveis,Automobiles,Home Appliances,Home Appliances
jeep wrangler,Others,Hobbies & Collections,Automobiles,Automobiles
multimidia kronos,Automóveis,Home & Living,Hobbies & Collections,Hobbies & Collections
cooper,Others,Hobbies & Collections,Books & Magazines,Books & Magazines
tela de janela,Others,Home & Living,Home & Living,Home & Living
balança digital para cozinha,Others,Home & Living,Home & Living,Home & Living
refrigerador frost free,Eletroportáteis,Home Appliances,Home Appliances,Home Appliances
suporte monitor articulado,Casa e Decoração,Home Appliances,Computers & Accessories,Home & Living
cpu dell,Computadores e Acessórios,Computers & Accessories,Computers & Accessories,Computers & Accessories
iphone 6s plus usado,Celulares e Dispositivos,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
capa bebe conforto,Mãe e Bebê,Mom & Baby,Mom & Baby,Mom & Baby
roupa da akatsuki,Roupas Femininas,Men Clothes,Hobbies & Collections,Hobbies & Collections
janela de blindex,Casa e Decoração,Home & Living,Home & Living,Pets
toldo retrátil,Casa e Decoração,Home & Living,Home & Living,Home & Living
filtro latina,Casa e Decoração,Home Appliances,Home Appliances,Home Appliances
harry potter,Others,Hobbies & Collections,Hobbies & Collections,Home & Living
estrela 10,Computadores e Acessórios,Home & Living,Home & Living,Home & Living
box corte de espinhos e rosas,Livros e Revistas,Books & Magazines,Books & Magazines,Beauty
cama box baú,Casa e Decoração,Home & Living,Home & Living,Home & Living
ring light profissional,Celulares e Dispositivos,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
panelas ceramica,Casa e Decoração,Home & Living,Home & Living,Home & Living
controle remoto aoc,Eletroportáteis,Home Appliances,Home Appliances,Home Appliances
pneu maxxis 29,Automóveis,Sports & Outdoors,Sports & Outdoors,Home Appliances
cordão de prata masculino,Relógios,Fashion Accessories,Fashion Accessories,Fashion Accessories
pernanbucanas,Casa e Decoração,Hobbies & Collections,Sports & Outdoors,Sports & Outdoors
estante para plantas,Casa e Decoração,Home & Living,Home & Living,Home & Living
mascara pff2,Saúde,Health,Health,Beauty
indominus rex brinquedo,Brinquedos e Hobbies,Mom & Baby,Mom & Baby,Hobbies & Collections
máquina de lavar louça,Eletroportáteis,Women Clothes,Women Clothes,Home & Living
shih tzu,Animais Domésticos,Pets,Pets,Men Shoes
chave torx,Casa e Decoração,Home & Living,Home & Living,Home & Living
tubolata,Casa e Decoração,Home & Living,Home & Living,Stationery
mochila masculina,Bolsas Masculinas,Men Bags,Men Bags,Men Bags
web can,Áudio,Computers & Accessories,Computers & Accessories,Computers & Accessories
piano digital usado,Brinquedos e Hobbies,Hobbies & Collections,Hobbies & Collections,Hobbies & Collections
pulseira masculina banhada a ouro,Relógios,Fashion Accessories,Fashion Accessories,Fashion Accessories
berloque harry potter,Acessórios de Moda,Fashion Accessories,Fashion Accessories,Baby & Kids Fashion
microondas lojas cem,Eletroportáteis,,,
parafina para velas,Casa e Decoração,Home & Living,Home & Living,Home & Living
pulseira fir,Saúde,Fashion Accessories,Fashion Accessories,Health
arara de madeira,Casa e Decoração,Home & Living,Home & Living,Home & Living
purificador de água colormaq,Eletroportáteis,Home Appliances,Home Appliances,Home Appliances
capa para puff quadrado,Casa e Decoração,Home & Living,Home & Living,Beauty
prateleira para gatos,Animais Domésticos,Pets,Pets,Pets
sapatilha mtb feminina,Esportes e Lazer,Sports & Outdoors,Sports & Outdoors,Women Clothes
resina acrílica,Casa e Decoração,Home & Living,Home & Living,Home & Living
tenis fila branco,Sapatos Femininos,Women Shoes,Women Shoes,Men Shoes
tiempo,Others,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
biquini neon,Roupas Femininas,Sports & Outdoors,Sports & Outdoors,Beauty
pgsharp,Others,Home Appliances,Mobile & Gadgets,Mobile & Gadgets
scooter eletrica,Others,Sports & Outdoors,Sports & Outdoors,Automobiles
capacetes motos,Motocicletas,Motorcycles,Sports & Outdoors,Sports & Outdoors
sementes de uva,Casa e Decoração,Health,Home & Living,Health
fraldas xg pampers,Mãe e Bebê,Mom & Baby,Mom & Baby,Mom & Baby
soundbar lg,Áudio,Home Appliances,Home Appliances,Home Appliances
kit skincare ruby rose,Beleza,Beauty,Beauty,Beauty
kits maquiagem,Beleza,Beauty,Beauty,Fashion Accessories
gravatas borboleta,Roupas Masculinas,Fashion Accessories,Fashion Accessories,Fashion Accessories
super manga,Livros e Revistas,Books & Magazines,Women Clothes,Women Clothes
pomada para tatuagem,Saúde,Fashion Accessories,Beauty,Beauty
mercadinhoparavela de aniversário,Others,,,
suporte para alexa,Áudio,Audio,Audio,Audio
guitarra elétrica,Brinquedos e Hobbies,Hobbies & Collections,Hobbies & Collections,Hobbies & Collections
estojo preto,,Stationery,Stationery,Stationery
one piece ex,Papelaria,Hobbies & Collections,Hobbies & Collections,Hobbies & Collections
patins,Esportes e Lazer,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
galaxy s8,Celulares e Dispositivos,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
americanss,Others,Health,Hobbies & Collections,Hobbies & Collections
aparelho de pressão,Saúde,Health,Health,Health
churrasqueira a bafo,Others,Home & Living,Home & Living,Home & Living
balança bioimpedância,Saúde,Health,Health,Health
tampa da bola,Others,Automobiles,Automobiles,Automobiles
jogo da vida,Brinquedos e Hobbies,Hobbies & Collections,Hobbies & Collections,Hobbies & Collections
fralda capricho,Mãe e Bebê,Mom & Baby,Mom & Baby,Mom & Baby
bolsa gucci,Bolsas Femininas,Women Bags,Women Bags,Women Bags
bonecas sexuais,Saúde,Health,Mom & Baby,Hobbies & Collections
moto e 6 plus 64gb,Celulares e Dispositivos,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
gopro hero 8,Áudio,Cameras & Drones,Automobiles,Cameras & Drones
maquina lava e seca,Eletroportáteis,Home Appliances,Home Appliances,Home & Living
cachecol,Acessórios de Moda,Fashion Accessories,Fashion Accessories,Mom & Baby
maquina lava e seca samsung,Eletroportáteis,Home Appliances,Home Appliances,Home Appliances
fita led,Casa e Decoração,Home & Living,Home & Living,Home & Living
carroceria de madeira,Others,Mom & Baby,Mom & Baby,Mom & Baby
lista iptv paga,Platform Terms (Shopee / Mercado),,,
máquina de sorvete americano,Others,Home Appliances,Home & Living,Home & Living
carro gol,Others,Automobiles,Automobiles,Automobiles
forma para gesso 3d,Others,Home & Living,Home & Living,Home & Living
saia longa,Roupas Femininas,Women Clothes,Women Clothes,Women Clothes
s10 2013,Others,Automobiles,Automobiles,Automobiles
bermuda jeans masculina,Roupas Masculinas,Men Clothes,Men Clothes,Men Clothes
notebook promocao,Computadores e Acessórios,Computers & Accessories,Home Appliances,Home Appliances
som,Áudio,Audio,Audio,Audio
mini,Others,Home & Living,Beauty,Home & Living
telhas de zinco usadas,Casa e Decoração,,,
bem dotados,Others,Health,Men Clothes,Men Clothes
a71,Celulares e Dispositivos,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
escadinha para maca,Beleza,Home & Living,Home & Living,Home & Living
tv smart 50 polegadas,Eletroportáteis,Home Appliances,Home Appliances,Home Appliances
cabeceira king,Casa e Decoração,Home & Living,Home & Living,Home & Living
civic 2010,Others,Automobiles,Automobiles,Automobiles
planeta deagostini,Brinquedos e Hobbies,Hobbies & Collections,Hobbies & Collections,Hobbies & Collections
amplificador de guitarra,Áudio,Hobbies & Collections,Audio,Women Clothes
tay day,Roupas Masculinas,Women Clothes,Women Shoes,Women Shoes
climatizador de ar consul,Eletroportáteis,Home Appliances,Home Appliances,Home Appliances
kit oleos essenciais,Casa e Decoração,Home & Living,Beauty,Beauty
jim beam,Alimentos e Bebidas,Food & Beverages,Food & Beverages,Home & Living
smartfone samsung,Celulares e Dispositivos,Home Appliances,Mobile & Gadgets,Mobile & Gadgets
shih tzu,Others,Pets,Pets,Men Shoes
tv samsung 55,Computadores e Acessórios,Home Appliances,Home Appliances,Home Appliances
