Keyword,Category,imp_level1_category_1d,pv_level1_category_1d,order_level1_category_1d
chihuahua cabeza de manzana,Others,,,
moto e7,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,Automobiles
cable uso rudo 3x10,Hogar y Vida,Home Appliances,Home Appliances,Home Appliances
aceites para masajes,Belleza,Men Clothes,Men Clothes,Men Bags
llavero,,Hobbies & Collections,Hobbies & Collections,Hobbies & Collections
chamarras para moto,,Men Clothes,Women Clothes,Women Clothes
bbw,Belleza,,,
pulpo reversible,Juguetes y Hobbies,Mom & Baby,Mom & Baby,Mom & Baby
xiaomi redmi 9 pro,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
vento,Others,Automobiles,Automobiles,Automobiles
shampoo yeguada,Belleza,,,
xbox one series s,Videojuegos,Gaming & Consoles,Gaming & Consoles,Gaming & Consoles
echo show 5,Celulares y Gadgets,Audio,Audio,Mobile & Gadgets
raatreo dhl,Celulares y Gadgets,,,
idealica,Salud,Health,Health,Health
tenis reebok,Calzado de Mujer,Men Shoes,Men Shoes,Women Shoes
vento,Juguetes y Hobbies,Automobiles,Automobiles,Automobiles
alubike,Deportes y Fitness,Beauty,Beauty,Beauty
shea moisture,Belleza,Beauty,Beauty,Beauty
oracion santa muerte,Libros y Revistas,,,
nana calistar,Libros y Revistas,,,
suzuki swift sport,Others,,Women Clothes,Women Clothes
pistaches,Alimentos y Bebidas,Home & Living,Home & Living,Home & Living
moto e6,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
vento,Others,Automobiles,Automobiles,Automobiles
accesorios para motociclista,Accesorios para Vehículos,Fashion Accessories,Automobiles,Audio
base para pantalla,,Mobile & Gadgets,Computers & Accessories,Computers & Accessories
flix,Electrónica,Women Clothes,Women Clothes,Women Clothes
gomitas para dormir,Salud,Women Clothes,Women Clothes,Women Clothes
fidget toy,Juguetes y Hobbies,Mom & Baby,Hobbies & Collections,Mom & Baby
patinete electrico,Juguetes y Hobbies,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
cruze 2017,Others,Automobiles,Automobiles,Automobiles
cubrebocas lavable,Salud,Fashion Accessories,Baby & Kids Fashion,Fashion Accessories
ralph el demoledor,Juguetes y Hobbies,Health,Men Shoes,Men Shoes
master detector,Miscellaneous,,,
spiderman 1,Others,Hobbies & Collections,Mom & Baby,Hobbies & Collections
funko pop,Juguetes y Hobbies,Hobbies & Collections,Hobbies & Collections,Hobbies & Collections
farmacia prixz,Salud,Health,Beauty,Beauty
dm125 italika,Others,,Motorcycles,Motorcycles
maduras amateur,Libros y Revistas,,,
pomada de la campana para que sirve,Salud,,,
de sangre y ceniza,Libros y Revistas,Beauty,Men Clothes,Men Clothes
abanico,Accesorios de Moda,Hobbies & Collections,Hobbies & Collections,Audio
framboyanes,Hogar y Vida,,,
futurama xxx,Others,,,
caviar,Alimentos y Bebidas,Women Bags,Women Bags,Women Bags
capa de ozono zapatos,Calzado de Mujer,Men Shoes,Sports & Outdoors,Sports & Outdoors
red magic 6s pro,Celulares y Gadgets,,Mobile & Gadgets,Mobile & Gadgets
maduras xx,Others,,,
the summer i turned pretty,Libros y Revistas,Men Clothes,Men Clothes,Men Clothes
carros baratos,Others,,Hobbies & Collections,
san isidro,Others,Men Clothes,Men Clothes,Men Clothes
pulsar 200 ns,Others,,,
posca markers,Papelería,Stationery,Stationery,Stationery
protector de calor para el cabello,,Beauty,Sports & Outdoors,Sports & Outdoors
escritorios para computadora,,Computers & Accessories,Computers & Accessories,Computers & Accessories
renault kangoo,,,Automobiles,Automobiles
aceites para masajes,,Men Clothes,Men Clothes,Men Bags
iphone reacondicionado,,Audio,Mobile & Gadgets,Audio
vento,Others,Automobiles,Automobiles,Automobiles
motosierra stihl,Others,Home & Living,Home & Living,Sports & Outdoors
corolla 2014,Others,,,
collar isabelino,Joyas y Relojes,Pets,Pets,Fashion Accessories
iphone 12,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
bishon habanero,Mascotas,,,
piso epoxico,Others,,,
tarot oraculo,Juguetes y Hobbies,,Hobbies & Collections,Hobbies & Collections
a12 samsung,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
donerman,Mascotas,Beauty,Beauty,Beauty
taladro bosch,Hogar y Vida,Home & Living,Home & Living,Home & Living
maduras amateur,Others,,,
refacciones moto,Others,Motorcycles,Sports & Outdoors,Sports & Outdoors
alborada,Miscellaneous,,,
tiniazol shampoo,Belleza,Beauty,Beauty,Men Clothes
batman mcfarlane,Juguetes y Hobbies,Hobbies & Collections,Hobbies & Collections,Mom & Baby
aire lavado portatil,Electrodomésticos,Mobile & Gadgets,Sports & Outdoors,Sports & Outdoors
fenogreco pastillas,Salud,Fashion Accessories,Fashion Accessories,Fashion Accessories
minino plus 10 kg,Mascotas,,,
tenga egg,Others,Health,Health,Health
vestido de noche,Ropa de Mujer,Women Clothes,Women Clothes,Baby & Kids Fashion
albumes de bad bunny,Others,Men Clothes,Hobbies & Collections,Watches
colchon emma matrimonial,Hogar y Vida,,,
bolsa guess,Bolsas de Mujer,Women Bags,Women Bags,Women Bags
galaxy s21,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
hilux,Others,Automobiles,Automobiles,Automobiles
botellas de vidrio,Alimentos y Bebidas,Home & Living,Beauty,Home & Living
oppo reno 5,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,Audio
pants mujer adidas,Ropa de Mujer,Women Clothes,Women Clothes,Women Clothes
wd 40,Others,Home & Living,Automobiles,Automobiles
ducati motos,Others,Mobile & Gadgets,Fashion Accessories,Fashion Accessories
victoria secret,Belleza,Women Clothes,Women Clothes,Women Clothes
maverick,Others,Sports & Outdoors,Men Clothes,Men Clothes
perros alaska,,Pets,Men Clothes,Men Clothes
tarjetas graficas,,Computers & Accessories,Computers & Accessories,Cameras & Drones
contorno de ojos cerave,,Beauty,Beauty,Beauty
samsonite,,Men Bags,Women Bags,Women Bags
audifonos bluetooth,Celulares y Gadgets,Audio,Audio,Audio
zorras,Papelería,,,
aflojatodo,Salud,Automobiles,Home & Living,Home Appliances
pack de hombre,Ropa de Hombre,Men Bags,Men Clothes,Men Clothes
haylou gt1 pro,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
vibrador a control remoto,Miscellaneous,Health,Health,Fashion Accessories
aveo 2017,Others,,Automobiles,Automobiles
mesitas para niñas,Juguetes y Hobbies,Mom & Baby,Home & Living,Home & Living
huawei p30,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
iphone 12,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
casco para moto,Accesorios para Vehículos,Motorcycles,Motorcycles,Mobile & Gadgets
videos cp,Others,Audio,Women Clothes,Audio
funko pop demon slayer,Juguetes y Hobbies,Hobbies & Collections,Hobbies & Collections,Hobbies & Collections
asientos para vocho,Others,Beauty,Gaming & Consoles,Gaming & Consoles
idealica,Salud,Health,Health,Health
gabby's dollhouse,Juguetes y Hobbies,Mom & Baby,Mom & Baby,Hobbies & Collections
peluche pulpo reversible,Juguetes y Hobbies,,Hobbies & Collections,Hobbies & Collections
babydollll,Ropa de Mujer,Women Clothes,Women Clothes,Women Clothes
vortex 300,Others,Sports & Outdoors,Motorcycles,Motorcycles
emily bloom,Libros y Revistas,,,
adidas samba,Calzado de Hombre,Men Shoes,Men Shoes,Men Shoes
kia stinger,Others,Automobiles,Men Clothes,Hobbies & Collections
super sonic,Juguetes y Hobbies,Hobbies & Collections,Fashion Accessories,Fashion Accessories
seven,Libros y Revistas,Fashion Accessories,Fashion Accessories,Fashion Accessories
factorum,Libros y Revistas,,,
mandalorian,Juguetes y Hobbies,Hobbies & Collections,Hobbies & Collections,Women Clothes
bicicleta eléctrica,Deportes y Fitness,Sports & Outdoors,Motorcycles,Sports & Outdoors
decoracion para graduacion en casa,Hogar y Vida,,,
labial maybelline,Belleza,Beauty,Beauty,Beauty
tampax,Salud,Men Clothes,Health,Health
ukulele,,Hobbies & Collections,Mom & Baby,Hobbies & Collections
www.mercadolibre,,,,
capa de harry potter,,Women Clothes,Baby & Kids Fashion,Pets
restirador,Hogar y Vida,Stationery,Stationery,Stationery
hilux,Others,Automobiles,Automobiles,Automobiles
bocina amplificadas,Electrónica,,,
copiadora,Computación,Home & Living,Home Appliances,Cameras & Drones
sasha montenegro desnuda,Others,,,
vinil autoadherible,Others,Automobiles,Automobiles,Automobiles
shin ramen,Alimentos y Bebidas,Women Bags,Mobile & Gadgets,Mobile & Gadgets
audífonos bose bluetooth,Celulares y Gadgets,Audio,Audio,Mobile & Gadgets
teclado mecanico,Computación,Computers & Accessories,Computers & Accessories,Home & Living
mujeres en calzones,Others,Women Clothes,Women Clothes,Women Clothes
zorras,Libros y Revistas,,,
bibradores para mujer,Miscellaneous,Health,Health,Women Bags
ventosas para vidrio,Hogar y Vida,Home & Living,Home & Living,Mobile & Gadgets
nancy un dia de spa,Juguetes y Hobbies,Watches,Watches,Watches
kte spade,Others,,,
truper en linea,Miscellaneous,,,
fidget toys pop it,Juguetes y Hobbies,,,
airdots 3,Celulares y Gadgets,Audio,Audio,Sports & Outdoors
perla del deseo,Accesorios de Moda,Home & Living,Home & Living,Home & Living
soplete de gas,Others,Home & Living,Home & Living,Home & Living
lentes polaroid,Accesorios de Moda,,,
masajeador de cabeza,Miscellaneous,Health,Beauty,Home & Living
jordan 1 dior,Calzado de Hombre,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
suzuki ertiga,Others,Automobiles,Automobiles,Men Clothes
de nebulizador en similares,Madre y Bebé,,,
damian libro,Libros y Revistas,Hobbies & Collections,Stationery,Stationery
minion morado,Juguetes y Hobbies,Mom & Baby,Mom & Baby,Sports & Outdoors
moto g9,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
xiaomi 11 t,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
direct liquidation mexico,Others,,,
goli gomitas,Salud,Food & Beverages,Food & Beverages,Food & Beverages
air max,Calzado de Hombre,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
