Keyword,Category,imp_level1_category_1d,pv_level1_category_1d,order_level1_category_1d
cài áo,Phụ Kiện Thời Trang,,Fashion Accessories,Fashion Accessories
tomtoc,Túi Ví,Men Bags,Men Bags,Men Bags
vespa,Ô tô - xe máy - xe đạp,,Motorcycles,Motorcycles
adc book,Nhà Sách Online,,,
đồng hồ fossil,Đồng Hồ,Watches,Watches,Mobile & Gadgets
máy ấp trứng bảo tín,Thiết Bị Điện Gia Dụng,Home Appliances,Home Appliances,Home Appliances
jhin,Nhà Sách Online,Hobbies & Collections,Hobbies & Collections,Beauty
acecook,Bách Hoá Online,Food & Beverages,Food & Beverages,Food & Beverages
thước kẹp,Nhà Cửa & Đời Sống,Home & Living,Home & Living,Home & Living
thiên tài bên trái kẻ điên bên phải,Nhà Sách Online,,Books & Magazines,Books & Magazines
dermatix ultra,Sức Khỏe & Sắc Đẹp,Beauty,Beauty,Beauty
iruma,Nhà Sách Online,Books & Magazines,Books & Magazines,Books & Magazines
kem hoa anh đào,Sức Khỏe & Sắc Đẹp,Beauty,Beauty,Beauty
mashall,Thiết Bị Điện Tử,Audio,Audio,Audio
nước giặt maxkleen,Nhà Cửa & Đời Sống,Home & Living,Home & Living,Home & Living
việt phục,Thời Trang Nữ,Women Clothes,Women Clothes,Hobbies & Collections
glucerna,Bách Hoá Online,Food & Beverages,Food & Beverages,Food & Beverages
ảnh neon đẹp,Nhà Sách Online,,,
đèn năng lương mặt trời,Nhà Cửa & Đời Sống,Home & Living,Home & Living,Home Appliances
thuốc boca,Sức Khỏe & Sắc Đẹp,Health,Health,Health
boa hancock,Nhà Sách Online,Hobbies & Collections,Hobbies & Collections,Hobbies & Collections
cha ram tom dat sinh huong,Bách Hoá Online,,,
bánh kem mini,Bách Hoá Online,Food & Beverages,Food & Beverages,Mom & Baby
xisat xịt mũi,Sức Khỏe & Sắc Đẹp,Health,Health,Health
máy làm lại cuộc đời,Thiết Bị Điện Gia Dụng,Home & Living,Beauty,Beauty
sex dolls,Others,Health,Hobbies & Collections,Health
đồng hồ nga,Đồng Hồ,Watches,Watches,Home & Living
áo balenciaga,Thời Trang Nữ,,Men Clothes,Women Clothes
mùa hè yêu dấu của chúng ta,Đồ Chơi,Stationery,Stationery,Stationery
máy làm đá mini,Thiết Bị Điện Gia Dụng,Home Appliances,Home Appliances,Home Appliances
cu giả,Others,Hobbies & Collections,Hobbies & Collections,Hobbies & Collections
khoe ngực,Others,Health,Beauty,Beauty
bồn ngâm chân,Sức Khỏe & Sắc Đẹp,Home Appliances,Home Appliances,Home Appliances
phim set chau au,Others,,,
chiếu trúc tăm,Nhà Cửa & Đời Sống,Home & Living,Home & Living,Mom & Baby
bộ bàn ăn 6 ghế hiện đại,,Home & Living,Home & Living,Home & Living
banh com hang than,,,,
snaptik,,Food & Beverages,Food & Beverages,Food & Beverages
shoppi,Túi Ví,Home & Living,Women Clothes,Women Clothes
hạt giống,Nhà Cửa & Đời Sống,Home & Living,Home & Living,Home & Living
camera siêu nhỏ,Máy ảnh - Máy quay phim,Cameras & Drones,Cameras & Drones,Cameras & Drones
anessa,Sức Khỏe & Sắc Đẹp,,Beauty,Beauty
truyện ngôn tình,Nhà Sách Online,Books & Magazines,Books & Magazines,Hobbies & Collections
lò xo,Nhà Cửa & Đời Sống,Home & Living,Home & Living,Home & Living
den xong tinh dau,Nhà Cửa & Đời Sống,Home & Living,Home & Living,Home & Living
family and friends,Mẹ & Bé,Books & Magazines,Stationery,Stationery
máy in ảnh mini,Máy ảnh - Máy quay phim,,Cameras & Drones,Home & Living
điện thoại cũ,Điện Thoại & Phụ Kiện,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
túi giấy đựng quà,Nhà Sách Online,Stationery,Stationery,Stationery
ipad air 2019,Điện Thoại & Phụ Kiện,,,
honda adv 150,Ô tô - xe máy - xe đạp,Motorcycles,Motorcycles,Motorcycles
calligraphy,Nhà Sách Online,Stationery,Stationery,Stationery
ly nhựa,Nhà Cửa & Đời Sống,,Home & Living,Home & Living
mihong,Nhà Cửa & Đời Sống,Home Appliances,Food & Beverages,Food & Beverages
nước giặt ariel,Nhà Cửa & Đời Sống,Home & Living,Home & Living,Home & Living
bao tay tập gym,Thể Thao & Du Lịch,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
cô giáo thảo,Thời Trang Nữ,Food & Beverages,Food & Beverages,Food & Beverages
lon to,Nhà Sách Online,Home & Living,Mom & Baby,Mom & Baby
đồ lam đi chùa,Thời Trang Nữ,,Women Clothes,Women Clothes
ghế ngồi học,Nhà Cửa & Đời Sống,Home & Living,Home & Living,Home & Living
đèn đọc sách gắn tường,Nhà Cửa & Đời Sống,Home & Living,Home & Living,Mobile & Gadgets
serum the ordinary niacinamide 10 zinc 1,Sức Khỏe & Sắc Đẹp,Beauty,Beauty,Beauty
đèn studio,Máy ảnh - Máy quay phim,Cameras & Drones,Cameras & Drones,Cameras & Drones
lily bell,Sức Khỏe & Sắc Đẹp,Beauty,Beauty,Beauty
thanh lăn mụn đầu đen,Sức Khỏe & Sắc Đẹp,Beauty,Beauty,Beauty
nétle,Bách Hoá Online,Food & Beverages,Food & Beverages,Food & Beverages
bot mì,Bách Hoá Online,Food & Beverages,Food & Beverages,Food & Beverages
người dơi,Thời Trang Trẻ Em,Mom & Baby,Hobbies & Collections,Mom & Baby
aptamil đức,Mẹ & Bé,Mom & Baby,Mom & Baby,Mom & Baby
áo local,Thời Trang Nữ,Women Clothes,Men Clothes,Men Clothes
balo mlb,Túi Ví,Women Bags,Women Bags,Men Bags
yêu những điều không hoàn hảo,Nhà Sách Online,Books & Magazines,Books & Magazines,Books & Magazines
sextoi,Others,Fashion Accessories,Women Bags,Women Bags
tóc mullet nam,Phụ Kiện Thời Trang,,Fashion Accessories,
lop hoc gia dinh,,Books & Magazines,Books & Magazines,Books & Magazines
rita võ cafe,,Food & Beverages,Food & Beverages,Food & Beverages
kamen rider zero one,Nhà Sách Online,Hobbies & Collections,Hobbies & Collections,Hobbies & Collections
giấy a4,Nhà Sách Online,Stationery,Stationery,Stationery
giường tầngrẻ,Nhà Cửa & Đời Sống,,,
3m 9501vt,Sức Khỏe & Sắc Đẹp,Health,Health,Sports & Outdoors
hp 2 jutaan,Others,,,
xiaomi,Điện Thoại & Phụ Kiện,,Mobile & Gadgets,Audio
mũ bảo hiểm đẹp,Ô tô - xe máy - xe đạp,Motorcycles,Motorcycles,Women Bags
mũ bảo hiểm grs,Ô tô - xe máy - xe đạp,Motorcycles,Motorcycles,Motorcycles
jbl t110,Thiết Bị Điện Tử,Audio,Audio,Audio
canon 750d,Máy ảnh - Máy quay phim,Cameras & Drones,Cameras & Drones,Cameras & Drones
phim set nhat,Others,Computers & Accessories,Computers & Accessories,Computers & Accessories
găng tay chống nước,Phụ Kiện Thời Trang,Fashion Accessories,Fashion Accessories,Fashion Accessories
topper,Nhà Cửa & Đời Sống,Home & Living,Home & Living,Home & Living
la roche-posay b5,Sức Khỏe & Sắc Đẹp,Beauty,Beauty,Beauty
skin ii,Sức Khỏe & Sắc Đẹp,Beauty,Beauty,Beauty
sữa bledina,Mẹ & Bé,Mom & Baby,Mom & Baby,Mom & Baby
áo louis vuitton,Thời Trang Nữ,Men Clothes,Men Clothes,Men Clothes
bàn học gỗ,Nhà Cửa & Đời Sống,,Home & Living,Home & Living
viên uống thơm cơ thể,Sức Khỏe & Sắc Đẹp,Health,Health,Health
bánh kém,Bách Hoá Online,Women Clothes,Women Shoes,Women Clothes
quần lót zen,Thời Trang Nữ,Women Clothes,Women Clothes,Women Clothes
estée lauder,Sức Khỏe & Sắc Đẹp,,Beauty,Beauty
vision,Ô tô - xe máy - xe đạp,,Hobbies & Collections,Hobbies & Collections
isispharma,Sức Khỏe & Sắc Đẹp,Beauty,Health,Health
thần chết,Thời Trang Trẻ Em,Hobbies & Collections,Hobbies & Collections,Hobbies & Collections
taxi feke,Others,,,
ba lo nam,Túi Ví,Men Bags,Men Bags,Men Bags
nhót,Bách Hoá Online,Home & Living,Home & Living,Food & Beverages
bao cao su gai bi,Sức Khỏe & Sắc Đẹp,,Health,Health
kem trị sẹo,Sức Khỏe & Sắc Đẹp,,Beauty,Beauty
dây mạng cat 6,Máy tính & Laptop,Computers & Accessories,Computers & Accessories,Computers & Accessories
rong biển cuộn cơm,Bách Hoá Online,Food & Beverages,Food & Beverages,Food & Beverages
ở rể,Others,Home & Living,Health,Health
snaptik,Others,Food & Beverages,Food & Beverages,Food & Beverages
chế phẩm hùng nguyễn,Nhà Cửa & Đời Sống,Home & Living,Home & Living,Home & Living
nón lá,Phụ Kiện Thời Trang,Fashion Accessories,Fashion Accessories,Fashion Accessories
vaseline,Sức Khỏe & Sắc Đẹp,,Beauty,Beauty
tạp dề,Nhà Cửa & Đời Sống,,Home & Living,Home & Living
nước hoa hồng thayer,Sức Khỏe & Sắc Đẹp,,Beauty,Beauty
kính thug life,Phụ Kiện Thời Trang,Fashion Accessories,Fashion Accessories,Fashion Accessories
máy hàn miệng túi mini,Nhà Cửa & Đời Sống,Home & Living,Home & Living,Home & Living
thánh sim,Điện Thoại & Phụ Kiện,,Mobile & Gadgets,Mobile & Gadgets
băng keo,Nhà Sách Online,Stationery,Stationery,Stationery
lego robot,Mẹ & Bé,Mom & Baby,Mom & Baby,Mom & Baby
atlat,Nhà Sách Online,Books & Magazines,Books & Magazines,Books & Magazines
hồi ức,Nhà Sách Online,Books & Magazines,Books & Magazines,Books & Magazines
học,Nhà Sách Online,Books & Magazines,Stationery,Home & Living
maison,Thời Trang Nữ,Beauty,Beauty,Beauty
case airpod,Điện Thoại & Phụ Kiện,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
dirtycoin,Thời Trang Nữ,,Women Clothes,Men Clothes
ghế tập ngồi,Mẹ & Bé,,Mom & Baby,Mom & Baby
đồng hồ citizen,Đồng Hồ,,Watches,
quần thun nam,Thời Trang Nam,Men Clothes,Men Clothes,Men Clothes
bạch ngọc liên,Sức Khỏe & Sắc Đẹp,Beauty,Beauty,Beauty
tóc layer,Phụ Kiện Thời Trang,Fashion Accessories,Fashion Accessories,Fashion Accessories
giày biti's,Giày Dép Nam,Men Shoes,Men Shoes,Baby & Kids Fashion
yamato one piece,Nhà Sách Online,Hobbies & Collections,Hobbies & Collections,Hobbies & Collections
reply 1988,Nhà Sách Online,Baby & Kids Fashion,Stationery,Home & Living
moxpad x3,Thiết Bị Điện Tử,Audio,Audio,Audio
hảibo,Bách Hoá Online,Food & Beverages,Food & Beverages,Food & Beverages
ipad mini 6,Điện Thoại & Phụ Kiện,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
trân châu 3q,Bách Hoá Online,Food & Beverages,Food & Beverages,Food & Beverages
sua nan nga,Mẹ & Bé,Mom & Baby,Mom & Baby,Mom & Baby
keo vuốt tóc nam,Sức Khỏe & Sắc Đẹp,Beauty,Beauty,Beauty
cosplay miku,Thời Trang Nữ,Women Clothes,Women Clothes,Men Clothes
máy xay hattiecs,Mẹ & Bé,,Mom & Baby,Mom & Baby
dầu gội,Sức Khỏe & Sắc Đẹp,,Beauty,Beauty
chiếu mây,Nhà Cửa & Đời Sống,Home & Living,Home & Living,Home & Living
nước hoa moschino,Sức Khỏe & Sắc Đẹp,Beauty,Beauty,Beauty
kính v,Phụ Kiện Thời Trang,Fashion Accessories,Fashion Accessories,Fashion Accessories
dou,Others,Beauty,Beauty,Beauty
zo3,Others,Men Clothes,Beauty,Beauty
tính,Others,Stationery,Stationery,Computers & Accessories
sạc type c,Điện Thoại & Phụ Kiện,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
máy đo đường huyết omron,Sức Khỏe & Sắc Đẹp,Health,Health,Health
collagen trắng da,,Health,Health,Beauty
đèn pin siêu sáng,Thể Thao & Du Lịch,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
sạc dự phòng anker,Điện Thoại & Phụ Kiện,,Mobile & Gadgets,Mobile & Gadgets
ohui,Sức Khỏe & Sắc Đẹp,Beauty,Beauty,Beauty
nhã nam,Nhà Sách Online,Books & Magazines,Books & Magazines,Books & Magazines
card wifi pc,Thiết Bị Điện Tử,Computers & Accessories,Computers & Accessories,Computers & Accessories
ps3,Thiết Bị Điện Tử,,Gaming & Consoles,Gaming & Consoles
point blank download,Others,,,
massage,Sức Khỏe & Sắc Đẹp,Health,Health,Health
redmi k30,Điện Thoại & Phụ Kiện,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
kính,Phụ Kiện Thời Trang,,Fashion Accessories,Fashion Accessories
vòng tay đôi,Phụ Kiện Thời Trang,,Fashion Accessories,Fashion Accessories
khẩu trang,Sức Khỏe & Sắc Đẹp,,Health,Health
n3m,Nhà Cửa & Đời Sống,,Home & Living,Home & Living
ananas giày,Thể Thao & Du Lịch,,Women Shoes,Men Shoes
đèn trang trí bàn làm việc,Nhà Cửa & Đời Sống,Home & Living,Home & Living,Home & Living
quạt hơi nước sunhouse,Thiết Bị Điện Gia Dụng,Home Appliances,Home Appliances,Home Appliances
sylimarin,Sức Khỏe & Sắc Đẹp,Health,Health,Health
bưu điên,Others,Mobile & Gadgets,Stationery,Stationery
ketquat,Others,Health,Beauty,Beauty
giay patin cho be,Thời Trang Trẻ Em,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
võng dù,Thể Thao & Du Lịch,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
muzan,Nhà Sách Online,Hobbies & Collections,Hobbies & Collections,Hobbies & Collections
giấy a4,Nhà Sách Online,Stationery,Stationery,Stationery
thuốc tăng vòng 1,Sức Khỏe & Sắc Đẹp,,Beauty,Beauty
chiếc bật lửa và váy công chúa,Nhà Cửa & Đời Sống,,Hobbies & Collections,Stationery
ếch meme,Mẹ & Bé,,Mom & Baby,Mom & Baby
thăng long mềm,Others,Sports & Outdoors,Food & Beverages,Sports & Outdoors
phim thiên cổ quyết trần,Nhà Sách Online,Books & Magazines,Books & Magazines,Books & Magazines
gay xx,Others,,,
lop hoc gia dinh,Nhà Sách Online,Books & Magazines,Books & Magazines,Books & Magazines
cap hay,,,,
kem chống nắng cho da dầu,Sức Khỏe & Sắc Đẹp,Beauty,Beauty,Beauty
kiêu hãnh và định kiến,Nhà Sách Online,Books & Magazines,Books & Magazines,Books & Magazines
fujitsu f02g,Điện Thoại & Phụ Kiện,Mobile & Gadgets,Computers & Accessories,Computers & Accessories
board game viet,Nhà Sách Online,,Hobbies & Collections,Hobbies & Collections
giường sắt,Nhà Cửa & Đời Sống,Home & Living,Home & Living,Home & Living
red tu be,Others,,,
david jones,Túi Ví,Women Bags,Women Bags,Men Bags
medicare,Sức Khỏe & Sắc Đẹp,Health,Beauty,Health
xe tra gop,Thể Thao & Du Lịch,Motorcycles,Home & Living,Home & Living
bình nước nóng lạnh,Thiết Bị Điện Gia Dụng,Home Appliances,Home Appliances,Home Appliances
oppo a53,Điện Thoại & Phụ Kiện,,Mobile & Gadgets,Mobile & Gadgets
quạt nước,Thiết Bị Điện Gia Dụng,,Home Appliances,Home Appliances
congnghenhat,Others,Women Clothes,Fashion Accessories,Fashion Accessories
mặt nạ nhau thai cừu,Sức Khỏe & Sắc Đẹp,Beauty,Beauty,Beauty
gấu bông among us,Mẹ & Bé,Mom & Baby,Mom & Baby,Baby & Kids Fashion
kem trị mụn decumar,Sức Khỏe & Sắc Đẹp,,Beauty,Beauty
tẩy trang simple,Sức Khỏe & Sắc Đẹp,,Beauty,Beauty
lọt khe,Thời Trang Nữ,Women Clothes,Women Clothes,Women Clothes
khaaur trang,Sức Khỏe & Sắc Đẹp,Health,Health,Health
nike blazer mid 77,Giày Dép Nam,,Men Shoes,Men Shoes
hở vú,Thời Trang Nữ,Women Clothes,Women Clothes,Women Clothes
máy sưởi,Thiết Bị Điện Gia Dụng,Home Appliances,Home Appliances,Pets
avisure,Mẹ & Bé,,Health,Mom & Baby
mbmart,Thời Trang Trẻ Em,,,
juino com,Giày Dép Nữ,,,
truyện kimetsu yaiba,Nhà Sách Online,Hobbies & Collections,Mom & Baby,Mom & Baby
cục kích sóng wifi,Máy tính & Laptop,Computers & Accessories,Computers & Accessories,Computers & Accessories
yuno,Thời Trang Nữ,,Women Clothes,Women Clothes
áo sơ mi đi biển,Thời Trang Nữ,Women Clothes,Women Clothes,Men Clothes
quầy thu ngân,Nhà Cửa & Đời Sống,,Home & Living,Home & Living
hinh xam,Phụ Kiện Thời Trang,Fashion Accessories,Fashion Accessories,Fashion Accessories
bình ủ sữa,Mẹ & Bé,Mom & Baby,Mom & Baby,Mom & Baby
xsmbt7,Others,,,
nha sach,Nhà Sách Online,Books & Magazines,Books & Magazines,Books & Magazines
lan hài,Nhà Cửa & Đời Sống,Home & Living,Home & Living,Home & Living
roblox pc,,Mom & Baby,Mom & Baby,Mom & Baby
bình giữ nhiệt,Nhà Cửa & Đời Sống,,Home & Living,Home & Living
balo laptop,Túi Ví,Men Bags,Men Bags,Men Bags
van phong pham,Nhà Sách Online,Stationery,Stationery,Stationery
may in 3d,Thiết Bị Điện Tử,Computers & Accessories,Computers & Accessories,Computers & Accessories
key avast,Máy tính & Laptop,Automobiles,Computers & Accessories,Computers & Accessories
quan ao tre em,Thời Trang Trẻ Em,Baby & Kids Fashion,Baby & Kids Fashion,Baby & Kids Fashion
android tivi box,Thiết Bị Điện Tử,Home Appliances,Home Appliances,Home Appliances
dđèn led,Nhà Cửa & Đời Sống,,Home & Living,Home & Living
máy massage cổ,Sức Khỏe & Sắc Đẹp,Health,Health,Health
tay đỡ màn hình,Máy tính & Laptop,Computers & Accessories,Computers & Accessories,Computers & Accessories
suối nguồn,Nhà Sách Online,Books & Magazines,Books & Magazines,Books & Magazines
bước chậm lại giữa thế gian vội vã,Nhà Sách Online,,Books & Magazines,Books & Magazines
tứ diệu đế,Nhà Sách Online,,Books & Magazines,Books & Magazines
