Keyword,Category,imp_level1_category_1d,pv_level1_category_1d,order_level1_category_1d
nikwax,Sports & Outdoors,Sports & Outdoors,Home & Living,Sports & Outdoors
vivo y19in,Mobile & Gadgets,,,
korean fried chicken delivery,Food & Beverages,,,
bluetooth microphone,Mobile & Gadgets,Audio,Audio,Audio
cyclist mess,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
li chun,Lifestyle,Home & Living,Home & Living,Home & Living
10.10singapore,Platform Terms (Lazada / Shopee),,,
soap dispenser automatic,Home & Living,Home & Living,Home & Living,Home & Living
vector robot,"Toys, Kids & Babies",Mom & Baby,Mom & Baby,Men Clothes
samyang sauce,Food & Beverages,Food & Beverages,Food & Beverages,Food & Beverages
thermometers,Health & Wellness,Health,Health,Health
imperial door,Home & Living,Home & Living,Home & Living,Home & Living
fridge stand,Home & Living,Home & Living,Home & Living,Home Appliances
digital door viewer,Home & Living,Home Appliances,Home Appliances,Baby & Kids Fashion
ssd m 2,Computers & Peripherals,Computers & Accessories,Computers & Accessories,Computers & Accessories
bab car seat,"Toys, Kids & Babies",Mom & Baby,Mom & Baby,Mom & Baby
ps5 controller,Video Games,Gaming & Consoles,Gaming & Consoles,Gaming & Consoles
cheapest dining chairs,Home & Living,,,
squishy toys,"Toys, Kids & Babies",Mom & Baby,Mom & Baby,Hobbies & Collections
tory burch bag,Women's Bags,Women Bags,Women Bags,Men Bags
tote bag coach,Women's Bags,Women Bags,Women Bags,Women Bags
iffalcon tv,Home Appliances,Home Appliances,Home Appliances,Home Appliances
zansan,Home & Living,Watches,Automobiles,Automobiles
titoni watch,Watches,Watches,Watches,Watches
starch easy on,Home & Living,Home & Living,Home & Living,Home & Living
shelf lining,Home & Living,Home & Living,Home & Living,Home & Living
muji blanket,Home & Living,Home & Living,Home & Living,Home & Living
nike pegasus,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
sintered stone dining table,Home & Living,Home & Living,Home & Living,Home & Living
glade air freshener,Home & Living,Home & Living,Home & Living,Home & Living
enfagrow stage 3,"Toys, Kids & Babies",Mom & Baby,Mom & Baby,Mom & Baby
itx cases,Computers & Peripherals,Computers & Accessories,Computers & Accessories,Computers & Accessories
jelly moulds,Home & Living,Home & Living,Home & Living,Home & Living
silicone sheet,Home & Living,Home & Living,Home & Living,Home & Living
mini toaster oven,Home Appliances,Home Appliances,Home Appliances,Home Appliances
shoes rack,,Home & Living,Home & Living,Home & Living
car sun shade,Automotive,Automobiles,Automobiles,Automobiles
christmas tree,Home & Living,Home & Living,Home & Living,Home & Living
n95 mask,Health & Wellness,Health,Health,Health
speedpost economy,Platform Terms (Lazada / Shopee),Hobbies & Collections,"Tickets, Vouchers & Services",Hobbies & Collections
goldlion,Men's Wear,Men Clothes,Men Clothes,Men Clothes
keds kate spade,Women's Shoes,Women Shoes,Women Shoes,Women Shoes
trolley cart,Home & Living,Home & Living,Home & Living,Home & Living
rosytime,Health & Wellness,Health,Health,Beauty
poker cards,Hobbies & Books,Hobbies & Collections,Hobbies & Collections,Home & Living
malties,Food & Beverages,Food & Beverages,Food & Beverages,Food & Beverages
swivel mount,Home Appliances,Sports & Outdoors,Cameras & Drones,Cameras & Drones
logitech mx keys,Computers & Peripherals,Computers & Accessories,Computers & Accessories,Travel & Luggage
ramen bowl,Home & Living,Home & Living,Home & Living,Home & Living
umbrella stand,Home & Living,Sports & Outdoors,Home & Living,Home & Living
trolli planet gummi,Food & Beverages,Food & Beverages,Food & Beverages,Food & Beverages
succulent succulents,Home & Living,Home & Living,Home & Living,Home & Living
perfume for men,Beauty & Personal Care,Beauty,Beauty,Beauty
sound bar,Home Appliances,Audio,Audio,Audio
urban fox tracking,Platform Terms (Lazada / Shopee),,,
loccitan,Beauty & Personal Care,Beauty,Beauty,Beauty
phone bike holder,Sports & Outdoors,Motorcycles,Motorcycles,Motorcycles
floor mattresses,Home & Living,Home & Living,Sports & Outdoors,Mom & Baby
bra sexy,Women's Apparel,Women Clothes,Women Clothes,Women Clothes
cycle gloves,Sports & Outdoors,Sports & Outdoors,Motorcycles,Motorcycles
facial brush,Beauty & Personal Care,Beauty,Beauty,Beauty
gss,Platform Terms (Lazada / Shopee),Health,Computers & Accessories,Computers & Accessories
kotex pantyliner,Beauty & Personal Care,Health,Health,Health
18650 lithium battery,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Computers & Accessories
royale chair,Home & Living,Home & Living,Hobbies & Collections,Health
lv bucket bag,Women's Bags,Women Bags,Women Bags,Women Bags
caramel monster,Beauty & Personal Care,Audio,Health,Health
argentina jersey,,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
redman,Food & Beverages,Food & Beverages,Food & Beverages,Food & Beverages
zoo ticket,"Dining, Travel & Services","Tickets, Vouchers & Services","Tickets, Vouchers & Services","Tickets, Vouchers & Services"
dr oatcare,Health & Wellness,Health,Food & Beverages,Food & Beverages
laptop stand,Computers & Peripherals,Computers & Accessories,Computers & Accessories,Computers & Accessories
jiji,Home & Living,Home & Living,Home & Living,Home & Living
deliveroocode,"Dining, Travel & Services",,,
kirona scent,Health & Wellness,Home & Living,Home & Living,Home & Living
automatic mahjong table,Hobbies & Books,Home & Living,Home & Living,Home & Living
bose soundsport free,Mobile & Gadgets,Audio,Gaming & Consoles,Gaming & Consoles
guess,Women's Apparel,Women Clothes,Watches,Women Bags
guo da li,Jewellery & Accessories,Home & Living,Home & Living,Hobbies & Collections
photo frame,Home & Living,Home & Living,Home & Living,Home & Living
3sixty,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
christmas tree,Home & Living,Home & Living,Home & Living,Home & Living
akira,Others,Men Clothes,Men Clothes,Women Bags
po eco fan,Home Appliances,Home Appliances,Home Appliances,Home Appliances
chromecast with google tv,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
ziplock bag,Home & Living,Home & Living,Home & Living,Home & Living
hdmi vga converter,Computers & Peripherals,Audio,Computers & Accessories,Computers & Accessories
webcam for pc,Computers & Peripherals,,Computers & Accessories,
parle,Food & Beverages,Food & Beverages,Food & Beverages,Food & Beverages
cushion covers,Home & Living,Home & Living,Home & Living,Home & Living
junior engineer,"Toys, Kids & Babies",Baby & Kids Fashion,Mom & Baby,Mom & Baby
high tea buffet2021,Lifestyle,,,
bathing towel,Home & Living,Home & Living,Home & Living,Home & Living
pet lovers,Pet Food & Supplies,Pets,Pets,Pets
baseus power bank,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
oral b electric toothbrush,Beauty & Personal Care,Health,Health,Health
anello bag,Women's Bags,Women Bags,Women Bags,Beauty
automatic mahjong table,Hobbies & Books,Home & Living,Home & Living,Home & Living
ergontune,Home & Living,Home & Living,Home & Living,Home & Living
l shaped desks,Home & Living,Home & Living,Home & Living,Home & Living
anti slip mat bathroom,Home & Living,Home & Living,Home & Living,Home & Living
water bottle bpa free,Sports & Outdoors,Home & Living,Home & Living,Home & Living
samsung galaxy a32,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
robotic mop,Home Appliances,Home Appliances,Home Appliances,Home Appliances
cucling gloves,Sports & Outdoors,,,
mattress cooling pad,Home & Living,Home & Living,Home & Living,Pets
bottle bottle,Food & Beverages,Home & Living,Home & Living,Health
mi tv 4s,Home Appliances,,Home Appliances,
cny home decoration ideas,Home & Living,,,
ceiling fan,Home Appliances,Home Appliances,Home Appliances,Home Appliances
tecware,Computers & Peripherals,Computers & Accessories,Computers & Accessories,Computers & Accessories
parnis,Watches,Watches,Watches,Watches
pencil case,Home & Living,Stationery,Stationery,Stationery
watsons taiwan,Beauty & Personal Care,Beauty,Beauty,Beauty
rubbish bin,Home & Living,Home & Living,Home & Living,Home & Living
seahorse bed,Home & Living,Home & Living,Home & Living,Home & Living
vivobee,Mobile & Gadgets,,,
engine oil,Automotive,Automobiles,Automobiles,Automobiles
derma roller,Beauty & Personal Care,Beauty,Beauty,Beauty
travel pillow,Travel & Luggage,Travel & Luggage,Travel & Luggage,Travel & Luggage
