size,width,height
303,800,800
156,1024,1024
116,1024,1024
119,1000,1000
150,800,800
468,1024,1024
143,800,800
84,800,800
180,1024,1024
291,800,800
365,1024,1024
151,977,977
189,800,800
86,800,800
192,1000,1000
129,1001,1001
119,800,800
266,800,800
42,1024,1024
79,600,600
52,800,800
102,1000,1000
152,758,758
167,1024,1024
106,800,800
138,800,800
103,750,750
146,800,800
116,800,800
222,1024,1024
353,800,800
44,640,640
172,800,800
199,1000,1000
70,800,800
198,800,800
97,800,800
286,1024,1024
164,1024,1024
1221,1024,1024
84,800,800
226,1024,1024
277,800,800
661,1024,1024
178,1024,1024
277,1000,1000
327,800,800
181,1000,1000
140,774,774
331,1024,1024
129,1001,1001
255,800,800
118,1000,1000
148,800,800
151,1000,1000
553,1024,1024
70,1000,1000
112,1024,1024
192,800,800
110,1024,1024
921,1024,1024
39,400,400
156,1024,1024
380,800,800
120,800,800
173,1024,1024
154,1000,1000
146,800,800
272,1024,1024
265,1024,1024
86,800,800
118,1024,1024
53,555,555
263,800,800
285,1024,1024
190,800,800
221,1024,1024
42,406,406
390,1024,1024
39,580,580
433,800,800
189,800,800
70,825,825
239,800,800
158,900,900
195,1024,1024
564,800,800
50,756,756
78,750,750
55,400,400
636,1000,1000
59,800,800
196,1024,1024
107,800,800
89,800,800
267,800,800
102,600,600
57,804,804
97,800,800
182,810,810
418,1024,1024
375,1024,1024
422,1000,1000
96,800,800
109,1000,1000
69,751,751
173,800,800
20,400,400
797,1500,1500
214,1024,1024
80,640,640
232,800,800
275,1024,1024
175,800,800
163,1000,1000
136,800,800
112,720,720
134,1024,1024
351,1000,1000
155,800,800
40,400,400
78,500,500
789,974,974
440,1024,1024
177,1024,1024
174,1024,1024
74,600,600
139,1024,1024
195,1024,1024
57,800,800
445,800,800
356,800,800
73,650,650
467,1000,1000
458,1000,1000
171,1024,1024
83,520,520
250,800,800
101,1000,1000
161,621,621
85,640,640
198,800,800
122,750,750
53,600,600
396,1000,1000
87,800,800
201,800,800
187,878,878
371,800,800
109,1000,1000
173,800,800
133,599,599
236,800,800
81,520,520
129,1001,1001
243,1000,1000
405,1024,1024
60,309,311
187,1000,1000
530,1024,1024
136,800,800
258,1024,1024
63,1024,1024
248,800,800
96,500,500
173,800,800
56,800,800
95,500,500
87,760,760
86,1024,1024
318,800,800
88,800,800
66,800,800
210,800,800
135,800,800
197,770,770
105,800,800
148,1024,1024
198,800,800
82,800,800
174,761,761
488,800,800
52,800,800
96,800,800
279,945,945
244,1024,1024
155,1024,1024
105,721,721
134,1024,1024
168,745,745
47,1024,1024
208,800,800
564,1000,1000
169,1024,1024
107,800,800
337,1024,1024
34,800,800
431,800,800
153,1000,1000
175,1024,1024
343,800,800
75,1024,1024
158,800,800
342,800,800
52,491,491
260,800,800
47,1024,1024
150,1024,1024
135,1024,1024
1142,1024,1024
135,1024,1024
221,800,800
100,1024,1024
178,800,800
84,800,800
185,800,800
171,1024,1024
114,1024,1024
55,710,710
70,1024,1024
242,1024,1024
286,1024,1024
150,800,800
54,518,518
155,1024,1024
265,1024,1024
425,1024,1024
105,1024,1024
324,1024,1024
183,800,800
55,800,800
188,1000,1000
439,1024,1024
36,395,395
49,990,990
583,800,800
194,1000,1000
232,1024,1024
117,800,800
497,800,800
559,1000,1000
196,800,800
187,800,800
52,790,790
255,850,850
125,800,800
182,800,800
87,800,800
120,800,800
122,1024,1024
314,800,800
174,1001,1001
778,1024,1024
991,1024,1024
23,400,400
385,800,800
239,1024,1024
164,800,800
176,1024,1024
245,1000,1000
97,1000,811
100,800,800
197,1000,1000
322,1001,1001
134,1024,1024
118,800,800
374,800,800
228,1000,1000
119,800,800
138,800,800
304,1024,1024
347,800,800
89,640,640
90,800,800
236,800,800
220,800,800
181,1000,1000
246,1000,1000
116,800,800
80,1024,1024
650,1024,1024
309,800,800
337,800,800
137,800,800
116,1024,1024
71,800,800
206,1000,1000
121,1001,1001
180,800,800
64,800,800
327,800,800
83,800,800
332,1001,1001
663,1024,1024
427,800,800
324,800,800
157,800,800
183,800,800
393,800,800
55,796,796
49,750,750
137,762,762
342,1024,1024
211,500,500
110,1024,1024
114,800,800
219,800,800
535,800,800
63,700,700
388,800,800
427,1024,1024
751,1024,1024
428,1000,1000
843,1024,1024
163,1024,1024
114,800,800
156,790,790
126,1001,1001
809,1024,1024
159,800,800
17,317,317
223,800,800
492,800,800
200,1000,1000
210,1000,1000
315,800,800
132,750,750
215,800,800
152,802,802
94,1024,1024
181,1024,1024
137,1000,1000
147,1024,1024
332,800,800
151,800,800
175,790,790
152,864,864
113,800,800
281,1000,1000
155,1001,1001
340,800,800
1080,1000,1000
254,1024,1024
82,600,600
123,800,800
61,1024,1024
110,800,800
257,800,800
34,600,600
491,1024,1024
286,940,940
128,800,800
806,1024,1024
223,800,800
166,640,640
145,883,883
404,1001,1001
174,1000,1000
232,1024,1024
224,800,800
478,1024,1024
58,800,800
108,800,800
11,314,314
459,1024,1024
339,800,800
141,1024,1024
652,1024,1024
118,1024,1024
243,800,800
281,800,800
377,1024,1024
465,800,800
244,1001,1001
153,800,800
85,1024,1024
236,1000,1000
142,1024,1024
315,1005,1005
407,1024,1024
108,800,800
77,320,320
212,1024,1024
305,1024,1024
112,800,800
24,400,400
62,1000,1000
198,800,800
254,600,600
189,800,800
166,1024,1024
145,742,742
209,1024,1024
649,1024,1024
10,320,320
414,983,983
69,800,800
980,1024,1024
179,800,800
115,800,800
79,800,800
394,800,800
98,800,800
587,800,800
208,750,750
89,800,800
161,580,580
24,553,553
58,400,400
224,1024,1024
147,800,800
143,750,750
109,752,752
277,800,800
238,1024,1024
198,1024,1024
705,1024,1024
98,800,800
335,600,600
188,1024,1024
133,800,800
212,581,581
150,1024,1024
350,1024,1024
64,702,702
366,960,960
145,1024,1024
294,1024,1024
174,1001,1001
379,800,800
203,1000,1000
554,800,800
74,538,538
165,1024,1024
194,1000,1000
53,684,684
650,1010,1010
114,800,800
227,836,836
79,750,750
77,800,800
120,808,808
309,664,664
142,800,800
375,860,860
462,1024,1024
235,864,864
494,1000,1000
154,1024,1024
116,1000,1000
55,800,800
132,800,800
195,986,986
114,800,800
85,672,672
836,800,800
86,600,600
46,400,400
357,800,800
891,1024,1024
293,800,800
110,800,800
421,750,750
261,800,800
355,800,800
210,800,800
347,633,633
230,800,800
222,800,800
344,800,800
263,1000,1000
135,800,800
277,800,800
235,800,800
321,1024,1024
446,800,800
324,800,800
814,1000,1000
756,800,800
212,1000,1000
102,1024,1024
362,800,800
75,800,800
493,896,896
160,800,800
122,1024,1024
142,1024,1024
250,800,800
430,1000,1000
171,800,800
290,1024,1024
227,800,800
138,525,525
155,813,813
91,1000,1000
307,752,752
368,800,800
46,800,800
312,800,800
157,800,800
141,1024,1024
29,880,880
338,1024,1024
586,1024,1024
83,1000,1000
237,500,500
486,1024,1024
234,1024,1024
45,1000,1000
127,800,800
439,800,800
532,1024,1024
92,800,800
250,1000,1000
112,1000,1000
509,750,750
211,800,800
53,476,476
145,1000,1000
62,800,800
296,1024,1024
344,822,822
39,703,703
69,600,600
218,1024,1024
253,1024,1024
69,761,761
260,800,800
88,800,800
225,800,800
383,800,800
193,800,800
127,800,800
158,800,800
170,750,750
347,1024,1024
288,1001,1001
85,750,750
37,800,800
199,800,800
198,1001,1001
131,1000,1000
130,1024,1024
117,800,800
284,999,999
138,1024,1024
385,1024,1024
271,1000,1000
134,1000,1000
157,800,800
344,850,850
197,1024,1024
126,800,800
139,800,800
195,1024,1024
102,800,800
576,940,940
441,800,800
38,720,720
156,800,800
278,800,800
404,1000,1000
28,640,640
112,1024,1024
213,800,800
155,1024,1024
654,1024,1024
208,800,800
117,800,800
67,600,600
27,800,800
71,640,640
250,1024,1024
135,1024,1024
330,800,800
281,1000,1000
108,800,800
268,800,800
253,800,800
309,800,800
159,800,800
392,800,800
34,418,418
548,1000,1000
148,800,800
489,800,800
260,1024,1024
241,1024,1024
134,800,800
140,800,800
96,1000,1000
109,790,790
125,800,800
98,800,800
290,1024,1024
265,800,800
103,756,756
359,1000,1000
207,800,800
143,800,800
499,1024,1024
231,800,800
43,800,800
669,800,800
366,800,800
81,800,800
51,1024,1024
325,894,894
130,1024,1024
253,800,800
229,800,800
248,800,800
111,880,880
485,1000,1000
348,800,800
415,800,800
223,800,800
783,1024,1024
174,1024,1024
79,960,960
776,800,800
113,1020,1020
267,800,800
243,800,800
498,758,758
136,800,800
342,1024,1024
72,800,800
135,1024,1024
275,800,800
285,1024,1024
94,800,800
47,800,800
514,1000,1000
273,800,800
116,640,640
329,1024,1024
477,1024,1024
267,1024,1024
121,1024,1024
93,800,800
233,960,960
97,543,543
137,800,800
150,750,750
160,640,640
318,1024,1024
630,1000,1000
266,800,800
529,800,800
231,800,800
37,500,500
166,800,800
329,800,800
114,1024,1024
273,1000,1000
166,800,800
231,790,790
264,1024,1024
394,800,800
228,800,800
113,800,800
59,800,800
93,800,800
86,1024,1024
64,590,590
175,780,780
555,1024,1024
537,1024,1024
442,800,800
545,800,800
247,1001,1001
60,500,500
47,800,800
158,800,800
396,800,800
164,757,757
59,800,800
302,800,800
83,580,580
128,1001,1001
179,800,800
106,800,800
116,750,750
334,800,800
86,800,800
161,1000,1000
389,1024,1024
368,1000,1000
75,912,912
38,500,500
143,800,800
175,600,600
33,1000,1000
332,800,800
56,568,568
261,920,920
177,1024,1024
179,569,569
160,1000,1000
461,800,800
65,1024,1024
380,1024,1024
166,750,750
204,800,800
178,800,800
45,800,800
35,400,400
103,750,750
248,750,750
249,1024,1024
54,800,800
195,880,880
178,849,849
370,800,800
264,1024,1024
118,600,600
120,800,800
918,1024,1024
202,1000,1000
499,793,793
243,1000,1000
108,800,800
168,800,800
135,1000,1000
151,800,800
245,800,800
415,851,851
329,800,800
260,1024,1024
142,800,800
121,1005,1005
204,800,800
339,1024,1024
247,1024,1024
128,430,430
211,800,800
308,800,800
154,820,820
165,1024,1024
185,1024,1024
253,800,800
278,800,800
359,1000,1000
154,1024,1024
149,1024,1024
154,800,800
154,1000,1000
201,640,640
88,1024,1024
165,800,800
272,800,800
77,500,500
120,1024,1024
54,500,500
37,600,600
110,500,500
312,800,800
55,643,643
226,800,800
178,850,850
117,519,519
128,1000,1000
328,1024,1024
89,1000,1000
86,1024,1024
78,1000,1000
186,800,800
89,1000,1000
169,800,800
194,1001,1001
107,567,567
210,800,800
387,1000,1000
33,497,497
332,1024,1024
191,900,900
149,800,800
187,1001,1001
242,800,800
89,1000,1000
248,800,800
198,860,860
201,800,800
216,800,800
120,1024,1024
54,800,800
137,800,800
293,1024,1024
162,800,800
117,800,800
422,1000,1000
258,800,800
120,800,800
263,800,800
716,1024,1024
149,621,621
77,800,800
91,1000,1000
573,1000,1000
279,800,800
465,1000,1000
237,800,800
34,500,500
173,800,800
74,540,540
1174,1024,1024
364,1024,1024
261,800,800
110,1024,1024
123,1000,1000
123,1024,1024
317,1024,1024
169,800,800
1432,1000,1000
281,1024,1024
175,800,800
195,800,800
284,800,800
210,800,800
192,1024,1024
311,900,900
781,1024,1024
264,1000,1000
166,800,800
473,800,800
522,1024,1024
358,851,851
149,800,800
346,1000,1000
221,800,800
250,800,800
127,800,800
170,800,800
124,640,640
191,1000,1000
164,800,800
423,800,800
132,800,800
504,800,800
599,1024,1024
109,1024,1024
1065,800,800
83,1024,1024
73,800,800
114,1024,1024
109,1024,1024
239,1024,1024
190,800,800
113,600,600
159,1024,1024
464,800,800
292,800,800
227,1024,1024
16,320,320
500,1000,1000
609,800,800
169,1024,1024
307,800,800
103,800,800
163,800,800
341,800,800
166,800,800
493,1000,1000
118,987,987
547,800,800
221,800,800
114,800,800
150,800,800
106,800,800
128,733,733
97,992,992
60,817,817
171,800,800
774,1000,1000
130,1024,1024
116,800,800
218,1024,1024
172,1024,1024
134,720,720
54,800,800
382,800,800
358,800,800
129,800,800
101,800,800
201,1000,1000
270,960,960
157,750,750
227,800,800
223,800,800
546,1000,1000
734,1024,1024
411,1024,1024
295,1000,1000
176,800,800
270,1024,1024
184,1000,1000
249,1024,1024
40,800,800
235,800,800
434,800,800
153,800,800
169,800,800
47,500,500
187,1024,1024
187,800,800
291,800,800
49,800,620
232,1024,1024
128,800,800
153,800,800
153,1024,1024
134,800,800
116,640,640
123,1000,1000
340,1000,1000
132,1001,1001
312,1024,1024
103,800,800
238,800,800
235,1024,1024
152,1024,1024
65,800,800
787,1024,1024
339,800,800
237,969,969
243,1000,1000
614,1001,1001
205,800,800
146,1024,1024
203,800,800
110,800,800
173,800,800
184,800,800
633,1000,1000
66,800,800
241,800,800
274,800,800
283,940,940
34,480,480
25,320,320
186,709,709
235,800,800
282,800,800
475,1024,1024
479,800,800
159,800,800
443,800,800
458,800,800
185,800,800
188,800,800
74,1024,1024
88,800,800
379,800,800
263,800,800
210,1024,1024
221,800,800
120,1000,1000
129,800,800
56,800,800
254,1000,1000
102,1024,1024
121,800,800
158,1024,1024
182,1024,1024
282,800,800
330,1024,1024
711,1024,1024
247,800,800
35,800,800
158,1001,1001
144,1000,1000
612,1000,1000
104,800,800
429,1024,1024
128,916,916
172,800,800
231,800,800
96,800,800
236,800,800
416,1001,1001
271,1024,1024
163,800,800
53,1024,1024
80,1024,1024
189,1024,1024
1886,3024,3024
67,500,500
39,800,800
252,1024,1024
233,1024,1024
70,640,640
280,800,800
678,1024,1024
181,1000,1000
62,1000,1000
202,800,800
148,902,902
43,640,640
204,1024,1024
285,800,800
99,800,800
47,640,640
545,686,686
244,1000,1000
45,800,800
225,1000,1000
294,800,800
106,756,756
341,1001,1001
190,750,750
104,1000,1000
67,719,719
520,1000,1000
120,800,800
140,800,800
65,472,472
105,320,320
449,1024,1024
619,800,800
209,800,800
74,800,800
136,800,800
26,279,279
185,800,800
252,1024,1024
283,750,800
292,700,700
117,800,800
87,800,800
60,500,500
569,1024,1024
187,768,768
120,500,500
452,1024,1024
120,724,724
249,800,800
202,800,800
176,800,800
133,800,800
207,800,800
175,800,800
161,1000,1000
130,800,800
357,1024,1024
234,800,800
578,1024,1024
62,800,800
57,465,465
275,800,800
214,1024,1024
250,1000,1000
616,1024,1024
117,800,800
106,1024,1024
46,1024,1024
182,800,800
36,500,500
187,640,640
344,800,800
328,1024,1024
47,800,800
42,799,799
104,592,592
193,1024,1024
614,1000,1000
52,800,800
133,1024,1024
356,1024,1024
585,800,800
149,800,800
188,1024,1024
105,800,800
208,800,800
96,888,888
122,800,800
174,800,800
77,640,640
113,800,800
197,1001,1001
265,800,800
136,800,800
468,800,800
289,846,846
251,800,800
103,800,800
249,800,800
120,790,790
224,800,800
628,1024,1024
211,1024,1024
59,607,607
103,1024,1024
488,1000,1000
147,800,800
135,800,800
450,1024,1024
134,1024,1024
432,800,800
128,800,800
150,800,800
78,800,800
1058,1024,1024
407,800,800
274,1024,1024
204,1024,1024
262,800,800
173,1024,1024
515,793,793
338,1024,1024
122,1024,1024
106,800,800
46,700,700
39,400,400
159,800,800
296,1024,1024
644,1024,1024
343,800,800
105,1024,1024
338,1000,1000
50,480,480
230,1001,1001
132,1024,1024
431,800,800
651,1024,1024
230,800,800
72,1024,1024
385,800,800
266,1024,1024
69,600,600
168,1024,1024
332,1000,1000
115,800,800
657,1024,1024
138,1024,1024
101,800,800
195,536,536
266,800,800
271,1024,1024
145,790,790
92,600,600
110,800,800
135,1000,1000
58,800,800
99,800,800
46,500,500
206,800,800
307,1000,1000
61,596,596
254,1024,1024
164,1024,1024
132,800,800
144,800,800
157,1024,1024
168,1024,1024
205,790,790
525,1024,1024
220,800,800
102,800,800
82,640,640
49,800,800
97,800,800
72,660,660
243,800,800
50,640,640
48,800,800
185,800,800
290,800,800
118,1024,1024
226,1000,1000
188,956,956
225,1000,1000
201,1024,1024
283,1000,1000
146,640,640
562,1024,1024
93,1000,1000
342,1024,1024
368,900,900
296,1024,1024
31,525,525
210,1001,1001
113,800,800
111,1024,1024
381,1024,1024
247,1024,1024
74,720,720
1641,3024,3024
100,1001,1001
484,800,800
255,800,800
813,852,852
409,800,800
81,920,920
169,640,640
46,800,800
202,1000,1000
140,800,800
118,717,717
111,800,800
258,1024,1024
50,700,700
176,800,800
168,750,750
257,1001,1001
272,1024,1024
282,1024,1024
610,1024,1024
456,800,800
113,800,800
35,307,307
135,720,720
577,1024,1024
916,1024,1024
135,719,719
93,720,720
193,1024,1024
131,800,800
174,1024,1024
520,1000,1000
156,800,800
557,800,800
236,1024,1024
103,800,800
159,582,582
242,800,800
173,1000,1000
612,800,800
211,800,800
373,800,800
136,1024,1024
83,800,800
419,800,800
202,800,800
68,1000,1000
37,700,700
31,640,640
154,800,800
80,800,800
52,1024,1024
365,800,800
427,600,600
85,810,810
290,1000,1000
48,1024,1024
117,800,800
313,800,800
83,880,880
110,800,800
425,1024,1024
197,800,800
774,1024,1024
905,1024,1024
93,800,800
313,1000,1000
300,1000,1000
49,800,800
220,800,800
273,800,800
77,1024,1024
1189,1024,1024
208,900,900
251,800,800
97,700,700
220,1024,1024
132,1024,1024
238,1024,1024
333,1024,1024
80,800,800
171,800,800
279,800,800
167,800,800
233,1024,1024
101,800,800
317,800,800
203,750,750
66,570,570
155,799,799
189,1000,1000
208,843,843
453,1024,1024
159,1024,1024
128,1024,1024
158,800,800
57,800,800
263,750,750
820,800,800
155,1024,1024
134,800,800
330,800,800
129,784,784
51,640,640
747,1024,1024
135,1024,1024
99,1024,1024
226,800,800
90,800,800
503,800,800
234,800,800
141,800,800
156,800,800
161,600,600
196,800,800
118,1001,1001
313,500,500
94,500,500
58,500,500
140,850,850
133,800,800
695,1024,1024
296,800,800
117,640,640
82,800,800
1055,1024,1024
318,800,800
188,1024,1024
177,800,800
116,800,800
49,653,653
203,800,800
397,1024,1024
260,681,681
281,1024,1024
126,600,600
345,1024,1024
271,769,769
135,800,800
160,600,600
75,1024,1024
185,800,800
58,500,500
278,800,800
520,1000,1000
85,624,624
240,1000,1000
69,1000,1000
92,778,778
167,697,697
43,430,430
83,800,800
36,500,500
170,800,800
84,744,744
319,800,800
99,885,885
316,800,800
910,800,800
136,1024,1024
177,800,800
113,800,800
329,1000,1000
29,800,800
138,1024,1024
159,800,800
214,800,800
253,800,800
302,800,800
47,1024,1024
162,1000,1000
458,800,800
437,800,800
145,1000,1000
258,1024,1024
142,750,750
92,497,497
145,950,950
152,1024,1024
688,1024,1024
60,500,500
112,1018,1018
278,880,880
104,800,800
327,750,750
265,800,800
223,1000,1000
85,624,624
731,1000,1000
520,1000,1000
247,800,800
45,715,715
66,800,800
781,788,788
194,800,800
123,800,800
517,800,800
458,1024,1024
199,850,850
28,300,300
100,800,800
52,800,800
444,800,800
184,1024,1024
161,1024,1024
125,800,800
163,1000,1000
48,800,800
317,1000,1000
155,800,800
196,1024,1024
199,800,800
443,1024,1024
252,1024,1024
421,1000,1000
242,800,800
196,800,800
101,1000,1000
258,1024,1024
207,1000,1000
163,800,800
238,614,614
143,800,800
232,800,800
112,1000,1000
234,1024,1024
272,800,800
156,1024,1024
229,710,710
100,611,611
118,1024,1024
100,800,800
18,320,320
27,1000,1000
419,800,800
450,800,800
96,1024,1024
118,800,800
272,739,739
207,1024,1024
215,550,550
356,1024,1024
74,1000,1000
92,1024,1024
51,1001,1001
555,734,734
296,750,750
326,1024,1024
353,1024,1024
127,1024,1024
631,800,800
160,692,692
153,1000,1000
199,800,800
114,378,378
363,800,800
98,1024,1024
209,800,800
337,960,960
172,1024,1024
27,500,500
715,1024,1024
335,802,802
418,1024,1024
435,1024,1024
233,1024,1024
166,800,800
185,800,800
425,919,873
218,1000,1000
209,1000,1000
186,800,800
238,800,800
197,930,930
120,932,932
97,800,800
15,280,280
115,892,892
508,727,727
192,1024,1024
234,1000,1000
226,1024,1024
145,1024,1024
177,1024,1024
156,600,600
302,800,800
143,800,800
294,1000,1000
114,800,800
81,1000,1000
323,800,800
282,1024,1024
75,800,800
169,800,800
114,688,688
42,454,454
177,1024,1024
147,1024,1024
21,440,500
546,800,800
193,800,800
50,450,450
204,1024,1024
368,1024,1024
226,1024,1024
294,1024,1024
215,827,827
160,800,800
177,800,800
79,1000,1000
202,1020,1020
206,1000,1000
58,800,800
82,1024,1024
97,1000,1000
200,1024,1024
673,800,800
622,1000,1000
216,800,800
58,800,800
128,626,626
128,800,800
336,1024,1024
504,1000,1000
227,800,800
159,800,800
273,1000,1000
207,800,800
32,500,500
173,1024,1024
182,800,800
775,800,800
198,800,800
222,800,800
18,320,320
176,1000,1000
129,800,800
129,800,800
251,1024,1024
315,800,800
242,800,800
851,1024,1024
294,800,800
119,1024,1024
196,1024,1024
213,800,800
286,1000,1000
850,1024,1024
333,1000,1000
82,592,592
285,1020,1020
103,800,800
92,800,800
339,1001,1001
170,800,800
273,1024,1024
130,800,800
113,852,852
63,1000,1000
66,1000,1000
339,800,800
175,750,750
131,850,850
175,750,750
143,800,800
448,1024,1024
424,1024,1024
200,1024,1024
259,800,800
248,800,800
218,1024,1024
222,999,999
160,800,800
49,800,800
108,800,800
315,800,800
378,1024,1024
576,800,800
146,800,800
195,800,800
126,945,945
72,663,663
85,1024,1024
388,800,800
331,800,800
100,785,1024
452,800,800
463,1000,1000
99,800,800
201,1000,1000
729,1024,1024
68,698,698
141,800,800
177,800,800
107,600,600
46,500,500
173,1024,1024
107,800,800
60,425,425
121,800,800
102,1024,1024
399,800,800
231,800,800
201,800,800
273,1000,1000
66,800,800
105,821,821
145,800,800
169,800,800
125,1024,1024
593,800,800
168,800,800
197,1024,1024
217,800,800
399,621,621
78,800,800
34,477,477
43,504,504
139,800,800
197,592,592
142,934,934
145,800,800
354,1001,1001
405,1024,1024
88,1024,1024
165,1024,1024
5,152,152
152,800,800
254,1000,1000
89,800,800
305,1024,1024
127,800,800
290,800,800
78,1001,1001
152,1024,1024
28,480,480
57,356,356
369,1024,1024
215,896,896
96,800,800
299,686,686
347,1024,1024
247,800,800
284,1024,1024
109,1024,1024
192,942,942
149,1000,1000
462,800,800
151,798,798
468,800,800
113,800,800
438,800,800
180,800,800
630,800,800
317,1000,1000
66,799,799
334,800,800
139,800,800
64,600,600
226,1024,1024
314,1000,1000
133,800,800
130,1024,1024
76,1000,1000
605,1024,1024
182,800,800
172,800,800
195,1000,1000
182,800,800
1045,1000,1000
92,800,800
260,1024,1024
192,800,800
144,1024,1024
594,1024,1024
145,960,960
361,1024,1024
260,800,800
85,1024,1024
191,1024,1024
28,640,640
258,1024,1024
177,1000,1000
238,800,800
191,1024,1024
37,638,638
125,800,800
146,900,900
268,1001,1001
229,1024,1024
306,800,800
100,800,800
126,558,558
338,1000,1000
206,1024,1024
84,792,792
78,1000,1000
312,800,800
252,888,888
100,700,700
86,730,730
526,1024,1024
560,1024,1024
342,800,800
202,800,800
131,997,997
165,752,752
30,600,600
181,635,635
150,800,800
23,424,424
119,527,527
123,800,800
31,320,320
676,1000,1000
201,1000,1000
106,600,600
72,500,500
115,1000,1000
387,1024,1024
194,1000,1000
115,800,800
162,800,800
59,1000,1000
103,600,600
133,1000,1000
64,800,800
102,716,716
188,1024,1024
88,621,621
191,800,800
159,627,627
31,700,700
310,1000,1000
210,1024,1024
112,800,800
240,1000,1000
114,1000,1000
125,1000,1000
289,1024,1024
109,700,700
647,1000,1000
300,800,800
125,800,800
117,1000,1000
172,756,756
275,1024,1024
151,996,996
669,1000,1000
36,640,640
321,1024,1024
283,1000,1000
173,1024,1024
336,1000,1000
108,665,665
75,1024,1024
109,534,534
335,1024,1024
134,800,800
261,1024,1024
345,800,800
229,1001,1001
165,1000,1000
271,1024,1024
102,800,800
600,800,800
154,1000,1000
395,800,800
38,540,540
565,1024,1024
86,800,800
292,500,500
116,820,820
371,1024,1024
140,800,800
143,800,800
255,1024,1024
185,800,800
488,800,800
290,750,750
63,512,512
89,960,960
509,1024,1024
633,1024,1024
223,1024,1024
132,313,313
174,1000,1000
262,590,590
339,800,800
318,1000,1000
134,1024,1024
201,1024,1024
304,800,800
92,1024,1024
376,1000,1000
824,800,800
47,800,800
287,800,800
234,1020,1020
58,610,610
146,800,800
271,1024,1024
149,800,800
162,800,800
39,800,800
302,800,800
76,786,786
362,688,688
85,800,800
662,1024,1024
406,800,800
849,1000,1000
141,744,744
257,1024,1024
119,800,800
149,800,800
266,800,800
131,1024,1024
166,950,950
366,1024,1024
336,1024,1024
62,700,700
106,800,800
332,1000,1000
172,763,763
320,800,800
159,1024,1024
414,800,800
170,1024,1024
101,550,550
185,800,800
118,800,800
205,800,800
200,1024,1024
195,800,800
200,800,800
279,800,800
96,850,850
458,800,800
101,1000,1000
109,1000,1000
317,1024,1024
474,800,800
66,540,540
514,1024,1024
200,800,800
40,378,378
111,750,750
157,800,800
164,800,800
93,468,468
247,1024,1024
509,1000,1000
491,800,800
174,800,800
254,1024,1024
200,800,800
119,800,800
201,760,760
142,800,800
114,800,800
142,800,800
