"keyword","category","imp_level1_category_1d","pv_level1_category_1d","order_level1_category_1d"
"cbr250rr","汽機車零件百貨","Motors","Motors","Motors"
"東方美","美妝保健",,"Health & Beauty",
"水產行","美食、伴手禮",,"Food & Beverages",
"小米音箱","家電影音","Home Electronic","Home Electronic","Mobile & Gadgets"
"緊縛","其他類別","Everything Else","Everything Else",
"loewe 香水","美妝保健","Health & Beauty","Health & Beauty","Health & Beauty"
"鑄鐵平底鍋","居家生活","Home & Living","Home & Living",
"new balance 327","戶外與運動用品","Women Shoes","Women Shoes","Women Shoes"
"寵物","寵物","Pets","Pets","Pets"
"襯衫","男生衣著","Women's Apparel","Women's Apparel","Men's Apparel"
"kobe球鞋","戶外與運動用品","Sports & Outdoors","Sports & Outdoors",
"earth music & ecology","女生衣著","Women's Apparel","Women's Apparel",
"new balance530","戶外與運動用品","Women Shoes","Women Shoes",
"男 內褲","男生衣著","Men's Apparel","Men's Apparel","Men's Apparel"
"手機分期","手機平板與周邊","Mobile & Gadgets","Mobile & Gadgets",
"wow 餅乾","美食、伴手禮","Food & Beverages","Health & Beauty",
"new balance 327","戶外與運動用品","Women Shoes","Women Shoes","Women Shoes"
"高島按摩椅","戶外與運動用品","Home Electronic","Home Electronic",
"hunter","戶外與運動用品","Women Shoes","Women Shoes","Women Shoes"
"男 內褲","男生衣著","Men's Apparel","Men's Apparel","Men's Apparel"
"new balance 327","戶外與運動用品","Women Shoes","Women Shoes","Women Shoes"
"寵物","寵物","Pets","Pets","Pets"
"兒童 雨衣","戶外與運動用品","Sports & Outdoors","Sports & Outdoors","Sports & Outdoors"
"lunar client","Others","Gaming & Consoles","Gaming & Consoles","Gaming & Consoles"
"機車舊換新","Others","Motors",,
"迴轉缸","居家生活","Home & Living","Everything Else",
"lg吸塵器","家電影音","Home Electronic","Home Electronic",
"garmin venu sq","手機平板與周邊","Mobile & Gadgets","Mobile & Gadgets",
"三星s20","手機平板與周邊","Mobile & Gadgets","Mobile & Gadgets",
"omega 3","美妝保健","Health & Beauty","Health & Beauty",
"garmin venu sq","手機平板與周邊","Mobile & Gadgets","Mobile & Gadgets",
"13","手機平板與周邊","Sports & Outdoors","Mobile & Gadgets",
"肉棒","其他類別","Everything Else","Everything Else","Everything Else"
"培根","美食、伴手禮","Food & Beverages","Food & Beverages",
"母親 節 禮物","Others",,,
"氧氣 瓶","戶外與運動用品","Sports & Outdoors","Home & Living",
"ontact","娛樂、收藏",,"Life & Entertainment",
"壽全齋","美食、伴手禮","Food & Beverages","Food & Beverages",
"統一 獅","娛樂、收藏","Life & Entertainment","Sports & Outdoors",
"ritter sport 巧克力","美食、伴手禮","Food & Beverages",,
"氧氣 瓶","戶外與運動用品","Sports & Outdoors","Home & Living",
"冷氣 清洗","Others","Home & Living","Home & Living",
"tod's","女生包包/精品","Women Shoes","Men Shoes","Women Shoes"
"13","手機平板與周邊","Sports & Outdoors","Mobile & Gadgets",
"無線 耳機","手機平板與周邊","Mobile & Gadgets","Mobile & Gadgets","Mobile & Gadgets"
"琺瑯 鍋","居家生活","Home & Living",,
"火龙 果","美食、伴手禮",,,
"無線 耳機","手機平板與周邊","Mobile & Gadgets","Mobile & Gadgets","Mobile & Gadgets"
"note20 ultra","手機平板與周邊","Mobile & Gadgets","Mobile & Gadgets",
"13","手機平板與周邊","Sports & Outdoors","Mobile & Gadgets",
"臭 豆腐","美食、伴手禮","Food & Beverages","Books & Magazines","Books & Magazines"
"魔芋 爽","美食、伴手禮","Food & Beverages","Food & Beverages",
"木 棉花","娛樂、收藏",,"Life & Entertainment",
"塑膠 袋","居家生活","Home & Living","Home & Living",
"寵物 公園","寵物","Pets","Pets","Pets"
"鮑魚罐頭","美食、伴手禮","Food & Beverages","Food & Beverages",
"水手 服","娛樂、收藏","Women's Apparel",,
"腐 漫畫","書籍及文創商品","Books",,
"智慧 手錶","手機平板與周邊","Mobile & Gadgets","Hardware & 3C",
"zx25r","手機平板與周邊","Motors",,
"綠豆 椪","美食、伴手禮","Food & Beverages","Food & Beverages",
"全家福 鞋","男女鞋","Sports & Outdoors",,
"水生 植物","居家生活","Home & Living","Home & Living",
"k2","美妝保健","Sports & Outdoors","Mobile & Gadgets",
"數碼 寶貝","娛樂、收藏","Hobbies & Collections","Hobbies & Collections","Hobbies & Collections"
"柿餅","美食、伴手禮","Food & Beverages","Food & Beverages","Food & Beverages"
"臭 豆腐","美食、伴手禮","Food & Beverages","Books & Magazines","Books & Magazines"
"鬍鬚 張","美食、伴手禮","Food & Beverages","Food & Beverages",
"智慧 手錶","手機平板與周邊","Mobile & Gadgets","Hardware & 3C",
"組裝 電腦","3C與筆電","Hardware & 3C",,
"工作 鞋","男女鞋","Men Shoes","Men Shoes",
"智慧 手錶","手機平板與周邊","Mobile & Gadgets","Hardware & 3C",
"13","手機平板與周邊","Sports & Outdoors","Mobile & Gadgets",
"小米 11 lite","手機平板與周邊",,"Mobile & Gadgets",
"ux425ea","3C與筆電","Hardware & 3C","Hardware & 3C","Hardware & 3C"
"k70","3C與筆電","Hardware & 3C","Hardware & 3C",
"13","手機平板與周邊","Sports & Outdoors","Mobile & Gadgets",
"檜木","居家生活","Home & Living","Home & Living","Home & Living"
"baidi","服務、票券","Women's Apparel","Shoes",
"保暖外套推薦","女生衣著","Women Clothes","Women Clothes","Women Clothes"
"二氧化氯錠","居家生活","Home & Living","Home & Living","Home & Living"
"honda cb350","汽機車零件百貨","Motors","Motors",
"smeg 咖啡機","家電影音","Home Electronic","Home Electronic","Home Electronic"
"13","手機平板與周邊","Sports & Outdoors","Mobile & Gadgets",
"掛 衣架","居家生活","Home & Living","Home & Living",
"李妍瑾","美妝保健",,"Health & Beauty",
"捲揚機","居家生活","Home & Living","Home & Living",
"星巴克 月餅","美食、伴手禮","Food & Beverages","Food & Beverages",
"奧林匹克 數學","書籍及文創商品","Books","Books",
"瘦子 香水","美妝保健","Men's Apparel","Health & Beauty",
"老虎 圖案","書籍及文創商品","Mobile & Gadgets","Women's Apparel",
"手提 袋","女生包包/精品","Women Bags","Women Bags",
"五斗 櫃","居家生活","Home & Living","Home & Living",
"月亮褲","女生衣著","Women's Apparel","Health & Beauty",
"五斗 櫃","居家生活","Home & Living","Home & Living",
"古 娃娃 雪糕","美食、伴手禮",,"Mother & Baby",
"coach 零錢 包","女生包包/精品","Women Bags","Women Bags",
"五斗 櫃","居家生活","Home & Living","Home & Living",
"柚子 茶","美食、伴手禮","Food & Beverages","Food & Beverages",
"13","手機平板與周邊","Sports & Outdoors","Mobile & Gadgets",
"電動 升降桌","居家生活","Home & Living","Home & Living",
"投影 機 推薦","3C與筆電",,,
"捲揚機","居家生活","Home & Living","Home & Living",
"星巴克 月餅","美食、伴手禮","Food & Beverages","Food & Beverages",
"瘦子 香水","美妝保健","Men's Apparel","Health & Beauty",
"奧林匹克 數學","書籍及文創商品","Books","Books",
"手提 袋","女生包包/精品","Women Bags","Women Bags",
"乙女遊戲","遊戲王","Game Kingdom","Game Kingdom",
"烙鐵","居家生活","Home & Living","Home & Living","Home & Living"
"coach 零錢 包","女生包包/精品","Women Bags","Women Bags",
"白金 項鍊","女生配件","Women Accessories","Women Accessories",
"柚子 茶","美食、伴手禮","Food & Beverages","Food & Beverages",
"13","手機平板與周邊","Sports & Outdoors","Mobile & Gadgets",
"辣椒","美食、伴手禮","Food & Beverages","Food & Beverages","Food & Beverages"
"蝦皮退貨運費","Platform Terms ( Shopee / Momo)","Mom & Baby","Women Clothes","Women Clothes"
"直覺塔羅","娛樂、收藏","Life & Entertainment",,
"hm 門市","女生衣著",,,
"99 乘法 表","書籍及文創商品",,,
"logo","Others","Everything Else","Everything Else",
"床架 推薦","居家生活",,"Home & Living",
"角落 小 夥伴","娛樂、收藏",,,
"一心一罩","居家生活","Home & Living","Home & Living","Home & Living"
"bf","居家生活","Food & Beverages","Life & Entertainment",
"防水 膠","居家生活","Home & Living","Home & Living",
"间谍过家家 1 遠藤達哉","書籍及文創商品",,,
"開發金紀念品","居家生活","Home & Living","Home & Living",
"beats 耳機","手機平板與周邊","Mobile & Gadgets","Mobile & Gadgets","Mobile & Gadgets"
"泡腳機推薦ptt","家電影音",,,
"101","女生衣著","Sports & Outdoors","Tickets & Services",
"跳棋","娛樂、收藏","Game Kingdom","Game Kingdom",
"wifi 放大器","3C與筆電","Hardware & 3C","Hardware & 3C","Hardware & 3C"
"合 利他 命 ex plus","美妝保健",,,
"梅子醋","美食、伴手禮","Food & Beverages","Food & Beverages",
"illy咖啡豆","美食、伴手禮","Food & Beverages","Food & Beverages",
"水 果汁","美食、伴手禮","Food & Beverages","Food & Beverages","Food & Beverages"
"calvin klein","女生衣著","Men's Apparel","Men's Apparel","Men's Apparel"
"衣服 收納","居家生活","Home & Living","Home & Living",
"行事 曆","居家生活",,"Home & Living",
"俄羅斯軟糖","美食、伴手禮","Food & Beverages","Food & Beverages","Food & Beverages"
"173","娛樂、收藏","Men's Apparel",,
"催眠 麥克風","家電影音",,"Life & Entertainment",
"dr.wu角鯊潤澤修復精華","美妝保健","Health & Beauty","Health & Beauty",
"水 果汁","美食、伴手禮","Food & Beverages","Food & Beverages","Food & Beverages"
"13","手機平板與周邊","Sports & Outdoors","Mobile & Gadgets",
"13","手機平板與周邊","Sports & Outdoors","Mobile & Gadgets",
"彩虹 糖","美食、伴手禮","Food & Beverages","Food & Beverages",
"紅綠燈","嬰幼童與母親","Mother & Baby","Mother & Baby",
"玩具 槍","嬰幼童與母親",,"Life & Entertainment",
"13","手機平板與周邊","Sports & Outdoors","Mobile & Gadgets",
"遙控地雷","娛樂、收藏","Life & Entertainment","Life & Entertainment",
"13","手機平板與周邊","Sports & Outdoors","Mobile & Gadgets",
"邱澤 許瑋甯","Others",,"Life & Entertainment",
"消化 餅","美食、伴手禮",,"Food & Beverages",
"古箏","娛樂、收藏","Life & Entertainment","Life & Entertainment",
"小米電視棒","家電影音","Mobile & Gadgets","Home Electronic","Home Electronic"
"日系 衣服","女生衣著","Women's Apparel","Women's Apparel",
"mcq衣服","男生衣著","Men's Apparel","Men's Apparel",
"鯊魚夾","女生配件","Women Accessories","Women Accessories","Women Accessories"
"煤油 燈","家電影音","Sports & Outdoors",,
"donkey 招財貓","娛樂、收藏","Home & Living","Home & Living","Home & Living"
"miele 洗碗機","家電影音","Home Electronic","Home Electronic",
"13","手機平板與周邊","Sports & Outdoors","Mobile & Gadgets",
"aa 電池","居家生活","Hardware & 3C","Hardware & 3C",
"三洋 媽媽 樂","家電影音","Home Appliances","Home Appliances","Home Appliances"
"降噪藍牙耳機","手機平板與周邊","Mobile & Gadgets","Mobile & Gadgets",
"vivo x70 pro","手機平板與周邊","Mobile & Gadgets","Mobile & Gadgets","Mobile & Gadgets"
"蘆薈 汁","美食、伴手禮","Home & Living",,
"消脂茶","美食、伴手禮","Food & Beverages","Food & Beverages","Food & Beverages"
"邱澤 許瑋甯","Others",,"Life & Entertainment",
"cnc銑床","居家生活","Home & Living",,
"蘆薈 汁","美食、伴手禮","Home & Living",,
"消化 餅","美食、伴手禮",,"Food & Beverages",
"消脂茶","美食、伴手禮","Food & Beverages","Food & Beverages","Food & Beverages"
"群暉","3C與筆電","Hardware & 3C","Hardware & 3C",
"日系 衣服","女生衣著","Women's Apparel","Women's Apparel",
"紅米note 11 pro","手機平板與周邊","Mobile & Gadgets","Mobile & Gadgets","Mobile & Gadgets"
"mcq衣服","男生衣著","Men's Apparel","Men's Apparel",
"煤油 燈","家電影音","Sports & Outdoors",,
"miele 洗碗機","家電影音","Home Electronic","Home Electronic",
"群暉","3C與筆電","Hardware & 3C","Hardware & 3C",
"紅米note 11 pro","手機平板與周邊","Mobile & Gadgets","Mobile & Gadgets","Mobile & Gadgets"
"13","手機平板與周邊","Sports & Outdoors","Mobile & Gadgets",
"aa 電池","居家生活","Hardware & 3C","Hardware & 3C",
"三洋 媽媽 樂","家電影音","Home Appliances","Home Appliances","Home Appliances"
"vivo x70 pro","手機平板與周邊","Mobile & Gadgets","Mobile & Gadgets","Mobile & Gadgets"
"醫療鋼耳環","女生配件","Women Accessories","Women Accessories","Women Accessories"
"小米電視棒","家電影音","Mobile & Gadgets","Home Electronic","Home Electronic"
"鯊魚夾","女生配件","Women Accessories","Women Accessories","Women Accessories"
"果貿吳媽家","美食、伴手禮","Food & Beverages","Food & Beverages",
"羊排","美食、伴手禮","Food & Beverages","Food & Beverages",
"13","手機平板與周邊","Sports & Outdoors","Mobile & Gadgets",
"xq au52","手機平板與周邊","Mobile & Gadgets","Mobile & Gadgets",
"山手梨愛","Others","Health","Books & Magazines","Books & Magazines"
"雪坊優格","美食、伴手禮","Food & Beverages","Food & Beverages",
"一井水產","美食、伴手禮","Food & Beverages","Food & Beverages",
"hoka","男女鞋","Sports & Outdoors","Sports & Outdoors","Sports & Outdoors"
"手機掛繩夾片","手機平板與周邊","Mobile & Gadgets","Mobile & Gadgets",
"八煙溫泉會館","服務、票券","Tickets & Services","Tickets & Services",
"iphone 手機殼","手機平板與周邊","Mobile & Gadgets","Mobile & Gadgets","Mobile & Gadgets"
"mpg321ur-qd","3C與筆電","Computers & Accessories","Computers & Accessories","Pets"
"扇子紅包","娛樂、收藏","Life & Entertainment",,
"t型透肤袜","女生配件",,,
"salonia 離子夾","美妝保健","Health & Beauty","Health & Beauty","Health & Beauty"
"二手相機","3C與筆電","Hardware & 3C","Hardware & 3C",
"狐狸面具","娛樂、收藏","Everything Else","Everything Else","Life & Entertainment"
"印章字體","居家生活","Home & Living","Hardware & 3C",
"高空作業車","汽機車零件百貨","Home & Living","Home & Living",
"刀劍神域 小說","娛樂、收藏","Books","Books",
"機車汰舊換新補助","Others","Motorcycles","Motorcycles","Motorcycles"
"日本porter","男生包包與配件","Men's Bags& Accessories","Men's Bags& Accessories",
"層板架","居家生活","Home & Living","Home & Living",
"澳洲代購","Others","Health & Beauty","Health & Beauty",
"朝桐光","其他類別","Everything Else","Everything Else",
"隔熱墊","居家生活","Home & Living","Home & Living","Home & Living"
"今井勇太","Others","Health","Women Clothes","Women Clothes"
"扇子紅包","娛樂、收藏","Life & Entertainment",,
"zenfone 8 flip","手機平板與周邊","Mobile & Gadgets","Mobile & Gadgets",
"yyls","居家生活",,"Home & Living",
"聯成 評價","Others",,,
"霍格華茲的傳承","遊戲王","Game Kingdom","Game Kingdom",
"蝦皮店到店 包裹查詢","Platform Terms ( Shopee / Momo)","Women Shoes","Pets","Pets"
"動物狂想曲","娛樂、收藏","Life & Entertainment","Life & Entertainment",
"矽膠零件","居家生活","Sports & Outdoors","Home & Living",
"i5 2300","3C與筆電","Hardware & 3C","Hardware & 3C",
"束線帶","居家生活","Home & Living","Home & Living",
"隔音墊","戶外與運動用品","Home & Living","Home & Living",
"喉片","美妝保健","Health & Beauty","Food & Beverages",
"lululun面膜","美妝保健","Health & Beauty","Health & Beauty",
"科克蘭衛生紙","居家生活","Home & Living","Home & Living","Home & Living"
"apc 包","女生包包/精品","Women Bags","Women Bags",
"t8燈座","居家生活","Home & Living","Home & Living",
"小飛馬磨豆機","家電影音","Home Electronic","Home Electronic",
"adobe破解","3C與筆電","Hardware & 3C","Hardware & 3C",
"去漬油","居家生活","Home & Living","Home & Living","Motors"
"眠豆腐","居家生活","Food & Beverages","Home & Living","Home & Living"
"kangol包","女生包包/精品","Women Bags","Women Bags",
"霍格華茲的傳承","遊戲王","Game Kingdom","Game Kingdom",
"原子之心","遊戲王","Gaming & Consoles","Gaming & Consoles","Hobbies & Collections"
"discovery adventures","男生包包與配件","Sports & Outdoors","Sports & Outdoors",
"tab s8","手機平板與周邊",,"Mobile & Gadgets",
"紳士漫","書籍及文創商品","Fashion Accessories","Hobbies & Collections","Hobbies & Collections"
"黃油攪拌器","居家生活","Home & Living","Home & Living",
"ete","女生配件","Women Accessories","Women Accessories",
"素食早餐","美食、伴手禮","Food & Beverages","Food & Beverages",
"冬天婚禮穿搭","女生衣著","Women's Apparel","Women's Apparel",
"燈芯絨","女生衣著","Women's Apparel","Women's Apparel",
"閏月紅包","其他類別","Stationery","Stationery","Stationery"
"湯麵","美食、伴手禮","Food & Beverages","Food & Beverages",
"大立花枝丸","美食、伴手禮","Food & Beverages","Food & Beverages","Food & Beverages"
"追劇平台推薦","Others",,,
"紅藜果膠plus","美妝保健",,"Health & Beauty",
"泡泡馬特","娛樂、收藏","Life & Entertainment","Life & Entertainment",
"shein 台灣","女生衣著","Women's Apparel","Women's Apparel",
"自行車手機架","戶外與運動用品","Motors","Motors","Sports & Outdoors"
"華夫格","女生衣著","Men's Apparel","Men's Apparel",
"車用垃圾桶","汽機車零件百貨","Motors","Motors","Motors"
"r-20","其他類別","Everything Else","Everything Else","Everything Else"
"lv項鍊","女生包包/精品","Women Accessories","Women Accessories","Women Accessories"
"圍欄","戶外與運動用品","Mother & Baby","Mother & Baby","Mother & Baby"
"ricoh gr3","3C與筆電","Hardware & 3C","Hardware & 3C",
"sol republic","家電影音","Mobile & Gadgets","Mobile & Gadgets","Mobile & Gadgets"
"良值","遊戲王","Game Kingdom","Game Kingdom","Game Kingdom"
"solidigm","3C與筆電","Computers & Accessories","Computers & Accessories","Computers & Accessories"
"三花奶水","美食、伴手禮","Food & Beverages","Food & Beverages","Food & Beverages"
"crocs 鞋扣","男女鞋","Women Shoes","Everything Else",
"滑鼠滾輪","3C與筆電","Hardware & 3C",,
"花束包裝","居家生活","Home & Living","Home & Living",
"北港麻油","美食、伴手禮","Food & Beverages","Food & Beverages","Food & Beverages"
"單人加大床包","居家生活","Home & Living","Home & Living","Home & Living"
"美膳雅","家電影音","Home Electronic","Home Electronic","Home Electronic"
"吊隱式冷氣","家電影音","Home Electronic","Home Electronic",
"駝背矯正帶","美妝保健","Sports & Outdoors","Sports & Outdoors","Sports & Outdoors"
